"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1,691754583E1;3,961916208E0;-8,694919586E0;-7,089335442E0
1,701754583E1;2,721835852E0;-1,199581814E1;-3,648456335E0
1,711754583E1;3,294318676E0;-7,033702374E0;-7,505088329E0
1,721754583E1;4,013959885E0;-4,721039295E0;-7,209574699E0
1,731754583E1;3,020938635E0;-2,494517565E0;-7,990232944E0
1,741754583E1;1,844866276E0;4,127619043E-2;-6,644868374E0
1,751754583E1;4,847858906E0;-4,761118889E0;-6,819544315E0
1,761754583E1;2,779263496E0;-8,008178711E0;-7,624729156E0
1,771754583E1;1,701895118E0;-8,254041672E0;-3,741776466E0
1,781754583E1;4,340580463E0;-1,025623608E1;-9,899106979E0
1,791754583E1;2,578864574E0;-1,028554821E1;-5,986842155E0
1,801754583E1;9,092726111E-1;-8,350951195E0;-9,894321442E0
1,811754583E1;1,347159147E0;-3,805186272E0;-4,226323128E0
1,821754583E1;1,649253011E0;-6,638886452E0;-2,204387903E0
1,831754583E1;1,945364833E0;-6,470192432E0;-3,725026608E0
1,841754583E1;3,288336515E0;-4,334000111E0;-5,609374523E0
1,851754583E1;1,960319996E0;-4,151547432E0;-7,795815945E0
1,861754583E1;2,119442701E0;-9,437292099E0;-6,758527756E0
1,871754583E1;9,206385016E-1;-1,102014446E1;-9,095717430E0
1,881754583E1;-3,649054468E-2;-8,712266922E0;-5,241477966E0
1,891754583E1;5,333601475E0;-7,335795879E0;-5,673980713E0
1,901754583E1;3,726222992E0;-7,977072716E0;-6,614359856E0
1,911754583E1;2,889333248E0;-7,435098171E0;-6,748358250E0
1,921754583E1;1,154536963E0;-3,644867182E0;-6,028118610E0
1,931754583E1;2,341975212E0;-2,685345173E0;-6,502495766E0
1,941754583E1;2,084746838E0;-8,129615188E-1;-8,668598175E0
1,951754583E1;2,046461582E0;-4,129413605E0;-6,472585201E0
1,961754583E1;2,612364054E0;-4,588237286E0;-3,203391314E0
1,971754583E1;3,726821184E0;-1,110628605E1;-9,650852203E0
1,981754583E1;3,653241873E0;-1,163031483E1;-7,092326164E0
1,991754583E1;-7,465606928E-1;-4,713262558E0;-3,194418252E-1
2,001754583E1;4,424329281E0;-7,225726128E0;-8,630312920E0
2,011754583E1;5,630311489E0;-9,195018768E0;-7,134799004E0
2,021754583E1;1,231705427E0;-2,895315409E0;-5,108676434E0
2,031754583E1;5,497509837E-1;-3,942773581E0;-3,665206194E0
2,041754583E1;2,757728100E0;-5,276772022E0;-3,502494097E0
2,051754583E1;2,289931297E0;-4,362115860E0;-3,891926050E0
2,061754583E1;3,994219303E0;-1,029751205E1;-6,314659119E0
2,071754583E1;2,747558594E0;-9,067003250E0;-5,274977684E0
2,081754583E1;3,080759048E-1;-8,386843681E0;-1,502094388E0
2,091754583E1;4,473381996E0;-1,173440266E1;-5,230710506E0
2,101754583E1;1,439880967E0;-6,862017155E0;-3,101696253E0
