"Time (s)";"Temperature (°C)"
3,756689266E1;3,113671875E1
3,766689266E1;3,105468750E1
3,776689266E1;3,108984375E1
3,786689266E1;3,108984375E1
3,796689266E1;3,106250000E1
3,806689266E1;3,105468750E1
3,816689266E1;3,105468750E1
3,826689266E1;3,103906250E1
3,836689266E1;3,104296875E1
3,846689266E1;3,106250000E1
3,856689266E1;3,107812500E1
3,866689266E1;3,104687500E1
3,876689266E1;3,105468750E1
3,886689266E1;3,105468750E1
3,896689266E1;3,109375000E1
3,906689266E1;3,105468750E1
3,916689266E1;3,104687500E1
3,926689266E1;3,107812500E1
3,936689266E1;3,101562500E1
3,946689266E1;3,103515625E1
3,956689266E1;3,103906250E1
3,966689266E1;3,105468750E1
3,976689266E1;3,100390625E1
3,986689266E1;3,101562500E1
3,996689266E1;3,100390625E1
4,006689266E1;3,104687500E1
4,016689266E1;3,098828125E1
4,026689266E1;3,103125000E1
4,036689266E1;3,099609375E1
4,046689266E1;3,103125000E1
4,056689266E1;3,100390625E1
4,066689266E1;3,099609375E1
4,076689266E1;3,099609375E1
4,086689266E1;3,103125000E1
4,096689266E1;3,102343750E1
4,106689266E1;3,099609375E1
4,116689266E1;3,102343750E1
4,126689266E1;3,097265625E1
4,136689266E1;3,098828125E1
4,146689266E1;3,096484375E1
4,156689266E1;3,099609375E1
4,166689266E1;3,099609375E1
4,176689266E1;3,099609375E1
4,186689266E1;3,098828125E1
4,196689266E1;3,097265625E1
4,206689266E1;3,103125000E1
4,216689266E1;3,097265625E1
4,226689266E1;3,096484375E1
4,236689266E1;3,098828125E1
4,246689266E1;3,100390625E1
4,256689266E1;3,098828125E1
4,266689266E1;3,093750000E1
4,276689266E1;3,098828125E1
4,286689266E1;3,095703125E1
4,296689266E1;3,098828125E1
4,306689266E1;3,098828125E1
4,316689266E1;3,096484375E1
4,326689266E1;3,094921875E1
4,336689266E1;3,095703125E1
4,346689266E1;3,098046875E1
4,356689266E1;3,097265625E1
4,366689266E1;3,095703125E1
4,376689266E1;3,092968750E1
4,386689266E1;3,095312500E1
4,396689266E1;3,092968750E1
4,406689266E1;3,092968750E1
4,416689266E1;3,097265625E1
4,426689266E1;3,089453125E1
4,436689266E1;3,092578125E1
4,446689266E1;3,096484375E1
4,456689266E1;3,096093750E1
4,466689266E1;3,096875000E1
4,476689266E1;3,094921875E1
4,486689266E1;3,092578125E1
4,496689266E1;3,090234375E1
4,506689266E1;3,096484375E1
4,516689266E1;3,090625000E1
4,526689266E1;3,093750000E1
4,536689266E1;3,097265625E1
4,546689266E1;3,093750000E1
4,556689266E1;3,093359375E1
4,566689266E1;3,092578125E1
4,576689266E1;3,095703125E1
4,586689266E1;3,096484375E1
4,596689266E1;3,092578125E1
4,606689266E1;3,094531250E1
4,616689266E1;3,095312500E1
4,626689266E1;3,092578125E1
4,636689266E1;3,094921875E1
4,646689266E1;3,091406250E1
4,656689266E1;3,093359375E1
4,666689266E1;3,088671875E1
4,676689266E1;3,091015625E1
4,686689266E1;3,090234375E1
4,696689266E1;3,091406250E1
4,706689266E1;3,095703125E1
4,716689266E1;3,092578125E1
4,726689266E1;3,089843750E1
4,736689266E1;3,092968750E1
4,746689266E1;3,092578125E1
4,756689266E1;3,090625000E1
4,766689266E1;3,089062500E1
4,776689266E1;3,091796875E1
4,786689266E1;3,091406250E1
4,796689266E1;3,088281250E1
4,806689266E1;3,092187500E1
4,816689266E1;3,089843750E1
4,826689266E1;3,090625000E1
4,836689266E1;3,086328125E1
4,846689266E1;3,089062500E1
4,856689266E1;3,088281250E1
4,866689266E1;3,088281250E1
4,876689266E1;3,089062500E1
4,886689266E1;3,086328125E1
4,896689266E1;3,090625000E1
4,906689266E1;3,087109375E1
4,916689266E1;3,086328125E1
4,926689266E1;3,091406250E1
4,936689266E1;3,090625000E1
4,946689266E1;3,086328125E1
4,956689266E1;3,089062500E1
4,966689266E1;3,089062500E1
4,976689266E1;3,089062500E1
4,986689266E1;3,085546875E1
4,996689266E1;3,089062500E1
5,006689266E1;3,091406250E1
5,016689266E1;3,090234375E1
5,026689266E1;3,087109375E1
5,036689266E1;3,088281250E1
5,046689266E1;3,084765625E1
5,056689266E1;3,085546875E1
5,066689266E1;3,089843750E1
5,076689266E1;3,086328125E1
5,086689266E1;3,083203125E1
5,096689266E1;3,086328125E1
5,106689266E1;3,086328125E1
5,116689266E1;3,087109375E1
5,126689266E1;3,085546875E1
5,136689266E1;3,089843750E1
5,146689266E1;3,087109375E1
5,156689266E1;3,086328125E1
5,166689266E1;3,086328125E1
5,176689266E1;3,083203125E1
5,186689266E1;3,086328125E1
5,196689266E1;3,088281250E1
5,206689266E1;3,083203125E1
5,216689266E1;3,090625000E1
5,226689266E1;3,085156250E1
5,236689266E1;3,082421875E1
5,246689266E1;3,081640625E1
5,256689266E1;3,083984375E1
5,266689266E1;3,088281250E1
5,276689266E1;3,083984375E1
5,286689266E1;3,087109375E1
5,296689266E1;3,083984375E1
5,306689266E1;3,086328125E1
5,316689266E1;3,081640625E1
5,326689266E1;3,086328125E1
5,336689266E1;3,082421875E1
5,346689266E1;3,085546875E1
5,356689266E1;3,091406250E1
5,366689266E1;3,083984375E1
5,376689266E1;3,081640625E1
5,386689266E1;3,082421875E1
5,396689266E1;3,085546875E1
5,406689266E1;3,084765625E1
5,416689266E1;3,084765625E1
5,426689266E1;3,082421875E1
5,436689266E1;3,082421875E1
5,446689266E1;3,085546875E1
5,456689266E1;3,086328125E1
5,466689266E1;3,081640625E1
5,476689266E1;3,083203125E1
5,486689266E1;3,080468750E1
5,496689266E1;3,080468750E1
5,506689266E1;3,084765625E1
5,516689266E1;3,084765625E1
5,526689266E1;3,081640625E1
5,536689266E1;3,083203125E1
5,546689266E1;3,081640625E1
5,556689266E1;3,081640625E1
5,566689266E1;3,079687500E1
5,576689266E1;3,081640625E1
5,586689266E1;3,081640625E1
5,596689266E1;3,080468750E1
5,606689266E1;3,082421875E1
5,616689266E1;3,084765625E1
5,626689266E1;3,081640625E1
5,636689266E1;3,079687500E1
5,646689266E1;3,086328125E1
5,656689266E1;3,081250000E1
5,666689266E1;3,079296875E1
5,676689266E1;3,079687500E1
5,686689266E1;3,081250000E1
5,696689266E1;3,080468750E1
5,706689266E1;3,082812500E1
5,716689266E1;3,081640625E1
5,726689266E1;3,077734375E1
5,736689266E1;3,079296875E1
5,746689266E1;3,080078125E1
5,756689266E1;3,079687500E1
5,766689266E1;3,078906250E1
5,776689266E1;3,080078125E1
5,786689266E1;3,080078125E1
5,796689266E1;3,080468750E1
5,806689266E1;3,080078125E1
5,816689266E1;3,081640625E1
5,826689266E1;3,079687500E1
5,836689266E1;3,080078125E1
5,846689266E1;3,077343750E1
5,856689266E1;3,078125000E1
5,866689266E1;3,083984375E1
5,876689266E1;3,078125000E1
5,886689266E1;3,079687500E1
5,896689266E1;3,079687500E1
5,906689266E1;3,083984375E1
5,916689266E1;3,081640625E1
5,926689266E1;3,080468750E1
5,936689266E1;3,082421875E1
5,946689266E1;3,082421875E1
5,956689266E1;3,081640625E1
5,966689266E1;3,080078125E1
5,976689266E1;3,079687500E1
5,986689266E1;3,084765625E1
5,996689266E1;3,081250000E1
6,006689266E1;3,079296875E1
6,016689266E1;3,082031250E1
6,026689266E1;3,080468750E1
6,036689266E1;3,080468750E1
6,046689266E1;3,083203125E1
6,056689266E1;3,079296875E1
6,066689266E1;3,082421875E1
6,076689266E1;3,083203125E1
6,086689266E1;3,081250000E1
6,096689266E1;3,078906250E1
6,106689266E1;3,077734375E1
6,116689266E1;3,083203125E1
6,126689266E1;3,079687500E1
6,136689266E1;3,079687500E1
6,146689266E1;3,081640625E1
6,156689266E1;3,083984375E1
6,166689266E1;3,083984375E1
6,176689266E1;3,083203125E1
6,186689266E1;3,078515625E1
6,196689266E1;3,078906250E1
6,206689266E1;3,082031250E1
6,216689266E1;3,083984375E1
6,226689266E1;3,079687500E1
6,236689266E1;3,082421875E1
6,246689266E1;3,083203125E1
6,256689266E1;3,077734375E1
6,266689266E1;3,081640625E1
6,276689266E1;3,079296875E1
6,286689266E1;3,082421875E1
6,296689266E1;3,079687500E1
6,306689266E1;3,083984375E1
6,316689266E1;3,079687500E1
6,326689266E1;3,078515625E1
6,336689266E1;3,082421875E1
6,346689266E1;3,078906250E1
6,356689266E1;3,079296875E1
6,366689266E1;3,084765625E1
6,376689266E1;3,079296875E1
6,386689266E1;3,080078125E1
6,396689266E1;3,080468750E1
6,406689266E1;3,083203125E1
6,416689266E1;3,079687500E1
6,426689266E1;3,082421875E1
6,436689266E1;3,082421875E1
6,446689266E1;3,083203125E1
6,456689266E1;3,080468750E1
6,466689266E1;3,083203125E1
6,476689266E1;3,080468750E1
6,486689266E1;3,089062500E1
6,496689266E1;3,084765625E1
6,506689266E1;3,083203125E1
6,516689266E1;3,083984375E1
6,526689266E1;3,081640625E1
6,536689266E1;3,084765625E1
6,546689266E1;3,080468750E1
6,556689266E1;3,083984375E1
6,566689266E1;3,085546875E1
6,576689266E1;3,082812500E1
6,586689266E1;3,081640625E1
6,596689266E1;3,082421875E1
6,606689266E1;3,080468750E1
6,616689266E1;3,081640625E1
6,626689266E1;3,083203125E1
6,636689266E1;3,086328125E1
6,646689266E1;3,088281250E1
6,656689266E1;3,083203125E1
6,666689266E1;3,088281250E1
6,676689266E1;3,083203125E1
6,686689266E1;3,080468750E1
6,696689266E1;3,088281250E1
6,706689266E1;3,084765625E1
6,716689266E1;3,083203125E1
6,726689266E1;3,082421875E1
6,736689266E1;3,086328125E1
6,746689266E1;3,089062500E1
6,756689266E1;3,084765625E1
6,766689266E1;3,083984375E1
6,776689266E1;3,088281250E1
6,786689266E1;3,089843750E1
6,796689266E1;3,089062500E1
6,806689266E1;3,085546875E1
6,816689266E1;3,090625000E1
6,826689266E1;3,088281250E1
6,836689266E1;3,087109375E1
6,846689266E1;3,086328125E1
6,856689266E1;3,089843750E1
6,866689266E1;3,085937500E1
6,876689266E1;3,091406250E1
6,886689266E1;3,089062500E1
6,896689266E1;3,092187500E1
6,906689266E1;3,089843750E1
6,916689266E1;3,090625000E1
6,926689266E1;3,095312500E1
6,936689266E1;3,096093750E1
6,946689266E1;3,091406250E1
6,956689266E1;3,092578125E1
6,966689266E1;3,094531250E1
6,976689266E1;3,093750000E1
6,986689266E1;3,092578125E1
6,996689266E1;3,090234375E1
7,006689266E1;3,093359375E1
7,016689266E1;3,094921875E1
7,026689266E1;3,091015625E1
7,036689266E1;3,091015625E1
7,046689266E1;3,097265625E1
7,056689266E1;3,094531250E1
7,066689266E1;3,095703125E1
7,076689266E1;3,092968750E1
7,086689266E1;3,094921875E1
7,096689266E1;3,092968750E1
7,106689266E1;3,096484375E1
7,116689266E1;3,100390625E1
7,126689266E1;3,100390625E1
7,136689266E1;3,099609375E1
7,146689266E1;3,098828125E1
7,156689266E1;3,098046875E1
7,166689266E1;3,099609375E1
7,176689266E1;3,096484375E1
7,186689266E1;3,098828125E1
7,196689266E1;3,096484375E1
7,206689266E1;3,099609375E1
7,216689266E1;3,102343750E1
7,226689266E1;3,097265625E1
7,236689266E1;3,096484375E1
7,246689266E1;3,098828125E1
7,256689266E1;3,100390625E1
7,266689266E1;3,101562500E1
7,276689266E1;3,101562500E1
7,286689266E1;3,102343750E1
7,296689266E1;3,102343750E1
7,306689266E1;3,102343750E1
7,316689266E1;3,103906250E1
7,326689266E1;3,104687500E1
7,336689266E1;3,102343750E1
7,346689266E1;3,105859375E1
7,356689266E1;3,102343750E1
7,366689266E1;3,103125000E1
7,376689266E1;3,103125000E1
7,386689266E1;3,100390625E1
7,396689266E1;3,102343750E1
7,406689266E1;3,103906250E1
7,416689266E1;3,105859375E1
7,426689266E1;3,104687500E1
7,436689266E1;3,104687500E1
7,446689266E1;3,103906250E1
7,456689266E1;3,103906250E1
7,466689266E1;3,105468750E1
7,476689266E1;3,103906250E1
7,486689266E1;3,099609375E1
7,496689266E1;3,097265625E1
7,506689266E1;3,100390625E1
7,516689266E1;3,102343750E1
7,526689266E1;3,103125000E1
7,536689266E1;3,103125000E1
7,546689266E1;3,102343750E1
7,556689266E1;3,103125000E1
7,566689266E1;3,099609375E1
7,576689266E1;3,101562500E1
7,586689266E1;3,101562500E1
7,596689266E1;3,103125000E1
7,606689266E1;3,100390625E1
7,616689266E1;3,103125000E1
7,626689266E1;3,100390625E1
7,636689266E1;3,101562500E1
7,646689266E1;3,102343750E1
7,656689266E1;3,101562500E1
7,666689266E1;3,099609375E1
7,676689266E1;3,100390625E1
7,686689266E1;3,103906250E1
7,696689266E1;3,102734375E1
7,706689266E1;3,101562500E1
7,716689266E1;3,102343750E1
7,726689266E1;3,103906250E1
7,736689266E1;3,103125000E1
7,746689266E1;3,101562500E1
7,756689266E1;3,105859375E1
7,766689266E1;3,103125000E1
7,776689266E1;3,101562500E1
7,786689266E1;3,105859375E1
7,796689266E1;3,103125000E1
7,806689266E1;3,105859375E1
7,816689266E1;3,104687500E1
7,826689266E1;3,102343750E1
7,836689266E1;3,105468750E1
7,846689266E1;3,103906250E1
7,856689266E1;3,103125000E1
7,866689266E1;3,100390625E1
7,876689266E1;3,103906250E1
7,886689266E1;3,102343750E1
7,896689266E1;3,102734375E1
7,906689266E1;3,102343750E1
7,916689266E1;3,106640625E1
7,926689266E1;3,105468750E1
7,936689266E1;3,105468750E1
7,946689266E1;3,101562500E1
7,956689266E1;3,104296875E1
7,966689266E1;3,102343750E1
7,976689266E1;3,103125000E1
7,986689266E1;3,106250000E1
7,996689266E1;3,105468750E1
8,006689266E1;3,103515625E1
8,016689266E1;3,104296875E1
8,026689266E1;3,106250000E1
8,036689266E1;3,110156250E1
8,046689266E1;3,105078125E1
8,056689266E1;3,105859375E1
8,066689266E1;3,105468750E1
8,076689266E1;3,109375000E1
8,086689266E1;3,101562500E1
8,096689266E1;3,106250000E1
8,106689266E1;3,105468750E1
8,116689266E1;3,106640625E1
8,126689266E1;3,102343750E1
8,136689266E1;3,108203125E1
8,146689266E1;3,106250000E1
8,156689266E1;3,106250000E1
8,166689266E1;3,108203125E1
8,176689266E1;3,103515625E1
8,186689266E1;3,108984375E1
8,196689266E1;3,108984375E1
8,206689266E1;3,110546875E1
8,216689266E1;3,107812500E1
8,226689266E1;3,105078125E1
8,236689266E1;3,108984375E1
8,246689266E1;3,108984375E1
8,256689266E1;3,109765625E1
8,266689266E1;3,105078125E1
8,276689266E1;3,112890625E1
8,286689266E1;3,112109375E1
8,296689266E1;3,110546875E1
8,306689266E1;3,109765625E1
8,316689266E1;3,107031250E1
8,326689266E1;3,109765625E1
8,336689266E1;3,107812500E1
8,346689266E1;3,107031250E1
8,356689266E1;3,110546875E1
8,366689266E1;3,109765625E1
8,376689266E1;3,113671875E1
8,386689266E1;3,111328125E1
8,396689266E1;3,105468750E1
8,406689266E1;3,108203125E1
8,416689266E1;3,112109375E1
8,426689266E1;3,110546875E1
8,436689266E1;3,113671875E1
8,446689266E1;3,106250000E1
8,456689266E1;3,112890625E1
8,466689266E1;3,112500000E1
8,476689266E1;3,112109375E1
8,486689266E1;3,108984375E1
8,496689266E1;3,109765625E1
8,506689266E1;3,107031250E1
8,516689266E1;3,106250000E1
8,526689266E1;3,109765625E1
8,536689266E1;3,107031250E1
8,546689266E1;3,108203125E1
8,556689266E1;3,108203125E1
8,566689266E1;3,117187500E1
8,576689266E1;3,104296875E1
8,586689266E1;3,108984375E1
8,596689266E1;3,108984375E1
8,606689266E1;3,107031250E1
8,616689266E1;3,110546875E1
8,626689266E1;3,109765625E1
8,636689266E1;3,107031250E1
8,646689266E1;3,108984375E1
8,656689266E1;3,105468750E1
8,666689266E1;3,109765625E1
8,676689266E1;3,108203125E1
8,686689266E1;3,107031250E1
8,696689266E1;3,113671875E1
8,706689266E1;3,106640625E1
8,716689266E1;3,108203125E1
