"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1,152987410E1;1,324050426E-1;-2,516764700E-1;-1,922698319E-1
1,162987410E1;3,098613918E-1;-1,737911552E-1;-6,902777404E-2
1,172987410E1;2,519819140E-2;-1,647808999E-1;-2,443460980E-3
1,182987410E1;-1,434006095E-1;1,572977938E-2;-4,978551716E-2
1,192987410E1;-1,372919679E-1;-3,176499158E-2;1,171334088E-1
1,202987410E1;-7,620543987E-2;-1,478293836E-1;1,386664063E-1
1,212987410E1;1,374446750E-1;1,256855279E-1;2,226603776E-1
1,222987410E1;4,828889668E-1;1,621847153E-1;1,470658034E-1
1,232987410E1;8,115344644E-1;2,142609805E-1;9,653198123E-1
1,242987410E1;1,482417226E0;9,605856240E-2;7,334964275E-1
1,252987410E1;-8,185594529E-2;1,893682331E-1;-2,890919745E-1
1,262987410E1;-5,736024380E-1;-5,665775016E-2;-8,811730891E-2
1,272987410E1;-7,522805333E-1;-1,366810948E-1;-2,596177347E-2
1,282987410E1;-5,933028460E-1;1,154535338E-1;-4,280638099E-1
1,292987410E1;-6,246097088E-1;-4,178318381E-1;-2,539672256E-1
1,302987410E1;-2,186897546E-1;-1,886046380E-1;1,334740520E-1
1,312987410E1;1,789835095E-1;-3,738495409E-1;-1,621847153E-1
1,322987410E1;5,577199459E-1;-1,142318025E-1;9,621127509E-3
1,332987410E1;1,195310593E0;1,966986060E-1;6,198754907E-1
1,342987410E1;1,898263693E-1;2,666426897E-1;2,406809032E-1
1,352987410E1;-5,403103232E-1;-2,208277881E-1;-3,921754956E-1
1,362987410E1;-5,500841737E-1;6,125451326E-1;-3,023782969E-1
1,372987410E1;-7,374670506E-1;4,010330439E-1;-6,340781450E-1
1,382987410E1;-8,596401215E-1;3,100141138E-2;-8,846855760E-1
1,392987410E1;-6,085745096E-1;-2,617557645E-1;-7,379252315E-1
1,402987410E1;2,800817192E-1;-3,233004212E-1;-1,470658034E-1
1,412987410E1;1,908953860E-2;-4,227187634E-1;3,010038435E-1
1,422987410E1;1,786780804E-1;-3,854559660E-1;3,231477141E-1
1,432987410E1;1,391856432E0;-1,687515229E-1;4,668537676E-1
1,442987410E1;3,759875596E-1;9,246972799E-1;6,227771044E-1
1,452987410E1;2,295173407E0;2,417499274E-1;7,643451095E-1
1,462987410E1;1,996307611E0;-6,027712822E-1;1,298546791E0
1,472987410E1;9,808968902E-1;-8,979719132E-2;1,119868755E0
1,482987410E1;-2,383901626E-1;4,291328415E-2;-5,526803136E-1
1,492987410E1;-1,249524832E0;3,002402782E-1;-1,888795376E0
1,502987410E1;-2,679255009E0;4,476115108E-1;-1,967291474E0
1,512987410E1;-3,412293196E0;7,328855991E-1;-2,061670303E0
1,522987410E1;-2,156354427E0;-5,589416996E-2;-1,826334357E0
1,532987410E1;-2,211332172E-1;-2,596177394E-3;-8,735373020E-1
1,542987410E1;1,507004619E0;8,984300494E-1;-6,998988390E-1
1,552987410E1;2,137112141E0;-4,459316283E-2;9,941831976E-2
1,562987410E1;1,574657917E0;1,388191283E-1;3,500257730E-1
1,572987410E1;1,546252608E0;2,901609838E-1;1,157436967E0
1,582987410E1;5,212207437E-1;4,105014503E-1;1,113760114E0
1,592987410E1;-4,796819389E-1;-3,706424832E-1;6,933320314E-2
1,602987410E1;-1,956295967E-1;2,182621479E0;-1,009607553E0
1,612987410E1;-3,443752825E-1;-3,089450896E-1;-9,338602424E-1
1,622987410E1;-1,244485259E0;-1,381319046E0;-1,685988009E-1
1,632987410E1;-2,665357828E0;-9,132435173E-2;-4,095851481E-1
1,642987410E1;-7,648032904E-1;9,349292517E-1;-2,993239760E-1
1,652987410E1;1,079704285E0;6,959282160E-1;1,038165450E0
1,662987410E1;2,185981274E0;2,373211533E-1;1,512502313E0
1,672987410E1;1,695609212E0;-6,001751125E-2;1,740202308E0
1,682987410E1;9,123272300E-1;1,331686229E-1;3,938553631E-1
1,692987410E1;-4,280638099E-1;6,290385127E-1;-1,122617602E0
1,702987410E1;-7,093672752E-1;-9,173668623E-1;-1,441336513E0
1,712987410E1;-1,781435728E0;-1,035111189E0;-9,373727441E-1
1,722987410E1;-2,806773186E0;-1,317941695E-1;-9,162978828E-2
1,732987410E1;-7,501425147E-1;7,907650471E-1;-1,362229437E-1
1,742987410E1;1,139110923E0;4,181372523E-1;7,996225953E-1
1,752987410E1;1,774410844E0;-1,288925707E-1;1,159116745E0
1,762987410E1;2,016313553E0;-4,497495294E-1;1,390023828E0
1,772987410E1;1,034805775E0;8,478809595E-1;2,277000248E-1
1,782987410E1;-8,981246352E-1;3,023782969E-1;-9,537133574E-1
1,792987410E1;-1,019839525E0;-1,306946158E0;-9,382890463E-1
1,802987410E1;-1,031598687E0;-1,201266527E0;-5,212207437E-1
1,812987410E1;-1,845118523E0;-1,024726480E-1;-5,435173512E-1
1,822987410E1;-1,860084653E0;-4,670064747E-1;-4,694499373E-1
1,832987410E1;-3,092505336E-1;6,047565863E-2;-7,299839705E-2
1,842987410E1;1,992947817E0;7,657195926E-1;1,826487064E0
1,852987410E1;2,064266443E0;-5,273294449E-1;1,779755950E0
1,862987410E1;1,454775572E0;-5,610797405E-1;7,136433125E-1
1,872987410E1;-9,896016866E-2;-1,191950798E0;-2,803871334E-1
1,882987410E1;-4,308127165E-1;4,668537676E-1;-6,692028642E-1
1,892987410E1;-3,779728711E-1;-5,820018649E-1;-1,072832108E0
1,902987410E1;-1,336573124E0;-6,296493411E-1;-6,904304624E-1
1,912987410E1;-1,648267150E0;-3,342960179E-1;-4,720461071E-1
1,922987410E1;-1,581988215E0;-5,285511613E-1;-4,117231667E-1
1,932987410E1;-7,405213714E-1;1,485929638E-1;-5,513058975E-2
1,942987410E1;1,010829210E0;2,122756690E-1;9,016370773E-1
1,952987410E1;1,955379605E0;1,140790880E-1;1,283580542E0
1,962987410E1;2,207208872E0;3,188716471E-1;1,068556070E0
1,972987410E1;9,854783416E-1;-7,611380816E-1;3,168863356E-1
1,982987410E1;-2,623666227E-1;1,481500983E0;-8,694139719E-1
1,992987410E1;-1,311833113E-1;-1,475086808E0;-5,401576161E-1
2,002987410E1;-1,096503139E0;-1,921171248E-1;-6,380487680E-1
2,012987410E1;-2,235614061E0;3,191770986E-2;-7,832819819E-1
2,022987410E1;-2,023643732E0;-6,155994534E-1;-5,280929804E-1
2,032987410E1;4,376849532E-1;1,053895235E0;5,421429127E-2
2,042987410E1;1,755321264E0;7,825183868E-1;1,130864263E0
2,052987410E1;2,411085129E0;1,356120855E-1;1,799761772E0
2,062987410E1;1,226770163E0;-4,593706727E-1;1,382235289E0
2,072987410E1;-1,600466967E-1;-3,825543523E-1;-5,548183322E-1
2,082987410E1;-3,419318199E-1;2,790127039E0;-1,125061035E0
2,092987410E1;-7,664831877E-1;-2,345722616E-1;-1,173319459E0
2,102987410E1;-2,017229795E0;-8,153523803E-1;-8,342891932E-1
2,112987410E1;-2,511114359E0;1,094975919E-1;-6,409503818E-1
2,122987410E1;-2,629774809E-1;6,261368841E-2;-4,134030640E-1
2,132987410E1;2,247067690E0;9,984592199E-1;1,437060475E0
2,142987410E1;2,353511095E0;-3,471241891E-1;1,369407177E0
2,152987410E1;1,694540143E0;-1,818851233E-1;1,054811597E0
2,162987410E1;-1,837177277E-1;-1,498299718E0;-3,921754956E-1
2,172987410E1;-4,167627990E-1;1,357037187E0;-1,180649757E0
2,182987410E1;-1,333824277E0;-2,782491148E-1;-1,477683067E0
2,192987410E1;-2,540130377E0;-2,000583708E-1;-6,398813725E-1
2,202987410E1;-1,974621892E0;-7,930558324E-1;-6,615670323E-1
2,212987410E1;3,481931984E-1;6,963863969E-1;1,032362282E-1
2,222987410E1;2,020589590E0;5,904012322E-1;1,415222049E0
2,232987410E1;2,293188095E0;-3,735440969E-1;1,958739400E0
2,242987410E1;1,340391040E0;-7,043276429E-1;8,801041245E-1
2,252987410E1;-5,650503635E-1;6,524040699E-1;-6,924157739E-1
2,262987410E1;-9,327912331E-1;6,608034968E-1;-9,969320893E-1
2,272987410E1;-1,668883801E0;3,176499158E-2;-1,283580542E0
2,282987410E1;-2,717586756E0;-9,068294764E-1;-8,196284175E-1
2,292987410E1;-1,089783549E0;-3,390302137E-2;-3,758348525E-1
2,302987410E1;1,173930287E0;7,985535860E-1;5,948300362E-1
2,312987410E1;2,537687063E0;-3,344487399E-2;1,246317863E0
2,322987410E1;2,265393734E0;-1,113301888E-1;1,331228137E0
2,332987410E1;8,449793458E-1;1,510364264E-1;1,724167168E-1
2,342987410E1;-5,077817440E-1;9,402743578E-1;-4,902193546E-1
2,352987410E1;-1,116814375E0;-7,005097270E-1;-1,158964038E0
2,362987410E1;-2,340224743E0;-9,132435322E-1;-1,030835152E0
2,372987410E1;-2,221564293E0;-7,116580009E-1;-4,327980280E-1
2,382987410E1;-3,594942093E-1;9,437867999E-2;-2,809980214E-1
2,392987410E1;2,027003527E0;1,144303322E0;1,169348836E0
2,402987410E1;2,278985500E0;-4,092797264E-2;1,878563404E0
2,412987410E1;1,691027761E0;-4,715879560E-1;1,226464748E0
2,422987410E1;-2,354885489E-1;-1,514945775E-1;-5,210680366E-1
2,432987410E1;-7,767151594E-1;-2,521346211E-1;-3,978259861E-1
2,442987410E1;-1,678199530E0;-3,417791128E-1;-1,588707805E0
2,452987410E1;-2,428952932E0;-1,114829108E-1;-4,039346576E-1
2,462987410E1;-1,433395267E0;-7,947356701E-1;-2,813034356E-1
2,472987410E1;6,940956116E-1;1,109025836E0;4,839579761E-1
2,482987410E1;2,390621185E0;1,324050426E-1;1,143997908E0
2,492987410E1;2,309528828E0;6,551529467E-2;1,739438772E0
2,502987410E1;9,393580556E-1;-3,842342496E-1;3,822489381E-1
2,512987410E1;-4,150829315E-1;1,213331103E0;-6,125451326E-1
2,522987410E1;-1,016937971E0;7,880161703E-2;-1,416291118E0
2,532987410E1;-2,425745964E0;-1,386053205E0;-1,300073981E0
2,542987410E1;-2,392301083E0;-6,140722632E-1;-2,887865305E-1
2,552987410E1;-3,061962128E-1;1,666134894E-1;-3,069597781E-1
2,562987410E1;2,087784767E0;1,084438562E0;9,908234477E-1
2,572987410E1;2,497217178E0;-2,214386463E-1;1,715920448E0
2,582987410E1;1,793500304E0;-8,842274547E-2;1,110247612E0
2,592987410E1;-6,108652335E-3;1,221730467E-2;-2,860376537E-1
2,602987410E1;-8,239045143E-1;1,089325428E0;-1,063210964E0
