"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1,571882371E1;-4,875840154E-3;1,664066222E-3;2,316618105E-3
1,581931671E1;-9,430084378E-3;6,108204834E-4;4,438416567E-3
1,591980871E1;-9,376777336E-3;-2,666080603E-3;1,820388716E-3
1,602030171E1;-1,624049386E-3;-6,442976184E-3;-2,000625245E-4
1,612079471E1;-1,252679154E-2;-6,542617455E-3;5,700141191E-4
1,622128771E1;-5,917445756E-3;5,148957483E-3;1,606101170E-3
1,632177971E1;-9,601863101E-3;1,170437410E-2;9,427312762E-4
1,642227238E1;-1,345712692E-2;-6,449215114E-3;-2,364804037E-3
1,652276538E1;-3,978962544E-3;1,031641103E-2;-4,143756349E-3
1,662325838E1;-8,917186409E-3;-5,524071865E-3;-6,087269168E-3
1,672375138E1;-1,007677987E-2;3,760961350E-3;-6,471576635E-3
1,682424438E1;-1,261358242E-2;1,990989083E-3;-6,000188645E-3
1,692473638E1;-1,244689524E-2;7,235246245E-3;-4,655165598E-3
1,702522938E1;-3,115470987E-3;1,827454008E-2;-6,218313240E-3
1,712572237E1;-1,134553179E-2;-5,523805041E-3;-7,784644142E-3
1,722621538E1;-7,116818801E-3;1,379527384E-3;-1,058339607E-2
1,732670738E1;-1,908000559E-2;-1,560904365E-2;-8,125595748E-3
1,742720025E1;-3,652484389E-3;3,951414954E-3;-9,011573158E-3
1,752769325E1;-6,083855405E-3;7,496681064E-3;-1,010048017E-2
1,762818625E1;-1,781979762E-2;-3,908711486E-3;-9,956253693E-3
1,772867925E1;-1,290846616E-2;-3,926707432E-3;-1,294027176E-2
1,782917125E1;-1,893229410E-2;-8,176241070E-3;-1,607530564E-2
1,792966425E1;-7,247027010E-3;4,194288515E-3;-1,575834677E-2
1,803015725E1;-6,054993719E-3;1,200066973E-2;-1,683099195E-2
1,813065025E1;-9,703108110E-3;8,018175140E-3;-1,334689464E-2
1,823114325E1;-4,822060466E-3;5,378019065E-3;-1,717643812E-2
1,833163525E1;-1,440027449E-2;-2,245450951E-2;-2,071730047E-2
1,843212858E1;3,374866210E-4;1,536031626E-2;-2,251061425E-2
1,853262158E1;-1,141746063E-3;4,966647830E-3;-2,279880643E-2
1,863311458E1;-2,042187937E-2;-2,346941642E-2;-2,304604650E-2
1,873360758E1;9,045035578E-3;2,614970133E-2;-2,265906706E-2
1,883409958E1;-6,165176630E-3;6,799330004E-5;-2,304970101E-2
1,893459258E1;-1,360471360E-3;1,920432970E-2;-2,340509742E-2
1,903508558E1;-1,008951105E-2;-1,519476529E-3;-2,456429228E-2
1,913557858E1;-4,033504054E-3;1,322891749E-2;-2,671885118E-2
1,923607158E1;-2,229823964E-3;7,063529920E-4;-2,631420270E-2
1,933656358E1;3,282338148E-3;2,129555494E-2;-2,726419456E-2
1,943705638E1;-1,515193563E-2;-1,736654155E-2;-2,667747065E-2
1,953754938E1;6,476421840E-3;2,449438721E-2;-2,800432406E-2
1,963804238E1;-4,447727930E-3;1,264097635E-3;-3,196170926E-2
1,973853537E1;-1,276020706E-2;-2,146161348E-2;-3,238858655E-2
1,983902738E1;-7,923507132E-3;8,351064287E-3;-3,109998070E-2
1,993952038E1;-2,649343573E-3;2,050920203E-2;-3,295536339E-2
2,004001338E1;3,120616311E-3;2,066408470E-2;-3,012987226E-2
2,014050638E1;-1,431924291E-2;-1,232475974E-2;-3,319502622E-2
2,024099838E1;-4,269273020E-3;1,249350421E-2;-3,556526452E-2
2,034149138E1;-1,386955753E-2;-2,022153512E-2;-3,511356935E-2
2,044198483E1;2,285494003E-3;1,028932258E-2;-3,255639225E-2
2,054247783E1;-5,009459332E-3;-1,243419945E-3;-2,994229272E-2
2,064297083E1;-3,068228019E-3;6,780221127E-3;-3,116866387E-2
2,074346283E1;-4,633957986E-3;-1,085208543E-2;-3,472281992E-2
2,084395583E1;-1,685389131E-2;-1,664387248E-2;-3,388782963E-2
2,094444883E1;-9,607458487E-3;-3,556457115E-3;-3,161424026E-2
2,104494183E1;-9,672920220E-3;6,466431543E-3;-3,025393188E-2
2,114543383E1;-2,653067932E-3;2,487705089E-3;-3,130671009E-2
2,124592683E1;-8,647751063E-3;5,677983165E-3;-3,433635086E-2
2,134641983E1;-8,428718895E-3;-5,849663168E-3;-3,370958194E-2
2,144691238E1;-1,574661955E-2;-1,151238196E-2;-3,264104947E-2
2,154740538E1;3,350417828E-3;1,181078143E-2;-3,214680031E-2
2,164789738E1;-1,471693628E-3;2,889462747E-3;-3,061321750E-2
2,174839038E1;-8,601026610E-3;-1,699937694E-2;-3,449265286E-2
2,184888338E1;-1,163325273E-3;-5,935762078E-3;-3,900950402E-2
2,194937637E1;-8,829133585E-3;-1,034298539E-2;-3,379615396E-2
2,204986838E1;-4,780696705E-3;3,926455509E-3;-3,273988888E-2
2,215036138E1;2,966389991E-3;1,669847965E-2;-3,196804225E-2
2,225085438E1;-8,047791198E-3;-1,648093201E-2;-3,194121271E-2
