"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
1,674533028E1;9,369600296E0;4,811679840E1;6,514800072E0
1,684533028E1;1,234639931E1;4,784840012E1;4,745800018E0
1,694533028E1;9,186599731E0;4,818999863E1;8,064199448E0
1,704533028E1;7,441999912E-1;4,772639847E1;1,370059967E1
1,714533028E1;-7,100399971E0;4,688459778E1;1,544519997E1
1,724533028E1;-1,252939987E1;4,446899796E1;1,851959991E1
1,734533028E1;-1,011380005E1;4,110179901E1;2,631539917E1
1,744533028E1;-8,588799477E0;4,067480087E1;2,848699951E1
1,754533028E1;-6,295199871E0;3,961339951E1;3,130519867E1
1,764533028E1;-4,550600052E0;4,129700089E1;2,957279968E1
1,774533028E1;3,781999946E-1;4,718959808E1;2,073999977E1
1,784533028E1;3,647799969E0;4,844619751E1;1,764119911E1
1,794533028E1;4,623799801E0;4,976379776E1;1,287099934E1
1,804533028E1;7,844599724E0;5,045919800E1;9,662400246E0
1,814533028E1;1,001620007E1;5,160599899E1;8,015399933E0
1,824533028E1;3,062199831E0;5,171579742E1;1,426179981E1
1,834533028E1;-6,966199875E0;4,947100067E1;1,986159897E1
1,844533028E1;-1,607959938E1;4,688459778E1;2,209420013E1
1,854533028E1;-1,797060013E1;4,106520081E1;2,998760033E1
1,864533028E1;-1,616499901E1;4,206559753E1;3,036579895E1
1,874533028E1;-1,762899971E1;4,069919968E1;3,168339920E1
1,884533028E1;-1,555499935E1;3,833239746E1;3,551419830E1
1,894533028E1;-1,357859993E1;4,124819946E1;3,270819855E1
1,904533028E1;-1,017479992E1;4,442020035E1;2,949959946E1
1,914533028E1;-7,673799992E0;4,632339859E1;2,666919899E1
1,924533028E1;-8,418000221E0;4,667720032E1;2,482699966E1
1,934533028E1;-1,217560005E1;4,640879822E1;2,346059990E1
1,944533028E1;-1,398119926E1;4,512779999E1;2,350939941E1
1,954533028E1;-1,991040039E1;3,888140106E1;2,771839905E1
1,964533028E1;-2,442440033E1;3,333039856E1;2,899939919E1
1,974533028E1;-2,061800003E1;3,672200012E1;2,710840034E1
1,984533028E1;-1,471319962E1;3,943040085E1;2,754759979E1
1,994533028E1;-1,259039974E1;3,850320053E1;2,847480011E1
2,004533028E1;-1,161439991E1;3,796640015E1;2,834059906E1
2,014533028E1;-1,138259983E1;3,822259903E1;2,624219894E1
2,024533028E1;-1,200479984E1;3,899119949E1;2,377779961E1
2,034533028E1;-1,434719944E1;3,888140106E1;2,082539940E1
2,044533028E1;-1,751919937E1;3,624620056E1;2,119140053E1
2,054533028E1;-2,560779953E1;2,591279984E1;2,521739960E1
2,064533028E1;-2,437559891E1;2,803559875E1;2,441219902E1
