"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1,539288625E1;-2,662015259E-1;-8,279166222E0;2,787638307E-1
1,549288625E1;-1,342971683E0;-1,217647648E1;6,221339107E-1
1,559288625E1;-5,778666735E-1;-1,166441250E1;-2,490928411E0
1,569288625E1;2,949153781E-1;-7,216753006E0;5,862415582E-2
1,579288625E1;-8,464609981E-1;-3,442673683E0;6,915257573E-1
1,589288625E1;3,382853031E0;-5,116453171E0;-3,449851990E0
1,599288625E1;6,283552170E0;-1,153041458E1;-6,160920143E0
1,609288625E1;3,469592705E-2;-1,054756260E1;-2,955734253E0
1,619288625E1;-1,124626622E-1;-7,967501163E0;-2,039283037E0
1,629288625E1;-7,788637877E-1;-9,461818695E0;-3,008974493E-1
1,639288625E1;-6,269195080E-1;-1,000798035E1;1,157527924E0
1,649288625E1;-1,351346612E0;-8,594420433E0;5,982056856E-1
1,659288625E1;-3,815355778E0;-8,521439552E0;1,272981644E0
1,669288625E1;-3,318845034E0;-8,405387878E0;5,575276613E-1
1,679288625E1;-2,090130568E0;-9,848857880E0;8,015955687E-1
1,689288625E1;-1,395015597E0;-1,129472065E1;6,281159073E-2
1,699288625E1;-3,803989887E0;-1,091246796E1;1,179661512E0
1,709288625E1;-4,531407833E0;-1,168594742E1;-1,211964726E0
1,719288625E1;-5,796613097E-1;-7,972885132E0;-2,362912297E-1
1,729288625E1;-2,997608662E0;-3,544966698E0;9,332008660E-2
1,739288625E1;3,775275946E0;-1,205025482E1;-4,076771736E0
1,749288625E1;2,533401012E0;-8,994022369E0;-3,110071182E0
1,759288625E1;-4,101297855E0;-6,540780544E0;1,372283816E0
1,769288625E1;-2,940180779E0;-1,130010509E1;2,976671457E0
1,779288625E1;-2,001596212E0;-7,760521889E0;2,175075769E0
1,789288625E1;-3,007778168E0;-7,821538925E0;1,013958573E0
1,799288625E1;-9,284151793E-1;-9,706484795E0;5,569294691E-1
1,809288625E1;-2,165504545E-1;-1,105424213E1;1,000199914E0
1,819288625E1;-1,609173179E0;-1,195274734E1;7,824530005E-1
1,829288625E1;-8,556135178E0;-1,541037560E1;2,419741869E0
1,839288625E1;-2,321037948E-1;-8,943773270E0;-5,527420044E-1
1,849288625E1;-2,264208317E0;-3,955335855E0;9,481559992E-1
1,859288625E1;6,969096065E-1;-9,241081238E0;-2,930609465E0
1,869288625E1;7,078567505E0;-1,307797241E1;-3,223132133E0
1,879288625E1;-3,840480447E-1;-1,454477215E1;-3,645465374E0
1,889288625E1;-3,288336515E0;-6,923034191E0;4,912465096E0
1,899288625E1;-2,303689957E0;-1,062114143E1;-6,412764788E-1
1,909288625E1;-1,316052526E-1;-8,527421951E0;-2,159522474E-1
1,919288625E1;1,031306505E0;-6,908079147E0;-2,475973129E0
1,929288625E1;1,962114573E-1;-7,487142086E0;-7,375875711E-1
1,939288625E1;1,627717614E0;-9,064012527E0;-2,216351986E0
1,949288625E1;-4,289134443E-1;-1,478764439E1;-2,354537487E0
1,959288625E1;-2,030908108E0;-1,020658493E1;-1,529013634E0
1,969288625E1;-1,118644595E0;-6,131608009E0;-1,090528965E0
1,979288625E1;1,067198873E0;-1,064686394E1;-3,749552965E0
1,989288625E1;3,868596077E0;-9,028717995E0;-1,896910191E0
1,999288625E1;-4,344169617E0;-1,255274773E1;1,639083475E-1
2,009288625E1;-1,106680512E0;-1,030648518E1;-1,220339537E-1
2,019288625E1;3,762713671E-1;-8,255238533E0;-1,465603858E-1
2,029288625E1;8,536394835E-1;-8,106883049E0;-1,804188251E0
2,039288625E1;5,587241054E-1;-1,026999474E1;-1,752742529E0
2,049288625E1;-4,168895245E0;-1,246481133E1;-1,895713687E0
2,059288625E1;-2,321037948E-1;-5,431109428E0;-3,290131092E-1
2,069288625E1;7,274180651E-1;-9,702896118E0;-3,973880291E0
2,079288625E1;3,389433384E0;-1,014197922E1;8,518448472E-1
2,089288625E1;-2,314457655E0;-1,393400478E1;3,069393158E0
2,099288625E1;-2,104487419E0;-1,518186188E1;3,227319479E0
2,109288625E1;-1,074975610E0;-8,444271088E0;-3,014956415E-1
2,119288625E1;-1,782652885E-1;-7,244270325E0;-1,360917926E0
2,129288625E1;7,764709592E-1;-9,456435204E0;3,391826153E-1
2,139288625E1;3,556332588E0;-1,306720448E1;-4,330410957E0
2,149288625E1;-3,409772158E0;-6,300302029E0;-1,076770201E-1
2,159288625E1;-1,155135155E0;-5,127819061E0;-1,241276741E0
2,169288625E1;1,296311617E0;-1,021854877E1;-3,266202927E0
2,179288625E1;1,612762451E0;-8,224729538E0;-1,192223907E0
2,189288625E1;-5,046463013E0;-1,265444279E1;-4,767699242E-1
2,199288625E1;-5,312066078E-1;-1,468774319E1;1,878963947E0
2,209288625E1;-4,977070987E-1;-8,387441635E0;-9,332008660E-2
2,219288625E1;1,055832982E0;-5,877370834E0;-8,201399446E-1
2,229288625E1;8,057830334E-1;-9,254241943E0;-9,637092948E-1
2,239288625E1;3,017947674E0;-1,842652893E1;-5,334199905E0
2,249288625E1;-1,938186288E0;-5,860620975E0;-1,140778184E0
2,259288625E1;-1,588834286E0;-4,455435753E0;-7,956135273E-1
2,269288625E1;-2,482553422E-1;-1,317727470E1;-3,632304668E0
2,279288625E1;-3,386442184E0;-1,069352436E1;-2,353939295E0
2,289288625E1;-2,105085611E0;-9,701699257E0;2,556730986E0
2,299288625E1;-4,038486481E0;-9,878767967E0;1,245464206E0
2,309288625E1;1,753939033E0;-9,987043381E0;-1,155135155E0
2,319288625E1;-1,156929731E0;-7,247859955E0;-2,236690998E0
2,329288625E1;-1,972284079E0;-7,101299286E0;2,589632273E0
2,339288625E1;-2,321037948E-1;-1,144307613E1;-1,354935765E0
2,349288625E1;2,980858803E0;-1,384427357E1;-3,133401155E0
2,359288625E1;2,980858803E0;-1,384427357E1;-3,133401155E0
2,369288625E1;-1,752742529E-1;-1,219681549E1;1,609173268E-1
2,379288625E1;1,400997639E0;-1,286620712E1;-7,160521746E-1
2,389288625E1;-1,362114310E0;-7,426125050E0;-1,186840057E0
2,399288625E1;-4,284348965E0;-6,092126369E0;3,836891174E0
2,409288625E1;2,821137905E0;-7,111468792E0;-3,768695593E-1
2,419288625E1;1,325623751E0;-1,554736519E1;-2,280359983E0
2,429288625E1;-1,225723386E0;-1,458425403E0;3,334996462E0
2,439288625E1;-5,068596363E0;-2,066561317E1;-5,137988567E0
2,449288625E1;3,122035265E0;-1,358046532E1;-2,189432681E-1
2,459288625E1;2,528615236E0;-7,830512047E0;-2,836691141E0
2,469288625E1;-1,613958836E0;-1,220100307E1;3,337987661E0
2,479288625E1;-1,262213945E0;-9,793225288E0;-2,196611166E0
2,489288625E1;4,671986103E0;-1,205743313E1;-3,265006542E0
2,499288625E1;5,170889854E0;-1,020718288E1;-3,875176191E0
2,509288625E1;-9,808179855E0;-1,301456261E1;-3,010769129E0
2,519288625E1;-2,757728100E-1;-1,326640701E1;3,302693367E0
2,529288625E1;-2,471187592E0;-8,657830238E0;1,822134495E0
2,539288625E1;-1,426720500E0;-7,350750923E0;1,183250785E0
2,549288625E1;1,149751306E0;-9,969097137E0;5,724828243E-1
2,559288625E1;1,281954765E0;-1,170329571E1;4,187439568E-3
2,569288625E1;-3,132802963E0;-1,203051376E1;1,016949654E0
