"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
1,051945395E2;5,233775851E1;4,868393292E0;3,325382772E0;1,440076470E0;1,697064819E2;4,949849129E0;3,000000000E0
1,061947085E2;5,233774305E1;4,868392797E0;3,351248640E0;1,455791235E0;1,708467255E2;5,030136108E0;3,000000000E0
1,071946295E2;5,233772651E1;4,868390852E0;3,321925157E0;1,479040623E0;1,713310394E2;5,169140816E0;3,000000000E0
1,081946085E2;5,233771280E1;4,868390181E0;3,453854638E0;1,474558353E0;1,686094666E2;5,345790863E0;3,000000000E0
1,091946695E2;5,233770017E1;4,868390455E0;3,581990334E0;1,461921215E0;1,693524780E2;5,555613995E0;3,000000000E0
1,101946435E2;5,233768444E1;4,868387516E0;3,542271739E0;1,475875139E0;1,745560760E2;5,724164963E0;3,000000000E0
1,111946325E2;5,233767316E1;4,868380317E0;3,541096129E0;1,455154896E0;1,782131805E2;5,851254463E0;3,000000000E0
1,121948875E2;5,233766372E1;4,868372063E0;3,601012180E0;1,423463821E0;1,881695709E2;5,981659412E0;3,000000000E0
1,131947085E2;5,233765281E1;4,868363804E0;3,620258451E0;1,406608105E0;1,940313873E2;6,015227795E0;3,000000000E0
1,141948805E2;5,233764338E1;4,868355800E0;3,723335323E0;1,380309820E0;1,981746979E2;6,194467545E0;3,000000000E0
1,151947075E2;5,233762683E1;4,868351499E0;3,665550877E0;1,407790422E0;1,946487274E2;6,312248230E0;3,000000000E0
1,161947405E2;5,233761380E1;4,868345139E0;3,735597745E0;1,406049490E0;1,933159027E2;6,359746456E0;3,000000000E0
1,171947495E2;5,233759981E1;4,868338998E0;3,720492852E0;1,412880182E0;1,918612671E2;6,413027763E0;3,000000000E0
1,181947655E2;5,233758851E1;4,868333693E0;3,744344456E0;1,399212122E0;1,909662933E2;6,563165665E0;3,000000000E0
1,191947785E2;5,233757026E1;4,868334628E0;3,749637818E0;1,442669272E0;1,849396362E2;6,745246887E0;3,000000000E0
1,201947885E2;5,233755755E1;4,868335794E0;3,873574053E0;1,432974219E0;1,837052002E2;6,962738991E0;3,000000000E0
1,211948005E2;5,233754612E1;4,868329243E0;3,850399087E0;1,416604638E0;1,882957001E2;7,176602840E0;3,000000000E0
1,221948595E2;5,233753328E1;4,868328109E0;3,873294433E0;1,407397628E0;1,837028351E2;7,397396564E0;3,000000000E0
1,231948385E2;5,233752017E1;4,868333016E0;3,826124465E0;1,402923465E0;1,794459229E2;7,596921444E0;3,000000000E0
1,241948895E2;5,233750262E1;4,868345658E0;3,771247278E0;1,447487116E0;1,729160461E2;7,775688171E0;3,000000000E0
1,251950455E2;5,233748663E1;4,868351373E0;3,767967567E0;1,464854717E0;1,698530426E2;7,714596748E0;3,000000000E0
1,261949145E2;5,233747160E1;4,868358151E0;3,934543920E0;1,474952936E0;1,686278534E2;7,672083855E0;3,000000000E0
1,271949065E2;5,233745900E1;4,868353813E0;3,898328200E0;1,465360999E0;1,753063660E2;7,696719170E0;3,000000000E0
1,281949385E2;5,233744216E1;4,868354341E0;3,764927096E0;1,491637111E0;1,758623657E2;7,731233597E0;3,000000000E0
1,291949725E2;5,233742783E1;4,868358196E0;3,824241750E0;1,494394660E0;1,731966553E2;7,794032097E0;3,000000000E0
1,301949575E2;5,233741285E1;4,868352967E0;3,821745280E0;1,502345800E0;1,749964447E2;7,793839931E0;3,000000000E0
1,311950085E2;5,233739097E1;4,868369241E0;3,837248765E0;1,580910921E0;1,728195648E2;7,741951942E0;3,000000000E0
1,321950215E2;5,233737347E1;4,868371441E0;3,962566866E0;1,597645283E0;1,767159271E2;7,788240433E0;3,000000000E0
1,331950275E2;5,233735782E1;4,868375637E0;4,045639916E0;1,599546552E0;1,749900818E2;7,789827347E0;3,000000000E0
1,341950505E2;5,233733947E1;4,868386142E0;3,977358991E0;1,632533789E0;1,689723511E2;7,774833679E0;3,000000000E0
1,351950585E2;5,233732527E1;4,868387481E0;3,948648397E0;1,619077325E0;1,637147522E2;7,747189522E0;3,000000000E0
1,361950955E2;5,233731582E1;4,868390763E0;3,893350947E0;1,570336938E0;1,682394104E2;7,834366322E0;3,000000000E0
1,371950855E2;5,233730472E1;4,868389741E0;3,861400999E0;1,537316084E0;1,741435699E2;7,803576469E0;3,000000000E0
1,381951265E2;5,233728959E1;4,868390496E0;3,829368034E0;1,539168835E0;1,749444580E2;7,462457657E0;3,000000000E0
1,391951535E2;5,233727288E1;4,868390966E0;3,771159092E0;1,552646160E0;1,771980438E2;6,508725166E0;3,000000000E0
1,401951475E2;5,233725902E1;4,868394197E0;3,760755298E0;1,543286562E0;1,768240967E2;6,043572426E0;3,000000000E0
1,411951695E2;5,233724427E1;4,868394898E0;3,783039543E0;1,541336298E0;1,763777771E2;5,618990898E0;3,000000000E0
1,421951775E2;5,233723396E1;4,868399185E0;3,853707821E0;1,504788637E0;1,734364624E2;5,281098366E0;3,000000000E0
1,431952045E2;5,233722345E1;4,868400057E0;3,809146221E0;1,469675064E0;1,742817230E2;5,197628975E0;3,000000000E0
1,441952335E2;5,233720988E1;4,868396554E0;3,801511358E0;1,465485811E0;1,766715088E2;5,033756256E0;3,000000000E0
1,451952635E2;5,233719627E1;4,868393468E0;3,800093821E0;1,461691737E0;1,796011963E2;4,995959282E0;3,000000000E0
1,461952625E2;5,233718368E1;4,868391648E0;3,748006701E0;1,448441982E0;1,806482849E2;5,068143845E0;3,000000000E0
1,471952605E2;5,233717252E1;4,868391718E0;3,616884504E0;1,424790263E0;1,819924469E2;5,205242157E0;3,000000000E0
1,481953035E2;5,233715912E1;4,868390404E0;3,567191674E0;1,423418999E0;1,826815186E2;5,251420975E0;3,000000000E0
1,491952975E2;5,233714418E1;4,868388253E0;3,570953899E0;1,433322072E0;1,788503265E2;5,290940285E0;3,000000000E0
1,501954195E2;5,233713422E1;4,868387603E0;3,736549371E0;1,399003148E0;1,750002594E2;5,416985512E0;3,000000000E0
1,511953335E2;5,233712285E1;4,868389437E0;3,709807450E0;1,380731225E0;1,781414490E2;5,528795719E0;3,000000000E0
1,521954085E2;5,233710862E1;4,868391152E0;3,587862545E0;1,389548779E0;1,800522766E2;5,593458176E0;3,000000000E0
1,531956605E2;5,233709436E1;4,868391879E0;3,507374488E0;1,399270415E0;1,805333557E2;5,605162621E0;3,000000000E0
1,541953975E2;5,233708798E1;4,868391306E0;3,646640305E0;1,340110302E0;1,806462555E2;5,542383671E0;3,000000000E0
1,551954095E2;5,233707405E1;4,868385188E0;3,670893839E0;1,352651596E0;1,829001923E2;5,537496090E0;3,000000000E0
1,561954225E2;5,233705944E1;4,868381980E0;3,602180186E0;1,367393494E0;1,835312195E2;5,563452244E0;3,000000000E0
1,571954615E2;5,233705074E1;4,868380101E0;3,623918622E0;1,330884814E0;1,846039276E2;5,546620369E0;3,000000000E0
1,581954545E2;5,233703475E1;4,868375793E0;3,745338039E0;1,358849883E0;1,822841644E2;5,551648617E0;3,000000000E0
1,591955325E2;5,233702317E1;4,868371300E0;3,901105877E0;1,347930908E0;1,818930817E2;5,598207474E0;3,000000000E0
1,601954945E2;5,233701076E1;4,868372176E0;3,935304671E0;1,344192863E0;1,819189148E2;5,536878109E0;3,000000000E0
1,611955405E2;5,233699251E1;4,868374374E0;3,793486780E0;1,392507076E0;1,790184784E2;5,608247757E0;3,000000000E0
1,621955655E2;5,233697658E1;4,868374874E0;3,702020406E0;1,415797472E0;1,772980957E2;5,533566475E0;3,000000000E0
1,631958085E2;5,233695917E1;4,868375258E0;3,623426113E0;1,449936152E0;1,767769775E2;5,572007179E0;3,000000000E0
1,641955535E2;5,233694385E1;4,868380000E0;3,627382103E0;1,465440035E0;1,777142029E2;5,571211815E0;3,000000000E0
1,651955945E2;5,233693458E1;4,868382524E0;3,588013508E0;1,425177455E0;1,787941284E2;5,576406479E0;3,000000000E0
1,661955895E2;5,233692050E1;4,868381077E0;3,512157412E0;1,427360773E0;1,789183044E2;5,602319241E0;3,000000000E0
1,671956625E2;5,233690795E1;4,868381616E0;3,553242573E0;1,417224050E0;1,780481262E2;5,596454620E0;3,000000000E0
1,681956395E2;5,233689616E1;4,868384941E0;3,423220183E0;1,405443430E0;1,770059509E2;5,578307152E0;3,000000000E0
1,691956565E2;5,233688231E1;4,868388568E0;3,414234898E0;1,412843347E0;1,772414246E2;5,638505936E0;3,000000000E0
1,701956905E2;5,233686605E1;4,868391040E0;3,366114707E0;1,439281106E0;1,802707977E2;5,598258972E0;3,000000000E0
1,711956955E2;5,233684887E1;4,868389715E0;3,363337815E0;1,470396042E0;1,850858459E2;5,530941486E0;3,000000000E0
1,721959355E2;5,233683652E1;4,868394349E0;3,495850725E0;1,461753964E0;1,823435822E2;5,538680077E0;3,000000000E0
1,731957665E2;5,233682728E1;4,868389522E0;3,610077936E0;1,427671432E0;1,772022247E2;5,337515831E0;3,000000000E0
1,741957845E2;5,233681881E1;4,868385016E0;3,776063956E0;1,388655424E0;1,770636444E2;5,201559544E0;3,000000000E0
1,751957875E2;5,233680528E1;4,868384179E0;3,761220270E0;1,391691923E0;1,738146362E2;4,959132671E0;3,000000000E0
1,761957945E2;5,233679205E1;4,868384639E0;3,741619120E0;1,395295382E0;1,716900635E2;4,689143181E0;3,000000000E0
1,771958485E2;5,233677734E1;4,868388101E0;3,643002181E0;1,414173961E0;1,732714081E2;4,394941330E0;3,000000000E0
1,781958055E2;5,233676101E1;4,868390359E0;3,347781517E0;1,444700956E0;1,789846497E2;4,211676121E0;3,000000000E0
