"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1,579944405E1;-3,518703222E0;4,990030289E0;2,689438581E0
1,589812376E1;1,079280376E0;1,863162041E0;5,388300419E-1
1,599679149E1;-1,525942326E0;-3,638141632E0;-3,637472630E0
1,609548660E1;-1,253778577E0;1,012655258E0;8,591318130E-1
1,619414966E1;-1,410856247E0;-1,441802979E-1;8,203558922E-1
1,629282392E1;7,270439267E-1;1,562500000E-2;4,219295979E-1
1,639150660E1;2,418879271E0;-7,787933350E-1;-2,432723761E0
1,649020154E1;8,283309937E-1;6,239233017E-1;-1,245409250E-1
1,658887015E1;6,759278774E-1;2,128353119E-1;-4,817681313E-1
1,668754757E1;1,640774012E0;-6,785106659E-2;-2,605465889E0
1,678624029E1;6,092185974E0;-3,801343918E0;-1,633873701E0
1,688492130E1;1,284042835E0;-2,274283409E0;-3,394355297E0
1,698359710E1;-4,412628174E0;-4,108042717E0;-1,458341628E-1
1,708227868E1;-4,971929193E-1;4,366207123E-1;3,091346264E0
1,718094562E1;-1,500431418E0;4,428029060E0;2,927614689E0
1,727963546E1;-1,638667345E0;4,019605160E0;4,018416405E-1
1,737831849E1;1,768809080E0;-2,249538422E0;7,168166637E-1
1,747701987E1;-1,628353834E0;-2,626517296E0;-1,557163596E0
1,757566418E1;-4,364134789E0;5,819689274E0;-9,933530688E-1
1,767434298E1;-1,086924076E-1;-2,601853371E0;1,130301237E0
1,777303560E1;7,757949829E-1;1,840807438E0;2,073710680E0
1,787171799E1;-1,145205498E-1;1,051309586E0;-1,616987467E0
1,797039434E1;3,696274996E0;-8,337879181E-1;-1,956110358E0
1,806907923E1;4,165590763E0;-2,735035896E0;-1,045624018E0
1,816774044E1;2,360182524E0;-3,073221207E0;-1,026779413E-2
1,826642998E1;-6,621353626E0;-2,699878693E0;7,633752227E-1
1,836511182E1;2,611836195E-1;8,521080017E-2;2,167550325E0
1,846379131E1;-3,497628689E0;7,461879730E0;3,231836319E0
1,856246998E1;3,141367435E-1;1,142712593E0;-9,121688604E-1
1,866113681E1;1,407352686E0;-6,073083878E-1;-2,512269020E0
1,875983393E1;-1,686860323E0;-6,900195122E0;2,881397247E0
1,885850653E1;-4,166914821E-1;1,297725677E0;7,700868130E0
1,895718571E1;-1,862333059E0;-9,193067551E-1;-6,765879393E-1
1,905585408E1;2,788520813E0;1,683489323E0;-4,442802072E-1
1,915453291E1;2,542195797E0;3,075023174E0;-2,415320158E0
1,925321194E1;8,350006342E-1;2,012950420E0;8,165892959E-2
1,935190311E1;3,204644442E0;8,510065079E-1;-2,012371063E0
1,945057951E1;-3,491024971E0;-1,072175026E1;1,866617680E0
1,954925511E1;-3,052115440E0;3,402881622E-1;1,191948891E0
1,964792931E1;-2,621204376E0;6,345526695E0;3,836297989E-1
1,974661632E1;1,810829401E0;-1,699796677E0;-1,874869108E0
1,984529623E1;2,042313337E0;1,949463844E0;-3,531359196E0
1,994397978E1;-3,316665173E0;-5,374221802E0;5,442834854E0
2,004264722E1;4,191082954E0;-2,055509567E0;1,176663399E0
2,014132278E1;2,156166792E0;1,687034607E0;6,616216898E-1
2,024001500E1;1,382246971E0;2,277474403E0;-9,948092103E-1
2,033871462E1;1,133980036E0;1,134014130E-1;1,551775932E-1
2,043737323E1;-2,290677071E0;-1,085759544E1;1,713885307E0
2,053605460E1;-6,196483374E-1;4,868418694E0;2,601708889E0
2,063472022E1;-1,612203121E-1;6,259951591E0;-1,695264459E0
2,073340490E1;5,379004002E0;-7,253036499E-1;3,173120022E0
