"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
1,358921174E2;5,201716875E1;5,092749808E0;5,253191588E0;5,179510593E0;2,798403931E2;4,278716087E0;3,000870466E0
1,368921444E2;5,201718097E1;5,092672787E0;5,676573390E0;5,079609871E0;2,744025574E2;4,198179722E0;3,000000000E0
1,378921584E2;5,201718005E1;5,092581990E0;5,857937786E0;5,200648308E0;2,715970154E2;4,124375820E0;3,000000000E0
1,388921634E2;5,201717387E1;5,092496102E0;6,263212293E0;5,187103748E0;2,722673340E2;4,124490738E0;3,000000000E0
1,398921784E2;5,201716626E1;5,092410833E0;5,657882368E0;5,217492580E0;2,719708557E2;4,231501102E0;3,000000000E0
1,408922344E2;5,201715624E1;5,092325999E0;5,546805253E0;5,171527863E0;2,715370178E2;4,166358948E0;3,000000000E0
1,418922524E2;5,201714612E1;5,092247748E0;5,236517713E0;5,241708279E0;2,666143188E2;4,490146160E0;3,000000000E0
1,428922444E2;5,201713646E1;5,092174679E0;4,697494102E0;5,269792080E0;2,660572205E2;4,844531059E0;3,000000000E0
1,438923104E2;5,201713460E1;5,092095236E0;4,391802567E0;5,161572933E0;2,654017944E2;4,844523907E0;3,000000000E0
1,448923204E2;5,201713057E1;5,092017919E0;4,129792869E0;5,374287128E0;2,643494873E2;4,844518185E0;3,000000000E0
1,458922864E2;5,201712528E1;5,091941505E0;4,310689861E0;5,433244705E0;2,630274048E2;4,844512939E0;3,000000000E0
1,468923354E2;5,201712345E1;5,091853011E0;4,213554451E0;5,487102509E0;2,635386658E2;4,553137779E0;3,000000000E0
1,478923554E2;5,201712007E1;5,091765627E0;4,340899200E0;5,465229511E0;2,646354980E2;4,844500065E0;3,000000000E0
1,488924514E2;5,201711456E1;5,091698014E0;4,228616540E0;5,427813530E0;2,648327026E2;4,844494820E0;3,000000000E0
1,498923874E2;5,201711106E1;5,091621376E0;4,227676816E0;5,385905743E0;2,658941956E2;4,844489098E0;3,000000000E0
1,508923904E2;5,201710723E1;5,091546507E0;4,197444553E0;5,072429180E0;2,645693359E2;4,844484329E0;3,000000000E0
1,518924004E2;5,201710248E1;5,091477506E0;4,408077152E0;4,864805222E0;2,639795837E2;4,844478607E0;3,000000000E0
1,528924074E2;5,201709728E1;5,091401985E0;4,561539787E0;4,872014523E0;2,646208191E2;4,588316917E0;3,000000000E0
