Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-12-13 17:33:12,false,"Nieuwegein Running","4.02","346","00:19:20","174","190","3.4","153","161","4:48","4:09","10","12","1.35","7.8","10.5","289","4:49","425","0.0","420","522","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:06.2","5","NaN","00:19:15","00:20:17","-5","6"
Strength Training,2023-12-11 08:38:26,false,"Strength","0.00","276","00:46:34","98","130","0.6","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","190","20","NaN:NaN","25.0","NaN:NaN","No","00:46:34","1","30.0","00:13:12","00:46:34","--","--"
Running,2023-12-10 14:47:21,false,"Nieuwegein Running","5.38","482","00:28:19","168","181","3.5","154","161","5:16","3:43","12","7","1.23","8.2","10.1","297","5:16","400","0.0","394","660","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:01:56.1","6","NaN","00:28:05","00:28:24","-15","-5"
Running,2023-12-08 17:19:48,false,"Nieuwegein Running","5.04","429","00:32:00","145","163","2.4","149","158","6:21","4:50","3","6","1.06","9.0","9.5","322","6:21","324","0.0","322","469","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:14.6","6","NaN","00:31:59","00:32:00","-11","-4"
Strength Training,2023-12-08 08:30:00,false,"Strength","0.00","143","00:21:01","101","126","0.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","10","18","NaN:NaN","25.0","NaN:NaN","No","00:21:01","1","25.0","00:15:03","00:21:05","--","--"
Running,2023-12-05 17:09:06,false,"Nieuwegein - Recovery","5.38","482","00:31:01","163","174","3.0","151","158","5:46","4:56","4","8","1.15","8.6","9.8","311","5:48","353","0.0","349","449","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:02:52.5","6","NaN","00:30:48","00:31:01","-4","3"
Strength Training,2023-12-04 17:42:37,false,"Strength","0.00","224","00:31:41","105","136","0.8","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","140","14","NaN:NaN","26.0","NaN:NaN","No","00:31:41","1","30.0","00:09:02.3","00:31:41","--","--"
Strength Training,2023-12-03 12:54:49,false,"Strength","0.00","748","01:16:53","129","169","2.6","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","276","18","NaN:NaN","25.0","NaN:NaN","No","01:16:53","1","30.0","00:24:57","01:16:53","--","--"
Strength Training,2023-12-02 18:09:57,false,"Strength","0.00","193","00:31:37","98","119","0.5","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","146","21","NaN:NaN","26.0","NaN:NaN","No","00:31:37","1","27.0","00:17:41","00:31:37","--","--"
Running,2023-12-01 17:19:45,false,"Nieuwegein Running","4.64","399","00:27:28","155","172","2.9","151","158","5:55","5:06","11","12","1.12","8.7","9.7","311","5:57","356","0.0","347","457","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:04:04.6","5","NaN","00:27:09","00:29:28","-4","5"
Treadmill Running,2023-11-30 08:58:11,false,"Treadmill Running","3.02","298","00:16:58","168","177","3.2","155","163","5:37","5:47","--","--","1.02","8.9","9.0","303","--","316","0.0","309","355","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:04:24.3","3","NaN","00:16:43","00:16:58","--","--"
Strength Training,2023-11-30 08:11:04,false,"Strength","0.00","249","00:39:24","102","133","0.7","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","148","16","NaN:NaN","26.0","NaN:NaN","No","00:39:24","1","28.0","00:10:12","00:39:24","--","--"
Strength Training,2023-11-29 20:46:58,false,"Strength","0.00","170","00:28:33","98","145","0.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","112","21","NaN:NaN","24.0","NaN:NaN","No","00:28:33","1","27.0","00:16:42","00:28:33","--","--"
Multisport,2023-11-28 13:12:28,false,"Multisport","10.75","663","00:43:04","NaN","186","4.0","--","--","4.3","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:NaN:NaN","5","NaN","00:NaN:NaN","00:45:17","58","59"
