Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2024-05-20 12:31:00,false,"Strength","0.00","265","00:41:04","109","155","0.8","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","208","12","NaN:NaN","27.0","NaN:NaN","No","00:41:04","1","30.0","00:15:35","00:41:04","--","--"
Running,2024-05-20 11:26:37,false,"Nieuwegein - Recovery","3.72","304","00:26:07","136","143","2.1","156","177","7:01","5:38","8","8","0.91","9.4","8.6","312","7:02","296","0.0","295","371","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","26.0","NaN:NaN","No","00:00:06.6","2","31.0","00:26:02","00:26:07","8","18"
Strength Training,2024-05-19 15:23:22,false,"Strength","0.00","167","00:32:10","99","134","0.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","140","15","NaN:NaN","26.0","NaN:NaN","No","00:32:10","1","29.0","00:11:09","00:32:10","--","--"
Running,2024-05-18 10:00:46,false,"IJsselstein Running","9.96","835","00:49:40","183","194","4.7","159","165","4:59","4:09","8","9","1.26","7.9","9.9","284","5:01","408","0.0","407","554","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","28.0","NaN:NaN","No","00:49:40","1","32.0","00:49:37","00:50:16","-3","5"
Running,2024-05-18 09:20:46,false,"IJsselstein Running","0.72","58","00:04:06.2","150","160","1.2","152","163","5:41","4:25","--","--","1.17","8.3","9.7","297","5:46","367","0.0","346","498","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","26.0","NaN:NaN","No","00:04:06.2","1","27.0","00:03:49","00:04:06.2","-3","-1"
Pool Swim,2024-05-17 08:19:53,false,"Pool Swim","1,000","403","00:36:15","139","174","2.4","--","--","2:20","1:07","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","628","51","27","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:18.8","30","NaN","00:23:25","00:39:43","--","--"
HIIT,2024-05-16 09:22:44,false,"HIIT","0.00","100","00:10:04","124","143","0.7","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","12","1","NaN:NaN","NaN","NaN:NaN","No","00:10:04","1","NaN","00:10:04","00:10:04","--","--"
Strength Training,2024-05-16 08:24:33,false,"Strength","0.00","342","00:53:50","108","141","0.8","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","248","15","NaN:NaN","26.0","NaN:NaN","No","00:53:50","1","29.0","00:18:31","00:53:50","--","--"
Cycling,2024-05-15 07:38:30,false,"Nieuwegein Cycling","20.06","497","01:04:07","119","142","1.3","--","--","18.8","33.2","52","52","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:12.4","5","NaN","01:03:07","07:14:02","-1","16"
Running,2024-05-14 14:47:08,false,"Nieuwegein Running","7.00","609","00:39:47","172","184","3.7","156","161","5:41","4:16","6","11","1.12","8.5","9.5","297","5:42","368","0.0","365","527","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","30.0","NaN:NaN","No","00:39:47","1","37.0","00:39:44","00:44:07","2","9"
Strength Training,2024-05-14 09:02:32,false,"Strength","0.00","266","00:55:34","95","129","0.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","208","21","NaN:NaN","27.0","NaN:NaN","No","00:55:34","1","30.0","00:13:51","00:55:34","--","--"
Cycling,2024-05-13 16:01:06,false,"Utrecht Cycling","8.77","260","00:30:08","122","141","1.3","--","--","17.5","35.5","26","30","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:14:01","2","NaN","00:28:35","00:30:08","-7","9"
Pool Swim,2024-05-13 08:06:47,false,"Pool Swim","1,000","412","00:37:43","138","180","2.5","--","--","1:51","0:50","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","489","40","26","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:08.6","37","NaN","00:18:34","00:37:57","--","--"
Cycling,2024-05-12 15:37:39,false,"Utrecht Cycling","13.82","448","00:43:33","134","153","2.2","--","--","19.0","32.3","71","73","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:12:21","3","NaN","00:43:10","00:46:50","-3","11"
HIIT,2024-05-12 09:20:11,false,"HIIT","0.00","106","00:10:02","127","163","1.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","25","1","NaN:NaN","NaN","NaN:NaN","No","00:10:02","1","NaN","00:10:02","00:10:02","--","--"
Strength Training,2024-05-12 08:27:39,false,"Strength","0.00","262","00:47:31","101","143","0.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","167","18","NaN:NaN","24.0","NaN:NaN","No","00:47:31","1","30.0","00:12:04","00:47:31","--","--"
HIIT,2024-05-11 14:55:50,false,"HIIT","0.00","131","00:10:04","141","162","1.9","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","22","1","NaN:NaN","NaN","NaN:NaN","No","00:10:04","1","NaN","00:10:04","00:10:04","--","--"
Strength Training,2024-05-11 13:34:23,false,"Strength","0.00","594","01:19:22","121","169","2.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","284","18","NaN:NaN","26.0","NaN:NaN","No","01:19:22","1","30.0","00:19:47","01:19:22","--","--"
Running,2024-05-10 17:44:06,false,"Nieuwegein Running","4.49","373","00:24:35","161","177","3.3","156","165","5:29","4:44","15","10","1.15","8.3","9.6","294","5:33","377","0.0","369","455","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","28.0","NaN:NaN","No","00:24:35","1","31.0","00:24:26","00:26:51","-8","4"
Pool Swim,2024-05-10 08:51:06,false,"Pool Swim","2,025","811","01:00:52","151","171","3.4","--","--","2:46","1:01","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","1741","63","31","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:13.8","19","NaN","00:56:05","01:01:00","--","--"
Walking,2024-05-09 18:01:57,false,"Nieuwegein Walking","4.95","343","01:00:58","96","114","0.8","93","203","12:19","8:03","22","17","0.88","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:10:59","5","NaN","00:56:54","01:02:25","-9","5"
