"Time (s)";"Temperature (°C)"
3,166340091E1;3,270703125E1
3,176340091E1;3,275390625E1
3,186340091E1;3,270703125E1
3,196340091E1;3,272265625E1
3,206340091E1;3,272656250E1
3,216340091E1;3,274609375E1
3,226340091E1;3,272656250E1
3,236340091E1;3,272265625E1
3,246340091E1;3,269921875E1
3,256340091E1;3,269140625E1
3,266340091E1;3,269140625E1
3,276340091E1;3,268359375E1
3,286340091E1;3,274609375E1
3,296340091E1;3,269140625E1
3,306340091E1;3,265625000E1
3,316340091E1;3,268359375E1
3,326340091E1;3,268359375E1
3,336340091E1;3,269921875E1
3,346340091E1;3,268750000E1
3,356340091E1;3,266406250E1
3,366340091E1;3,268359375E1
3,376340091E1;3,269140625E1
3,386340091E1;3,272656250E1
3,396340091E1;3,271484375E1
3,406340091E1;3,269140625E1
3,416340091E1;3,272265625E1
3,426340091E1;3,271484375E1
3,436340091E1;3,268359375E1
3,446340091E1;3,270703125E1
3,456340091E1;3,269921875E1
3,466340091E1;3,267578125E1
3,476340091E1;3,266406250E1
3,486340091E1;3,268359375E1
3,496340091E1;3,269921875E1
3,506340091E1;3,269140625E1
3,516340091E1;3,266406250E1
3,526340091E1;3,264843750E1
3,536340091E1;3,266406250E1
3,546340091E1;3,269140625E1
3,556340091E1;3,269921875E1
3,566340091E1;3,266406250E1
3,576340091E1;3,270703125E1
3,586340091E1;3,266406250E1
3,596340091E1;3,266406250E1
3,606340091E1;3,268359375E1
3,616340091E1;3,267578125E1
3,626340091E1;3,268359375E1
3,636340091E1;3,269921875E1
3,646340091E1;3,265625000E1
3,656340091E1;3,267578125E1
3,666340091E1;3,262500000E1
3,676340091E1;3,264843750E1
3,686340091E1;3,263281250E1
3,696340091E1;3,264062500E1
3,706340091E1;3,266406250E1
3,716340091E1;3,266406250E1
3,726340091E1;3,264843750E1
3,736340091E1;3,262500000E1
3,746340091E1;3,264843750E1
3,756340091E1;3,265625000E1
3,766340091E1;3,267578125E1
3,776340091E1;3,262500000E1
3,786340091E1;3,264843750E1
3,796340091E1;3,264843750E1
3,806340091E1;3,269140625E1
3,816340091E1;3,261718750E1
3,826340091E1;3,269921875E1
3,836340091E1;3,264843750E1
3,846340091E1;3,264843750E1
3,856340091E1;3,265625000E1
3,866340091E1;3,269140625E1
3,876340091E1;3,262500000E1
3,886340091E1;3,265625000E1
3,896340091E1;3,265625000E1
3,906340091E1;3,264062500E1
3,916340091E1;3,264843750E1
3,926340091E1;3,264062500E1
3,936340091E1;3,267578125E1
3,946340091E1;3,261718750E1
3,956340091E1;3,265625000E1
3,966340091E1;3,269921875E1
3,976340091E1;3,265625000E1
3,986340091E1;3,265625000E1
3,996340091E1;3,267578125E1
4,006340091E1;3,263281250E1
4,016340091E1;3,265625000E1
4,026340091E1;3,262500000E1
4,036340091E1;3,267578125E1
4,046340091E1;3,264843750E1
4,056340091E1;3,270703125E1
4,066340091E1;3,272656250E1
4,076340091E1;3,269140625E1
4,086340091E1;3,268359375E1
4,096340091E1;3,267578125E1
4,106340091E1;3,266406250E1
4,116340091E1;3,267968750E1
4,126340091E1;3,262500000E1
4,136340091E1;3,261718750E1
4,146340091E1;3,265625000E1
4,156340091E1;3,264843750E1
4,166340091E1;3,265625000E1
4,176340091E1;3,269921875E1
4,186340091E1;3,264843750E1
4,196340091E1;3,265625000E1
4,206340091E1;3,266406250E1
4,216340091E1;3,266406250E1
4,226340091E1;3,268359375E1
4,236340091E1;3,268359375E1
4,246340091E1;3,268359375E1
4,256340091E1;3,270703125E1
4,266340091E1;3,269140625E1
4,276340091E1;3,265625000E1
4,286340091E1;3,267578125E1
4,296340091E1;3,267578125E1
4,306340091E1;3,268359375E1
4,316340091E1;3,272656250E1
4,326340091E1;3,272656250E1
4,336340091E1;3,267578125E1
4,346340091E1;3,269140625E1
4,356340091E1;3,272265625E1
4,366340091E1;3,269140625E1
4,376340091E1;3,269140625E1
4,386340091E1;3,269921875E1
4,396340091E1;3,268359375E1
4,406340091E1;3,264843750E1
4,416340091E1;3,264062500E1
4,426340091E1;3,268359375E1
4,436340091E1;3,267578125E1
4,446340091E1;3,268359375E1
4,456340091E1;3,272656250E1
4,466340091E1;3,271484375E1
4,476340091E1;3,273828125E1
4,486340091E1;3,266406250E1
4,496340091E1;3,269140625E1
4,506340091E1;3,265625000E1
4,516340091E1;3,266406250E1
4,526340091E1;3,272265625E1
4,536340091E1;3,268359375E1
4,546340091E1;3,269140625E1
4,556340091E1;3,269140625E1
