"Time (s)";"Illuminance (lx)"
1,124876223E3;1,298337402E2
1,124976223E3;1,298337402E2
1,125076223E3;1,298337402E2
1,125176223E3;1,298337402E2
1,125276223E3;1,298337402E2
1,125376223E3;1,298337402E2
1,125476223E3;1,298337402E2
1,125576223E3;1,298337402E2
1,125676223E3;1,298337402E2
1,125776223E3;1,298337402E2
1,125876223E3;1,298337402E2
1,125976223E3;1,298337402E2
1,126076223E3;1,298337402E2
1,126176223E3;1,298337402E2
1,126276223E3;1,298337402E2
1,126376223E3;1,298337402E2
1,126476223E3;1,298337402E2
1,126576223E3;1,298337402E2
1,126676223E3;1,298337402E2
1,126776223E3;1,298337402E2
1,126876223E3;1,298337402E2
1,126976223E3;1,298337402E2
1,127076223E3;1,298337402E2
1,127176223E3;1,298337402E2
1,127276223E3;1,298337402E2
1,127376223E3;1,298337402E2
1,127476223E3;1,298337402E2
1,127576223E3;1,298337402E2
1,127676223E3;1,190374985E2
1,127776223E3;1,190374985E2
1,127876223E3;1,190374985E2
1,127976223E3;1,190374985E2
1,128076223E3;1,190374985E2
1,128176223E3;1,190374985E2
1,128276223E3;1,190374985E2
1,128376223E3;1,190374985E2
1,128476223E3;1,190374985E2
1,128576223E3;1,190374985E2
1,128676223E3;1,190374985E2
1,128776223E3;1,190374985E2
1,128876223E3;1,190374985E2
1,128976223E3;1,190374985E2
1,129076223E3;1,190374985E2
1,129176223E3;1,190374985E2
1,129276223E3;1,190374985E2
1,129376223E3;1,190374985E2
1,129476223E3;1,190374985E2
1,129576223E3;1,190374985E2
1,129676223E3;1,190374985E2
1,129776223E3;1,190374985E2
1,129876223E3;1,190374985E2
1,129976223E3;1,190374985E2
1,130076223E3;1,190374985E2
1,130176223E3;1,190374985E2
1,130276223E3;1,190374985E2
1,130376223E3;1,190374985E2
1,130476223E3;1,190374985E2
1,130576223E3;1,190374985E2
1,130676223E3;1,190374985E2
1,130776223E3;1,190374985E2
1,130876223E3;1,190374985E2
1,130976223E3;1,190374985E2
1,131076223E3;1,190374985E2
1,131176223E3;1,190374985E2
1,131276223E3;1,190374985E2
1,131376223E3;1,190374985E2
1,131476223E3;1,190374985E2
1,131576223E3;1,190374985E2
1,131676223E3;1,190374985E2
1,131776223E3;1,190374985E2
1,131876223E3;1,190374985E2
1,131976223E3;1,190374985E2
1,132076223E3;1,190374985E2
1,132176223E3;1,190374985E2
1,132276223E3;1,190374985E2
1,132376223E3;1,190374985E2
1,132476223E3;1,190374985E2
1,132576223E3;1,190374985E2
1,132676223E3;1,190374985E2
1,132776223E3;1,190374985E2
1,132876223E3;1,190374985E2
1,132976223E3;1,190374985E2
1,133076223E3;1,190374985E2
1,133176223E3;1,585587463E2
1,133276223E3;1,585587463E2
1,133376223E3;7,444374847E1
1,133476223E3;9,211999512E1
1,133576223E3;1,188137436E2
1,133676223E3;1,188137436E2
1,133776223E3;1,188137436E2
1,133876223E3;1,188137436E2
1,133976223E3;1,188137436E2
1,134076223E3;1,188137436E2
1,134176223E3;1,188137436E2
1,134276223E3;1,188137436E2
1,134376223E3;1,188137436E2
1,134476223E3;1,188137436E2
1,134576223E3;1,188137436E2
1,134676223E3;1,188137436E2
1,134776223E3;1,188137436E2
1,134876223E3;1,188137436E2
1,134976223E3;1,188137436E2
1,135076223E3;1,188137436E2
1,135176223E3;1,188137436E2
1,135276223E3;1,433512421E2
1,135376223E3;1,433512421E2
1,135476223E3;1,433512421E2
1,135576223E3;1,433512421E2
1,135676223E3;1,433512421E2
1,135776223E3;1,433512421E2
1,135876223E3;1,433512421E2
1,135976223E3;1,433512421E2
1,136076223E3;1,433512421E2
1,136176223E3;1,433512421E2
1,136276223E3;1,433512421E2
1,136376223E3;1,433512421E2
1,136476223E3;1,433512421E2
1,136576223E3;1,433512421E2
1,136676223E3;1,433512421E2
1,136776223E3;1,433512421E2
1,136876223E3;1,433512421E2
1,136976223E3;1,433512421E2
1,137076223E3;1,433512421E2
1,137176223E3;1,433512421E2
1,137276223E3;1,433512421E2
1,137376223E3;1,433512421E2
1,137476223E3;1,433512421E2
1,137576223E3;1,433512421E2
1,137676223E3;1,433512421E2
1,137776223E3;1,433512421E2
1,137876223E3;1,433512421E2
1,137976223E3;1,433512421E2
1,138076223E3;1,433512421E2
1,138176223E3;1,433512421E2
1,138276223E3;1,800325012E2
1,138376223E3;1,800325012E2
1,138476223E3;1,800325012E2
1,138576223E3;1,800325012E2
1,138676223E3;1,800325012E2
1,138776223E3;1,800325012E2
1,138876223E3;1,800325012E2
1,138976223E3;1,800325012E2
1,139076223E3;1,800325012E2
1,139176223E3;1,800325012E2
1,139276223E3;1,800325012E2
1,139376223E3;1,800325012E2
1,139476223E3;1,800325012E2
1,139576223E3;1,800325012E2
1,139676223E3;1,800325012E2
1,139776223E3;1,800325012E2
1,139876223E3;1,800325012E2
1,139976223E3;1,800325012E2
1,140076223E3;1,800325012E2
1,140176223E3;1,800325012E2
1,140276223E3;1,800325012E2
1,140376223E3;1,800325012E2
1,140476223E3;1,800325012E2
1,140576223E3;1,800325012E2
1,140676223E3;1,800325012E2
1,140776223E3;1,800325012E2
1,140876223E3;1,800325012E2
1,140976223E3;1,800325012E2
1,141076223E3;1,800325012E2
1,141176223E3;1,800325012E2
1,141276223E3;1,800325012E2
1,141376223E3;1,800325012E2
1,141476223E3;1,800325012E2
1,141576223E3;1,800325012E2
1,141676223E3;1,800325012E2
1,141776223E3;1,800325012E2
1,141876223E3;1,800325012E2
1,141976223E3;1,800325012E2
1,142076223E3;1,800325012E2
1,142176223E3;1,800325012E2
1,142276223E3;1,800325012E2
1,142376223E3;1,800325012E2
1,142476223E3;1,800325012E2
1,142576223E3;1,632174988E2
1,142676223E3;1,632174988E2
1,142776223E3;1,632174988E2
1,142876223E3;1,632174988E2
1,142976223E3;1,632174988E2
1,143076223E3;1,632174988E2
1,143176223E3;1,632174988E2
1,143276223E3;1,632174988E2
1,143376223E3;1,632174988E2
1,143476223E3;1,632174988E2
1,143576223E3;1,632174988E2
1,143676223E3;1,632174988E2
1,143776223E3;1,632174988E2
1,143876223E3;1,632174988E2
1,143976223E3;1,632174988E2
1,144076223E3;1,632174988E2
1,144176223E3;1,632174988E2
1,144276223E3;1,632174988E2
1,144376223E3;1,632174988E2
1,144476223E3;1,632174988E2
1,144576223E3;1,632174988E2
1,144676223E3;1,632174988E2
1,144776223E3;1,632174988E2
1,144876223E3;1,632174988E2
1,144976223E3;1,632174988E2
1,145076223E3;1,632174988E2
1,145176223E3;1,632174988E2
1,145276223E3;1,632174988E2
1,145376223E3;1,632174988E2
1,145476223E3;1,632174988E2
