"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1,540582459E1;-7,635815418E-4;-3,970623948E-3;-3,054326226E-4
1,550582459E1;-3,054326226E-4;-4,428773187E-3;-1,527163113E-4
1,560582458E1;-4,581489484E-4;-4,276056774E-3;-3,054326226E-4
1,570582458E1;-4,581489484E-4;-3,054326167E-3;-1,527163113E-4
1,580582459E1;3,054326226E-4;-2,901609987E-3;1,527163113E-4
1,590582459E1;-7,635815418E-4;-2,748893574E-3;-1,527163113E-4
1,600582459E1;-4,581489484E-4;-1,527163113E-4;-0,000000000E0
1,610582458E1;-1,527163084E-3;-1,527163113E-4;1,527163113E-4
1,620582459E1;1,221730490E-3;2,901609987E-3;1,527163113E-4
1,630582458E1;1,527163084E-3;2,748893574E-3;-3,054326226E-4
1,640582458E1;1,832595794E-3;3,817907767E-3;-3,054326226E-4
1,650582459E1;-0,000000000E0;4,428773187E-3;-4,581489484E-4
1,660582458E1;1,527163113E-4;3,665191587E-3;-1,527163113E-4
1,670582459E1;1,527163113E-4;3,207042580E-3;-6,108652451E-4
1,680582458E1;7,635815418E-4;5,192354787E-3;-1,527163084E-3
1,690582458E1;1,374446787E-3;2,901609987E-3;-9,162978968E-4
1,700582459E1;3,054326226E-4;1,985311974E-3;-6,108652451E-4
1,710582458E1;1,527163113E-4;3,054326226E-4;-0,000000000E0
1,720582459E1;1,527163113E-4;-1,069014193E-3;6,108652451E-4
1,730582458E1;3,054326226E-4;-0,000000000E0;-4,581489484E-4
1,740582458E1;-3,054326226E-4;-1,374446787E-3;1,527163113E-4
1,750582459E1;-4,581489484E-4;-1,069014193E-3;3,054326226E-4
1,760582458E1;-1,527163113E-4;-9,162978968E-4;1,527163113E-4
1,770582459E1;-1,527163113E-4;-4,581489484E-4;3,054326226E-4
1,780582458E1;9,162978968E-4;1,527163113E-4;-3,054326226E-4
1,790582458E1;9,162978968E-4;2,443460980E-3;-4,581489484E-4
1,800582459E1;1,527163113E-4;2,596177394E-3;-6,108652451E-4
1,810582458E1;-1,374446787E-3;2,748893574E-3;-4,581489484E-4
1,820582459E1;-3,054326226E-4;2,748893574E-3;-6,108652451E-4
1,830582458E1;0,000000000E0;2,290744567E-3;-1,527163113E-4
1,840582458E1;1,374446787E-3;1,832595794E-3;-3,054326226E-4
1,850582459E1;4,581489484E-4;-6,108652451E-4;0,000000000E0
1,860582458E1;0,000000000E0;-6,108652451E-4;-3,054326226E-4
1,870582459E1;-4,581489484E-4;-3,817907767E-3;4,581489484E-4
1,880582458E1;-1,679879380E-3;-5,039638374E-3;6,108652451E-4
1,890582458E1;1,527163113E-4;-6,872233935E-3;3,054326226E-4
1,900582459E1;1,221730490E-3;-2,901609987E-3;-9,162978968E-4
1,910582458E1;1,527163113E-4;-6,108652335E-3;4,581489484E-4
1,920582459E1;0,000000000E0;-3,817907767E-3;1,527163113E-4
1,930582458E1;1,985311974E-3;-1,221730490E-3;-7,635815418E-4
1,940582458E1;-4,581489484E-4;6,108652451E-4;-1,527163113E-4
1,950582459E1;-1,069014193E-3;9,162978968E-4;6,108652451E-4
1,960582458E1;-3,054326226E-4;5,650503561E-3;-4,581489484E-4
1,970582459E1;-4,581489484E-4;7,788531948E-3;-1,527163113E-4
1,980582458E1;1,221730490E-3;9,926560335E-3;-4,581489484E-4
1,990582458E1;3,054326226E-4;1,053742506E-2;-4,581489484E-4
2,000582459E1;4,581489484E-4;1,053742506E-2;-7,635815418E-4
2,010582458E1;-1,527163113E-4;8,399397135E-3;-3,054326226E-4
2,020582459E1;1,527163113E-4;6,108652335E-3;-4,581489484E-4
2,030582458E1;0,000000000E0;4,886921961E-3;-4,581489484E-4
2,040582458E1;9,162978968E-4;1,832595794E-3;-3,054326226E-4
2,050582459E1;1,527163084E-3;3,054326226E-4;-4,581489484E-4
2,060582458E1;-6,108652451E-4;-3,054326167E-3;3,054326226E-4
2,070582459E1;-1,527163113E-4;-3,817907767E-3;3,054326226E-4
2,080582458E1;-7,635815418E-4;-5,955935922E-3;1,527163113E-4
2,090582458E1;-1,527163113E-4;-7,330383174E-3;1,527163113E-4
2,100582459E1;-1,221730490E-3;-8,552113548E-3;4,581489484E-4
2,110582458E1;-3,054326226E-4;-8,704829961E-3;9,162978968E-4
2,120582459E1;-1,527163084E-3;-9,162978269E-3;1,069014193E-3
2,130582458E1;4,581489484E-4;-7,483099122E-3;4,581489484E-4
2,140582458E1;-3,054326226E-4;-5,955935922E-3;6,108652451E-4
2,150582459E1;-6,108652451E-4;-3,359758761E-3;6,108652451E-4
2,160582458E1;-1,527163113E-4;-2,138028387E-3;4,581489484E-4
2,170582459E1;-1,069014193E-3;1,985311974E-3;4,581489484E-4
2,180582458E1;-1,679879380E-3;2,748893574E-3;6,108652451E-4
2,190582458E1;-1,069014193E-3;5,955935922E-3;3,054326226E-4
2,200582459E1;-3,054326226E-4;7,177666761E-3;6,108652451E-4
2,210582458E1;6,108652451E-4;7,635815535E-3;3,054326226E-4
2,220582459E1;1,527163084E-3;8,093964309E-3;7,635815418E-4
2,230582458E1;1,527163084E-3;8,857546374E-3;4,581489484E-4
2,240582458E1;1,527163084E-3;6,872233935E-3;6,108652451E-4
2,250582459E1;-6,108652451E-4;4,886921961E-3;9,162978968E-4
2,260582458E1;-1,374446787E-3;3,817907767E-3;1,069014193E-3
2,270582459E1;-1,679879380E-3;1,527163084E-3;7,635815418E-4
2,280582458E1;-2,138028387E-3;-6,108652451E-4;1,374446787E-3
2,290582458E1;1,221730490E-3;-1,832595794E-3;6,108652451E-4
2,300582459E1;6,108652451E-4;-3,970623948E-3;1,069014193E-3
2,310582458E1;1,679879380E-3;-5,192354787E-3;4,581489484E-4
2,320582459E1;1,069014193E-3;-5,955935922E-3;1,221730490E-3
2,330582458E1;0,000000000E0;-6,108652335E-3;1,374446787E-3
2,340582458E1;-1,374446787E-3;-5,497787148E-3;1,374446787E-3
2,350582459E1;-1,221730490E-3;-4,734205548E-3;1,832595794E-3
2,360582458E1;-1,374446787E-3;-4,276056774E-3;1,069014193E-3
2,370582459E1;1,527163113E-4;-7,635815418E-4;7,635815418E-4
2,380582458E1;6,108652451E-4;2,138028387E-3;7,635815418E-4
2,390582458E1;9,162978968E-4;3,054326167E-3;4,581489484E-4
2,400582459E1;9,162978968E-4;4,123340361E-3;6,108652451E-4
2,410582458E1;6,108652451E-4;4,123340361E-3;1,679879380E-3
2,420582459E1;-1,527163113E-4;4,123340361E-3;1,527163084E-3
2,430582458E1;1,374446787E-3;3,665191587E-3;6,108652451E-4
2,440582458E1;-3,054326226E-4;1,527163113E-4;1,527163084E-3
2,450582459E1;1,527163113E-4;6,108652451E-4;1,527163084E-3
2,460582458E1;3,054326226E-4;-9,162978968E-4;1,221730490E-3
2,470582459E1;-1,527163113E-4;-1,527163084E-3;1,527163084E-3
2,480582458E1;1,069014193E-3;-1,832595794E-3;1,374446787E-3
2,490582458E1;1,374446787E-3;-2,290744567E-3;1,374446787E-3
2,500582459E1;-7,635815418E-4;-2,748893574E-3;1,527163084E-3
2,510582458E1;-9,162978968E-4;-1,069014193E-3;9,162978968E-4
2,520582459E1;-2,138028387E-3;-1,527163113E-4;1,069014193E-3
2,530582458E1;-2,138028387E-3;4,581489484E-4;6,108652451E-4
