"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
1,892939870E1;-1,703730011E2;-9,148780060E1;-3,223728027E2
1,902936139E1;-1,705925903E2;-9,171959686E1;-3,214577942E2
1,912937771E1;-1,713123932E2;-9,139019775E1;-3,217261963E2
1,922939204E1;-1,709951935E2;-9,130480194E1;-3,217139893E2
1,932940498E1;-1,719102020E2;-9,087779999E1;-3,214700012E2
1,942940742E1;-1,723493958E2;-9,131700134E1;-3,213236084E2
1,952936177E1;-1,722274017E2;-9,107299805E1;-3,219945984E2
1,962938477E1;-1,731423950E2;-9,065819550E1;-3,221166077E2
1,972940890E1;-1,727153931E2;-9,045079803E1;-3,212259827E2
1,982939779E1;-1,727153931E2;-9,038980103E1;-3,221775818E2
1,992939442E1;-1,732399902E2;-9,047519684E1;-3,217017822E2
2,002937123E1;-1,727397919E2;-9,081679535E1;-3,217994080E2
2,012936260E1;-1,725323944E2;-9,091439819E1;-3,223117981E2
2,022938401E1;-1,718247986E2;-9,132920074E1;-3,221897888E2
2,032938637E1;-1,712025909E2;-9,130480194E1;-3,217139893E2
2,042946877E1;-1,709219971E2;-9,190259552E1;-3,213724060E2
2,052937148E1;-1,698972015E2;-9,221979523E1;-3,213601990E2
2,062941478E1;-1,704095917E2;-9,208560181E1;-3,222752075E2
2,072940929E1;-1,700070038E2;-9,231739807E1;-3,212503967E2
2,082936429E1;-1,701045990E2;-9,223199463E1;-3,214700012E2
2,092940494E1;-1,689333954E2;-9,359839630E1;-3,211040039E2
2,102937109E1;-1,705193939E2;-9,212220001E1;-3,204696045E2
2,112939929E1;-1,703486023E2;-9,281759644E1;-3,206403809E2
2,122941195E1;-1,699216003E2;-9,253699493E1;-3,202255859E2
2,132941126E1;-1,701289978E2;-9,261019897E1;-3,193837891E2
2,142939848E1;-1,698484039E2;-9,306159973E1;-3,203475952E2
2,152937122E1;-1,694945984E2;-9,253699493E1;-3,203475952E2
2,162938433E1;-1,692384033E2;-9,336660004E1;-3,193471985E2
2,172941660E1;-1,687015991E2;-9,313479614E1;-3,206403809E2
2,182939870E1;-1,686649933E2;-9,251259613E1;-3,202500000E2
2,192937115E1;-1,680671997E2;-9,292739868E1;-3,198717957E2
2,202942902E1;-1,685063934E2;-9,347639465E1;-3,202377930E2
2,212939227E1;-1,687137909E2;-9,328119659E1;-3,194570007E2
2,222940782E1;-1,675914001E2;-9,387899780E1;-3,199938049E2
2,232938683E1;-1,680061951E2;-9,380580139E1;-3,202133789E2
2,242936779E1;-1,674937897E2;-9,396440125E1;-3,198961792E2
2,252940128E1;-1,678109894E2;-9,406199646E1;-3,200303955E2
2,262940897E1;-1,672863922E2;-9,389119720E1;-3,204939880E2
2,272939286E1;-1,663591919E2;-9,420839691E1;-3,198595886E2
2,282940938E1;-1,665056000E2;-9,481839752E1;-3,198840027E2
2,292937284E1;-1,662859955E2;-9,472079468E1;-3,197497864E2
2,302937199E1;-1,653587952E2;-9,486719513E1;-3,194447937E2
2,312940866E1;-1,651391907E2;-9,474520111E1;-3,185664062E2
2,322940919E1;-1,657857971E2;-9,495259857E1;-3,192129822E2
2,332939198E1;-1,654929962E2;-9,529419708E1;-3,190543823E2
2,342936403E1;-1,645291901E2;-9,505020142E1;-3,201036072E2
2,352940032E1;-1,645291901E2;-9,496479797E1;-3,202133789E2
2,362939427E1;-1,637605896E2;-9,446459961E1;-3,215675964E2
2,372941994E1;-1,625771942E2;-9,406199646E1;-3,234342041E2
2,382940758E1;-1,628578033E2;-9,353739929E1;-3,262035828E2
2,392936082E1;-1,633213959E2;-9,442800140E1;-3,293146057E2
2,402939916E1;-1,629309998E2;-9,663619995E1;-3,303271790E2
2,412941011E1;-1,622111969E2;-9,849060059E1;-3,291072083E2
2,422940592E1;-1,609301910E2;-9,973500061E1;-3,278627930E2
2,432940860E1;-1,611864014E2;-9,881999969E1;-3,260571899E2
2,442937093E1;-1,610765991E2;-9,857599640E1;-3,266062012E2
