"Time (s)";"Pressure (hPa)"
3,291247661E1;1,015000427E3
3,301247661E1;1,014996338E3
3,311247661E1;1,015016724E3
3,321247661E1;1,014997253E3
3,331247661E1;1,015001526E3
3,341247661E1;1,015010132E3
3,351247661E1;1,015003052E3
3,361247661E1;1,014983337E3
3,371247661E1;1,014985107E3
3,381247661E1;1,014989502E3
3,391247661E1;1,015002625E3
3,401247661E1;1,015000000E3
3,411247661E1;1,014998840E3
3,421247661E1;1,014996399E3
3,431247661E1;1,014987915E3
3,441247661E1;1,014991699E3
3,451247661E1;1,014981445E3
3,461247661E1;1,014973999E3
3,471247661E1;1,014991333E3
3,481247661E1;1,015003418E3
3,491247661E1;1,015017151E3
3,501247661E1;1,015008667E3
3,511247661E1;1,014997192E3
3,521247661E1;1,014990173E3
3,531247661E1;1,014982300E3
3,541247661E1;1,014974121E3
3,551247661E1;1,014986572E3
3,561247661E1;1,014992920E3
3,571247661E1;1,014990540E3
3,581247661E1;1,015005371E3
3,591247661E1;1,014982544E3
3,601247661E1;1,014959961E3
3,611247661E1;1,014956909E3
3,621247661E1;1,014953125E3
3,631247661E1;1,014989380E3
3,641247661E1;1,014997803E3
3,651247661E1;1,014988525E3
3,661247661E1;1,014997375E3
3,671247661E1;1,014982483E3
3,681247661E1;1,014965942E3
3,691247661E1;1,014956116E3
3,701247661E1;1,014952026E3
3,711247661E1;1,014952576E3
3,721247661E1;1,014963867E3
3,731247661E1;1,014969849E3
3,741247661E1;1,014965149E3
3,751247661E1;1,014962280E3
3,761247661E1;1,014958374E3
3,771247661E1;1,014966614E3
3,781247661E1;1,014952637E3
3,791247661E1;1,014960999E3
3,801247661E1;1,014968018E3
3,811247661E1;1,014963623E3
3,821247661E1;1,014972229E3
3,831247661E1;1,014979431E3
3,841247661E1;1,014970703E3
3,851247661E1;1,014956238E3
3,861247661E1;1,014959351E3
3,871247661E1;1,014956421E3
3,881247661E1;1,014955933E3
3,891247661E1;1,014959778E3
3,901247661E1;1,014975098E3
3,911247661E1;1,014963989E3
3,921247661E1;1,014950989E3
3,931247661E1;1,014957642E3
3,941247661E1;1,014966187E3
3,951247661E1;1,014973267E3
3,961247661E1;1,014979858E3
3,971247661E1;1,014985596E3
3,981247661E1;1,014990051E3
3,991247661E1;1,014973999E3
4,001247661E1;1,014961304E3
4,011247661E1;1,014968018E3
4,021247661E1;1,014967529E3
4,031247661E1;1,014967102E3
4,041247661E1;1,014967102E3
4,051247661E1;1,014974487E3
4,061247661E1;1,014978760E3
4,071247661E1;1,014962341E3
4,081247661E1;1,014962341E3
4,091247661E1;1,014962891E3
4,101247661E1;1,014958130E3
4,111247661E1;1,014955872E3
4,121247661E1;1,014955872E3
4,131247661E1;1,014979492E3
4,141247661E1;1,014976074E3
4,151247661E1;1,014966675E3
4,161247661E1;1,014966675E3
4,171247661E1;1,014969727E3
4,181247661E1;1,014967651E3
4,191247661E1;1,014974121E3
4,201247661E1;1,014974121E3
4,211247661E1;1,014981079E3
4,221247661E1;1,014973511E3
4,231247661E1;1,014981140E3
4,241247661E1;1,014981140E3
4,251247661E1;1,014991089E3
4,261247661E1;1,014997131E3
4,271247661E1;1,014998901E3
4,281247661E1;1,014998901E3
4,291247661E1;1,014993408E3
4,301247661E1;1,014986694E3
4,311247661E1;1,014990479E3
4,321247661E1;1,014990479E3
4,331247661E1;1,014990479E3
4,341247661E1;1,014990723E3
4,351247661E1;1,014982422E3
4,361247661E1;1,014982422E3
4,371247661E1;1,014997803E3
4,381247661E1;1,014986389E3
4,391247661E1;1,014990723E3
4,401247661E1;1,014996521E3
4,411247661E1;1,015004517E3
4,421247661E1;1,014999634E3
4,431247661E1;1,014984497E3
4,441247661E1;1,014992981E3
4,451247661E1;1,014992981E3
4,461247661E1;1,014997925E3
4,471247661E1;1,014991882E3
4,481247661E1;1,014998413E3
4,491247661E1;1,015001587E3
4,501247661E1;1,014989563E3
4,511247661E1;1,014982666E3
4,521247661E1;1,014984497E3
