"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
2,124177996E1;-1,749998808E0;6,649248004E-1;-9,093802571E-1
2,134227196E1;-9,779825807E-1;-3,087426424E-1;6,692271233E-1
2,144276396E1;-1,782992184E-1;9,000309706E-1;8,701125383E-1
2,154325696E1;-9,256974459E-1;5,746940970E-1;2,252292335E-1
2,164374896E1;-7,312691808E-1;1,148189664E0;-1,569279432E-1
2,174424083E1;-4,097126424E-2;8,451012969E-1;4,578086138E-1
2,184473383E1;2,935636282E0;-6,169868112E-1;1,234493017E0
2,194522583E1;1,790961176E-1;-1,522990346E0;3,124812618E-2
2,204571883E1;-3,897933066E-1;-1,381728888E0;-1,586324573E0
2,214621083E1;5,539706349E-1;-4,317196012E-1;-1,794352382E-1
2,224670283E1;-9,197703563E-3;-3,422791064E-1;2,206542157E-2
2,234719583E1;-5,533274412E-1;-9,574075341E-1;2,434819750E-2
2,244768783E1;-8,542130589E-1;-8,368002772E-1;-8,145173788E-1
2,254817983E1;-6,556317210E-1;9,792832136E-1;1,809708714E0
2,264867283E1;-1,817719042E-1;1,136015058E0;6,201294661E-1
2,274916417E1;-1,148283005E0;6,939145923E-1;-6,961680949E-2
2,284965617E1;-1,694368273E-1;6,937325001E-1;3,057445213E-2
2,295014917E1;9,241647720E-1;4,132092297E-1;8,240283728E-1
2,305064117E1;2,515361547E0;-2,360088825E0;4,341470003E-1
2,315113317E1;5,077087507E-2;5,005962029E-2;-1,103099346E0
2,325162617E1;2,380559742E-1;-7,984652519E-1;-6,815257072E-1
2,335211817E1;-1,364984810E-1;-5,677645206E-1;2,594043016E-1
2,345261117E1;-1,286527812E-1;-2,810647190E-1;-2,557919919E-1
2,355310317E1;-3,587826192E-1;1,096661463E-1;-8,816120625E-1
2,365359517E1;-1,224564314E0;-8,790391684E-1;-2,104329914E-1
2,375408833E1;7,591129839E-2;7,178870440E-1;1,420734048E0
2,385458033E1;-5,896239281E-1;6,986063719E-1;5,294140577E-1
2,395507233E1;-1,187838197E0;1,124237299E0;9,668646008E-2
2,405556533E1;1,914365962E-2;3,644247651E-1;2,288517803E-1
2,415605733E1;1,192821622E0;4,216824770E-1;9,201461077E-1
2,425655033E1;2,176915407E0;-2,462784767E0;5,492305756E-1
2,435704233E1;9,029809386E-2;5,416421294E-1;-1,279102445E0
2,445753433E1;4,012828469E-1;-7,992373109E-1;-6,717091203E-1
2,455802733E1;-3,681907058E-1;-6,678118110E-1;3,433189392E-1
2,465851933E1;1,182533987E-2;-7,171972990E-1;-3,906047642E-1
2,475901129E1;-1,183451414E0;-1,420224428E0;-8,967306614E-1
2,485950429E1;-9,476643801E-1;-4,966760874E-1;5,678496361E-1
2,495999629E1;-9,015075862E-2;1,087710977E0;1,094851017E0
2,506048829E1;-7,516171932E-1;1,085469365E0;3,390865922E-1
2,516098129E1;-8,026933074E-1;1,460936666E0;2,021706700E-1
2,526147329E1;5,618238449E-2;9,179527164E-1;2,961307168E-1
2,536196529E1;2,987248421E0;-8,478026390E-1;1,035403967E0
2,546245829E1;3,597429991E-1;-1,235419154E0;6,706341356E-2
2,556295029E1;-1,978045851E-1;-6,979613304E-1;-1,409605861E0
2,566344329E1;5,829343200E-1;-2,910158336E-1;-5,636781082E-2
2,576393554E1;-6,065272167E-2;-2,548191547E-1;-1,009780355E-2
2,586442754E1;-1,267029345E-1;-4,298566878E-1;-2,523501217E-1
2,596492054E1;-5,504813194E-1;-1,030412465E-1;-6,527203321E-1
2,606541254E1;-4,831591845E-1;4,983996451E-1;1,354679108E0
2,616590454E1;-3,709664643E-1;1,105253100E0;7,767583728E-1
2,626639754E1;-1,154337525E0;7,003029585E-1;9,361956269E-2
2,636688954E1;-4,039335251E-1;8,608348370E-1;4,445448145E-2
2,646738154E1;3,590044379E-1;9,743713737E-1;4,951977432E-1
2,656787454E1;2,773046255E0;-1,715440631E0;4,227827489E-1
2,666836654E1;5,034853220E-1;-5,944312811E-1;-3,477425575E-1
2,676885917E1;-1,187926978E-1;-4,803027511E-1;-1,103443861E0
2,686935117E1;3,231908381E-1;-3,331961334E-1;1,455789804E-1
2,696984317E1;-4,163663834E-2;1,480041444E-1;-3,071525991E-1
2,707033617E1;2,551487088E-1;4,897613227E-1;-9,879809618E-1
2,717082817E1;-9,294972420E-1;-9,117299914E-1;-1,343142241E-1
2,727132017E1;1,785876453E-1;1,125003695E0;1,733659863E0
2,737181317E1;-5,715060234E-1;6,765064597E-1;3,190581203E-1
2,747230517E1;-1,313237071E0;1,491023779E0;-1,423546672E-1
2,757279817E1;-1,212497726E-1;2,362442166E-1;2,391437590E-1
2,767329017E1;1,657858133E0;3,413593769E-1;1,086647272E0
2,777378208E1;1,409443617E0;-2,348968506E0;3,351954222E-1
2,787427508E1;-4,554997087E-1;-8,072814345E-2;-1,584393024E0
2,797476708E1;3,866509199E-1;-3,622566462E-1;-4,437869787E-1
2,807526008E1;-2,729000747E-1;-5,363489389E-1;2,776279151E-1
2,817575208E1;-3,194820881E-1;-6,486429572E-1;-2,524761856E-1
2,827624408E1;-1,522466302E0;1,706196547E0;-5,255984068E-1
2,837673708E1;-1,015595794E0;-2,350256890E-1;5,482751131E-1
2,847722908E1;-2,815480232E-1;6,363486052E-1;1,038505793E0
2,857772208E1;-7,908721566E-1;5,946994424E-1;3,454080522E-1
2,867821408E1;-9,516999722E-1;1,569307089E0;-1,867810637E-2
2,877870629E1;5,314638093E-2;8,784764409E-1;4,158179462E-1
2,887919929E1;3,107080221E0;-1,709814906E0;5,349431038E-1
2,897969129E1;4,463131726E-1;-7,879284620E-1;-2,731095999E-2
2,908018429E1;-4,140827805E-3;-1,164083600E0;-1,318926215E0
2,918067629E1;3,691096902E-1;-5,236790776E-1;-4,713187460E-3
2,928116929E1;1,528280508E-2;1,294726580E-1;-1,704717129E-1
2,938166129E1;3,384439647E-1;6,943993568E-1;-1,502383709E0
2,948215329E1;-1,108173966E0;-9,359254837E-1;-4,717225581E-2
2,958264629E1;3,426060379E-1;8,808569312E-1;1,967043877E0
2,968313829E1;-5,647881627E-1;9,546013474E-1;5,421996713E-1
2,978363117E1;-1,625825167E0;1,432166576E0;-2,080298066E-1
2,988412317E1;-1,816021800E-1;3,146193922E-1;2,404842675E-1
2,998461617E1;1,593391657E0;4,931014180E-1;1,118711352E0
3,008510817E1;1,492354035E0;-2,453452349E0;4,235485792E-1
3,018560017E1;-3,500388861E-1;2,283167094E-1;-1,481654644E0
3,028609317E1;2,555370629E-1;-5,882420540E-1;-4,689114392E-1
3,038658517E1;-2,369650304E-1;-7,315855026E-1;4,037584662E-1
3,048707817E1;-5,567893982E-1;-1,070431232E0;-2,227845192E-1
3,058757017E1;-1,478746176E0;1,698221087E0;-7,344114780E-1
3,068806217E1;-8,853709102E-1;-9,440065920E-2;8,359370232E-1
3,078855508E1;-1,579663604E-1;9,628998637E-1;7,367525101E-1
3,088904708E1;-9,177497029E-1;8,635028601E-1;8,117110282E-2
3,098954008E1;-5,085635781E-1;1,107221484E0;7,542259991E-2
