"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
6,485436153E1;5,233476031E1;4,867906343E0;6,338797519E-1;9,336074465E-1;8,775913017E1;6,479993627E0;1,802314160E0
6,585435450E1;5,233476380E1;4,867919315E0;3,297607535E-1;9,848841558E-1;8,687291112E1;6,222936403E0;1,897100831E0
6,685434639E1;5,233477529E1;4,867968969E0;3,077787012E-1;1,197813674E0;8,605192221E1;5,861660242E0;2,016588057E0
6,785433805E1;5,233477882E1;4,867991333E0;2,438913714E-1;1,338387448E0;8,585680966E1;5,797578237E0;2,061980997E0
6,885433114E1;5,233478367E1;4,868012746E0;1,912060473E-1;1,276393070E0;8,383653874E1;5,695225320E0;2,112045063E0
6,985432351E1;5,233478002E1;4,868021895E0;2,939877007E-1;1,200204080E0;8,394562884E1;5,704755644E0;2,206794479E0
7,085431564E1;5,233478787E1;4,868054461E0;3,421184001E-1;1,358876457E0;8,330987744E1;5,791070584E0;2,247312173E0
7,185430872E1;5,233479648E1;4,868080730E0;2,310671750E-1;1,417887064E0;7,903424007E1;6,094152569E0;2,181081171E0
7,285430098E1;5,233479807E1;4,868086638E0;1,077501336E-1;1,178300305E0;7,783496608E1;5,987291610E0;2,266629067E0
7,385429335E1;5,233481146E1;4,868117749E0;4,187915223E-1;1,237618984E0;7,659015247E1;6,024878507E0;2,206769999E0
7,485428488E1;5,233480550E1;4,868141653E0;2,416056460E-1;1,312310835E0;8,449529401E1;6,105549319E0;2,155825728E0
7,585427690E1;5,233481468E1;4,868143469E0;5,052759601E-1;1,058783989E0;7,966566948E1;6,101005201E0;2,110026488E0
7,685426927E1;5,233482187E1;4,868168042E0;6,927793501E-1;1,169265812E0;7,771056397E1;5,925564854E0;2,020323066E0
7,785426188E1;5,233482116E1;4,868181712E0;-8,584167901E-2;1,034080835E0;8,205020299E1;5,919031430E0;1,991710999E0
7,885425401E1;5,233483610E1;4,868198828E0;1,771271843E-1;9,775959972E-1;7,460107865E1;5,675456549E0;2,192027207E0
7,985424590E1;5,233483728E1;4,868223031E0;4,180749459E-1;9,155724554E-1;7,829556951E1;5,508131743E0;2,382880676E0
8,085423768E1;5,233484220E1;4,868233211E0;5,924326358E-1;1,031227332E0;7,804591929E1;5,221012988E0;2,590171384E0
8,185422921E1;5,233485086E1;4,868271598E0;4,321218263E-1;1,252799426E0;7,844705087E1;5,253859927E0;2,627179480E0
8,285422218E1;5,233484327E1;4,868289166E0;-5,931248609E-2;1,338175841E0;8,246526259E1;5,177058404E0;2,650019494E0
8,385421407E1;5,233485321E1;4,868312185E0;3,231358072E-1;1,239374010E0;8,078298316E1;5,153593518E0;2,695368413E0
8,485420549E1;5,233486875E1;4,868340038E0;5,273796562E-1;1,318199308E0;7,917489473E1;5,192130539E0;2,657167051E0
8,585419834E1;5,233486081E1;4,868340256E0;4,848230453E-1;1,150095265E0;8,463488463E1;5,313718477E0;2,657223655E0
8,685418904E1;5,233485537E1;4,868352206E0;7,133183479E-1;1,145983941E0;9,306579548E1;5,372011516E0;2,665909121E0
8,785418129E1;5,233485258E1;4,868365650E0;7,179896981E-1;1,315564806E0;9,629063187E1;5,220613408E0;2,726786550E0
8,885417259E1;5,233484517E1;4,868383573E0;2,643088251E-2;1,400651400E0;9,660758891E1;5,129991997E0;2,765660741E0
8,985416496E1;5,233484432E1;4,868418544E0;3,457782101E-1;1,713613734E0;9,402412850E1;5,235650133E0;2,746365583E0
9,085415709E1;5,233485005E1;4,868406594E0;5,719799483E-1;8,646977203E-1;9,289950889E1;5,112908860E0;2,771768392E0
9,185414934E1;5,233483841E1;4,868415047E0;3,564233985E-1;9,981132360E-1;1,068804137E2;5,100240124E0;2,795011219E0
9,285414004E1;5,233483655E1;4,868436110E0;2,944577187E-1;1,141830127E0;1,072715668E2;5,085532924E0;2,821682462E0
9,385413218E1;5,233484014E1;4,868459976E0;5,620507477E-1;1,132762691E0;1,038904462E2;5,082108278E0;2,827845909E0
9,485412467E1;5,233484537E1;4,868478181E0;3,508378752E-1;1,113008343E0;9,883191055E1;5,206775265E0;2,847770814E0
9,585411608E1;5,233485170E1;4,868499203E0;2,670250451E-1;1,048242411E0;9,572530837E1;5,286936027E0;2,850846567E0
9,685410845E1;5,233484581E1;4,868504543E0;5,591227924E-1;1,022567197E0;1,001807851E2;5,470093714E0;2,866156023E0
9,785410047E1;5,233484434E1;4,868538346E0;7,603144646E-2;1,466640358E0;9,922874152E1;5,784686189E0;2,829318754E0
9,885409141E1;5,233485249E1;4,868545509E0;6,244032718E-1;1,086282995E0;9,036946061E1;5,924140822E0;2,839298762E0
9,985408413E1;5,233485517E1;4,868525993E0;6,190862190E-1;6,253137311E-1;7,710445168E1;5,767046285E0;2,853948780E0
1,008540754E2;5,233485367E1;4,868516949E0;3,561802739E-1;1,738019369E-1;7,346714080E1;5,785954504E0;2,836376701E0
1,018540670E2;5,233484503E1;4,868516681E0;1,103221392E-1;1,920810511E-1;7,346713918E1;6,036231480E0;2,705956333E0
1,028540583E2;5,233484166E1;4,868530575E0;6,258303504E-1;5,388148534E-1;7,346714921E1;6,380282979E0;2,405599764E0
1,038540505E2;5,233483110E1;4,868506961E0;5,061055338E-1;3,990737128E-1;7,346712949E1;6,880064272E0;1,996499647E0
1,048540428E2;5,233483577E1;4,868558071E0;6,599253584E-1;1,088011988E0;8,277740339E1;7,201362451E0;1,795605765E0
1,058540331E2;5,233484017E1;4,868633331E0;4,773999928E-1;1,735773955E0;8,366229234E1;6,165372698E0;2,240988902E0
1,068540261E2;5,233483123E1;4,868655923E0;5,608859323E-1;1,597004134E0;9,123766653E1;6,208996438E0;2,166052781E0
1,078540177E2;5,233483245E1;4,868695010E0;6,302671414E-1;1,671877306E0;9,119575668E1;6,115779563E0;2,259200527E0
1,088540093E2;5,233484566E1;4,868735766E0;5,173267955E-1;1,559443629E0;8,293971734E1;6,028886602E0;2,220229269E0
1,098540012E2;5,233484768E1;4,868771219E0;3,845041320E-1;1,484673725E0;8,460261105E1;6,041008331E0;2,206032823E0
1,108539927E2;5,233484513E1;4,868790730E0;7,342574568E-1;1,279563986E0;9,035248180E1;5,932065387E0;2,417090757E0
1,118539847E2;5,233484837E1;4,868807555E0;6,521461429E-1;1,082936624E0;9,186284848E1;5,821002044E0;2,526131497E0
1,128539762E2;5,233485296E1;4,868835645E0;6,318905922E-1;1,143540743E0;8,481981200E1;5,651758920E0;2,646866900E0
1,138539680E2;5,233484142E1;4,868850435E0;2,854305934E-1;1,068650931E0;9,355399221E1;5,513596389E0;2,742154309E0
1,148539602E2;5,233484853E1;4,868834543E0;-1,787651321E-1;9,312795098E-1;8,918950143E1;5,172566743E0;2,845468709E0
1,158539519E2;5,233484920E1;4,868866420E0;5,710045286E-1;1,073641117E0;9,293752000E1;5,044737914E0;2,893986249E0
1,168539438E2;5,233484043E1;4,868887489E0;4,927833565E-1;1,082102453E0;9,933267243E1;5,030389909E0;2,918854980E0
1,178539346E2;5,233483960E1;4,868881660E0;3,256876227E-1;8,723495214E-1;9,059922218E1;5,007938286E0;2,957210029E0
