"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
8,898543894E1;5,235658470E1;4,890785932E0;1,761248107E0;7,999938801E-1;1,640234379E2;4,939005501E0;3,070954526E0
8,998543584E1;5,235657744E1;4,890794725E0;1,595597611E0;7,434226813E-1;1,679812551E2;4,936323648E0;3,075263545E0
9,098543179E1;5,235657039E1;4,890803155E0;1,740899197E0;5,685237788E-1;1,669566670E2;4,944605226E0;3,061930141E0
9,198542798E1;5,235655302E1;4,890813215E0;1,968622971E0;9,069103291E-1;1,672888220E2;4,929725184E0;3,085829976E0
9,298542476E1;5,235654759E1;4,890803842E0;2,317782168E0;8,027320851E-1;1,742280387E2;4,919395854E0;3,102270372E0
9,398542070E1;5,235653044E1;4,890802336E0;2,101389882E0;1,064186745E0;1,777532644E2;4,922801605E0;3,096863154E0
9,498541737E1;5,235651933E1;4,890787664E0;2,227050930E0;1,149709929E0;1,859352459E2;4,905294661E0;3,124519375E0
9,598541355E1;5,235650797E1;4,890784868E0;1,995028072E0;1,047482567E0;1,880664707E2;4,910945110E0;3,115630781E0
9,698540998E1;5,235649905E1;4,890781161E0;2,321637410E0;1,000222202E0;1,906991165E2;4,896134459E0;3,138853993E0
9,798540568E1;5,235649071E1;4,890782653E0;2,618000959E0;9,447293219E-1;1,892998814E2;4,902826497E0;3,128390860E0
9,898540294E1;5,235649272E1;4,890785472E0;2,500242542E0;4,174834615E-1;1,746066503E2;4,893676152E0;3,142685277E0
9,998539877E1;5,235648324E1;4,890784507E0;2,634960105E0;4,391831811E-1;1,748655891E2;4,916622509E0;3,106663827E0
1,009853952E2;5,235646714E1;4,890767607E0;2,555842312E0;9,802840145E-1;1,900999639E2;4,929734188E0;3,085815593E0
1,019853905E2;5,235645667E1;4,890766494E0;2,474074422E0;1,075806940E0;1,854435658E2;4,912320262E0;3,113462169E0
1,029853874E2;5,235644370E1;4,890772566E0;2,524493420E0;9,616743707E-1;1,785824172E2;4,918963489E0;3,102955885E0
1,039853840E2;5,235642831E1;4,890764796E0;1,888110315E0;1,311158683E0;1,827417534E2;4,926223571E0;3,091416885E0
