"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
7,592220758E1;5,231670628E1;5,027390242E0;-2,287382018E-1;1,088489626E1;4,024551392E0;4,769789244E0;3,327709062E0
7,692220317E1;5,231680608E1;5,027405039E0;-4,256201340E-1;1,102159339E1;5,353172779E0;4,770624731E0;3,326511192E0
7,792219959E1;5,231690174E1;5,027428714E0;-5,955066932E-1;1,083541037E1;7,953044415E0;4,771365322E0;3,325448841E0
7,892219470E1;5,231699352E1;5,027456498E0;-5,008125212E-1;1,070255402E1;9,185862541E0;4,770161117E0;3,327175972E0
7,992219208E1;5,231708703E1;5,027487108E0;-1,560309178E0;1,051706490E1;1,209536266E1;4,770126354E0;3,327225812E0
8,092218934E1;5,231717318E1;5,027521379E0;-1,425960480E0;1,006489195E1;1,375156975E1;4,769902263E0;3,327547060E0
8,192218648E1;5,231725689E1;5,027559380E0;-1,305586074E0;9,814245346E0;1,375156975E1;4,772364137E0;3,324015280E0
8,292218398E1;5,231734263E1;5,027603941E0;-1,684498993E0;1,004100990E1;1,749007988E1;4,774263271E0;3,321286988E0
8,392218231E1;5,231742936E1;5,027652350E0;-1,658227989E0;1,000665083E1;1,927710533E1;4,782234605E0;3,309798969E0
8,492218040E1;5,231750843E1;5,027707296E0;-2,531826565E0;9,618752452E0;2,151873016E1;4,792588170E0;3,294789169E0
8,592217849E1;5,231759301E1;5,027761772E0;-2,076778314E0;9,842037705E0;2,275606155E1;4,795216768E0;3,290962348E0
8,692217718E1;5,231767843E1;5,027823849E0;-1,758583622E0;1,014231028E1;2,536397171E1;4,795595348E0;3,290410657E0
8,792217861E1;5,231775906E1;5,027892548E0;-1,796696455E0;9,942301223E0;2,701005936E1;4,787331754E0;3,302422098E0
8,892217456E1;5,231783559E1;5,027951913E0;-1,882353639E0;9,427630859E0;2,827704620E1;4,785302961E0;3,305361191E0
8,992217337E1;5,231790740E1;5,028017678E0;-1,718140843E0;9,298315139E0;3,042694473E1;4,781770242E0;3,310469814E0
9,092217265E1;5,231798255E1;5,028087252E0;-1,726503196E0;9,312360468E0;3,042694473E1;4,776089010E0;3,318660995E0
9,192217146E1;5,231805258E1;5,028161779E0;-1,746631769E0;9,246434856E0;3,447563934E1;4,774810382E0;3,320500391E0
9,292217480E1;5,231812421E1;5,028241936E0;-1,540685367E0;9,556722743E0;3,592338181E1;4,774511483E0;3,320930160E0
9,392216955E1;5,231819429E1;5,028320205E0;-1,891870760E0;9,378635489E0;3,600006866E1;4,776031558E0;3,318743677E0
9,492216907E1;5,231825486E1;5,028394197E0;-1,974047625E0;8,675177844E0;3,600006866E1;4,772355791E0;3,324027262E0
9,592216860E1;5,231831271E1;5,028465823E0;-1,756537735E0;8,374933017E0;3,600006866E1;4,769088510E0;3,328713237E0
9,692216729E1;5,231837665E1;5,028544696E0;-1,514578537E0;8,751053149E0;3,567467880E1;4,771877967E0;3,324713176E0
9,792216752E1;5,231844410E1;5,028625858E0;-1,929390089E0;9,068906726E0;3,567467880E1;4,777455870E0;3,316692998E0
9,892216693E1;5,231851205E1;5,028707202E0;-2,013870895E0;9,363478324E0;3,465984726E1;4,773060853E0;3,323014765E0
9,992216633E1;5,231857990E1;5,028801578E0;-1,967803345E0;9,605054942E0;3,588455200E1;4,780044562E0;3,312961065E0
1,009221663E2;5,231865074E1;5,028892598E0;-1,581934771E0;9,882380511E0;3,658745956E1;4,781457604E0;3,310921355E0
1,019221656E2;5,231872248E1;5,028982350E0;-1,472765512E0;9,941802879E0;3,658745956E1;4,784531249E0;3,306478151E0
1,029221654E2;5,231879227E1;5,029067788E0;-2,095941629E0;9,739230187E0;3,717389679E1;4,787709803E0;3,301873995E0
1,039221656E2;5,231886563E1;5,029164489E0;-4,724807721E-1;1,003836884E1;3,717389679E1;4,791728418E0;3,296039411E0
1,049221649E2;5,231893374E1;5,029250362E0;-1,314375905E0;9,812749319E0;3,717389679E1;4,794489330E0;3,292022038E0
1,059221653E2;5,231900623E1;5,029339285E0;-1,285964008E0;9,866768332E0;3,639591599E1;4,792133874E0;3,295449888E0
1,069221654E2;5,231907789E1;5,029429810E0;-1,492179262E0;9,997570006E0;3,724084473E1;4,790337389E0;3,298060753E0
1,079221655E2;5,231915301E1;5,029524813E0;-1,397425846E0;1,031504595E1;3,801257706E1;4,782337680E0;3,309650034E0
1,089221655E2;5,231922540E1;5,029619812E0;-1,363275735E0;1,030169638E1;3,422700500E1;4,780191940E0;3,312748414E0
1,099221648E2;5,231929223E1;5,029701941E0;-1,556002925E0;9,635853752E0;3,535550308E1;4,771053178E0;3,325896662E0
1,109221661E2;5,231935422E1;5,029783080E0;-1,314781560E0;9,046323610E0;3,535550308E1;4,786161758E0;3,304117531E0
1,119221661E2;5,231941594E1;5,029855360E0;-1,417290962E0;8,800859316E0;3,858794785E1;4,856053230E0;3,200513093E0
1,129221657E2;5,231947655E1;5,029926703E0;-1,049081893E0;8,486228228E0;3,675955582E1;4,975958619E0;3,010709693E0
1,139221654E2;5,231952781E1;5,030024566E0;-1,637953858E0;8,633798448E0;4,098693848E1;4,794626469E0;3,291822300E0
1,149221662E2;5,231960140E1;5,030102711E0;-1,123760385E0;8,994388868E0;4,131350327E1;4,768314046E0;3,329822547E0
1,159221673E2;5,231966342E1;5,030171928E0;-1,194979219E0;8,691214878E0;3,324486160E1;4,755118850E0;3,348638791E0
1,169221672E2;5,231972246E1;5,030231351E0;-1,289156441E0;8,031942634E0;2,620460320E1;4,746782379E0;3,360445518E0
1,179221699E2;5,231977302E1;5,030267372E0;-1,005214250E0;6,425889734E0;2,308541489E1;4,747069510E0;3,360039895E0
1,189221672E2;5,231979804E1;5,030282926E0;-4,186044866E-1;3,655089226E0;2,308541489E1;4,748967679E0;3,357356552E0
1,199221678E2;5,231979117E1;5,030277499E0;-4,686081214E-1;1,035048207E0;2,308541489E1;4,738673730E0;3,371870150E0
1,209221686E2;5,231978809E1;5,030276456E0;-9,609482065E-2;3,422849307E-1;2,308541489E1;4,733873757E0;3,378605672E0
1,219221684E2;5,231978312E1;5,030279404E0;6,768512633E-2;1,169679869E-1;2,308541489E1;4,729523370E0;3,384692855E0
1,229221685E2;5,231978110E1;5,030281485E0;5,690141767E-1;1,001478009E-1;2,308541489E1;4,727040394E0;3,388159700E0
1,239221694E2;5,231977974E1;5,030283382E0;8,848169502E-1;5,180403507E-2;2,308541489E1;4,722025028E0;3,395146045E0
1,249221732E2;5,231980341E1;5,030300961E0;1,276185120E0;2,267504023E0;2,308541489E1;4,722246274E0;3,394838311E0
1,259221698E2;5,231985514E1;5,030329416E0;1,334763098E0;4,806512325E0;2,308541489E1;4,714938762E0;3,404980103E0
1,269221706E2;5,231991216E1;5,030353342E0;7,209394705E-1;5,922916042E0;2,308541489E1;4,742068735E0;3,367093872E0
1,279221711E2;5,231999487E1;5,030364848E0;2,107954388E-1;8,131089538E0;1,338814449E1;4,753925153E0;3,350333218E0
1,289221716E2;5,232008988E1;5,030359737E0;3,163797716E-1;9,324550498E0;2,088131189E0;4,762230810E0;3,338516848E0
1,299221717E2;5,232017843E1;5,030334177E0;1,132537983E-1;9,576356273E0;3,453167114E2;4,757614771E0;3,345091736E0
1,309221728E2;5,232027197E1;5,030293150E0;-1,090723379E-1;1,034192740E1;3,429021301E2;4,761248310E0;3,339917898E0
1,319221728E2;5,232037913E1;5,030228359E0;9,387718048E-2;1,178695372E1;3,377531433E2;4,769276191E0;3,328444329E0
1,329221730E2;5,232048268E1;5,030136316E0;4,575038664E-1;1,263043955E1;3,339388428E2;4,776195608E0;3,318507578E0
1,339221736E2;5,232060165E1;5,030037746E0;9,660404548E-1;1,390832960E1;3,262420959E2;4,765452637E0;3,333916346E0
1,349221738E2;5,232069831E1;5,029881502E0;1,452976281E0;1,433665422E1;3,138457642E2;4,770852036E0;3,326185184E0
