"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
5,617453039E1;5,235573580E1;4,890475691E0;1,894999078E0;2,528894374E-1;NaN;4,944387075E0;3,062282398E0
5,717450726E1;5,235573134E1;4,890467971E0;1,890353460E0;2,813553374E-1;NaN;4,927424726E0;3,089501998E0
5,817448688E1;5,235574148E1;4,890483298E0;1,873821734E0;8,982292125E-1;4,434716357E1;4,931011982E0;3,083773317E0
5,917446566E1;5,235574633E1;4,890490512E0;2,162733902E0;1,094307362E0;4,202689472E1;4,916635044E0;3,106643990E0
6,017444611E1;5,235575873E1;4,890505566E0;2,187283820E0;1,196799647E0;2,922251902E1;4,901421860E0;3,130591123E0
6,117442715E1;5,235576185E1;4,890505500E0;2,523730820E0;1,088368118E0;2,412823394E1;4,885698003E0;3,155074018E0
6,217440844E1;5,235577414E1;4,890510382E0;1,995938506E0;1,275936117E0;1,189277351E1;4,880330473E0;3,163370276E0
6,317439044E1;5,235577442E1;4,890511089E0;2,306266664E0;1,069214026E0;6,182655794E0;4,876398585E0;3,169428003E0
6,417437351E1;5,235578066E1;4,890513715E0;2,381401316E0;1,001385705E0;6,331171623E0;4,877359811E0;3,167948595E0
6,517435658E1;5,235579376E1;4,890502575E0;2,387515653E0;1,085746553E0;3,537692584E2;4,885423385E0;3,155499229E0
6,617434096E1;5,235579926E1;4,890508975E0;2,447546406E0;1,098544296E0;4,664043110E0;4,885686961E0;3,155091116E0
6,717432451E1;5,235581190E1;4,890511180E0;2,188061810E0;1,134399155E0;6,444564239E0;4,886971728E0;3,153100754E0
6,817430937E1;5,235582030E1;4,890511454E0;2,292067442E0;1,154978753E0;9,226302969E0;4,891401494E0;3,146224477E0
6,917429459E1;5,235583069E1;4,890516680E0;2,315456340E0;1,121990486E0;1,085378597E1;4,885376722E0;3,155571473E0
7,017428041E1;5,235583812E1;4,890499400E0;2,266211181E0;9,932520140E-1;3,497591824E2;4,891054342E0;3,146764125E0
7,117426503E1;5,235584551E1;4,890492073E0;1,855431185E0;9,957091497E-1;3,411902403E2;4,895818201E0;3,139347253E0
7,217425191E1;5,235585958E1;4,890492783E0;2,037857316E0;1,164389494E0;3,537117849E2;4,900190150E0;3,132518719E0
7,317423785E1;5,235587004E1;4,890496257E0;1,982314547E0;1,061115121E0;3,592705295E2;4,901910769E0;3,129825529E0
7,417422533E1;5,235587406E1;4,890482199E0;1,788830088E0;8,609466121E-1;3,360590056E2;4,905459996E0;3,124259795E0
7,517421246E1;5,235588064E1;4,890475516E0;1,672734891E0;1,134729414E0;3,379021450E2;4,904827918E0;3,125252010E0
7,617419946E1;5,235588871E1;4,890469684E0;1,831526442E0;9,413074360E-1;3,580346072E2;4,928455051E0;3,087858132E0
7,717418790E1;5,235589663E1;4,890465078E0;1,929277893E0;1,008697859E0;1,202525896E1;4,923739110E0;3,095372385E0
7,817417586E1;5,235590473E1;4,890459210E0;2,252743920E0;1,027240814E0;6,268072038E0;4,921804623E0;3,098447398E0
7,917416346E1;5,235591691E1;4,890456376E0;2,270828785E0;1,130245650E0;1,681100187E-1;4,920481506E0;3,100548143E0
8,017415214E1;5,235592548E1;4,890459530E0;1,845636887E0;1,091238323E0;1,403991546E1;4,921472438E0;3,098975003E0
8,117414057E1;5,235593532E1;4,890460550E0;1,993327830E0;1,065649648E0;1,077088323E1;4,925384003E0;3,092754347E0
8,217412961E1;5,235594050E1;4,890458149E0;2,120827259E0;9,201642328E-1;6,309611643E0;4,926863275E0;3,090397272E0
8,317411780E1;5,235594988E1;4,890464887E0;1,912855580E0;1,102458223E0;8,644151469E0;4,933323331E0;3,080074341E0
8,417410755E1;5,235595729E1;4,890460540E0;1,817749379E0;1,066540911E0;3,985349834E-1;4,946894567E0;3,058230073E0
8,517409647E1;5,235597348E1;4,890469468E0;1,707788770E0;1,227204070E0;8,242083481E0;4,955926321E0;3,043572134E0
8,617408586E1;5,235598343E1;4,890465625E0;1,820594016E0;1,271418682E0;1,149194323E0;4,951044639E0;3,051506843E0
8,717407513E1;5,235599484E1;4,890460603E0;1,853463431E0;1,112875834E0;6,604135372E0;4,947305640E0;3,057565033E0
8,817406487E1;5,235600331E1;4,890469741E0;1,739859108E0;1,161226699E0;3,531943163E2;4,950065364E0;3,053095139E0
8,917405427E1;5,235600644E1;4,890480097E0;1,898415538E0;8,173449233E-1;8,577908069E0;4,945986584E0;3,059698310E0
9,017404425E1;5,235601938E1;4,890484162E0;1,734630081E0;1,014178691E0;5,749303129E0;4,939342476E0;3,070412502E0
9,117403376E1;5,235603334E1;4,890505597E0;1,713197331E0;1,035701720E0;1,858983759E0;4,932926994E0;3,080709059E0
