"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1,575229050E1;6,132490933E-2;-8,739629760E-3;1,295813173E-1
1,585278550E1;3,220799193E-2;1,970840991E-2;6,716200709E-2
1,595327950E1;6,273513660E-3;-2,203136683E-3;9,716986120E-2
1,605377450E1;2,136036009E-2;-6,388287991E-3;2,930928580E-2
1,615426850E1;2,181694144E-3;1,597237587E-2;1,753813773E-2
1,625476350E1;3,973757848E-2;-4,021106288E-3;2,576914802E-2
1,635525750E1;2,198573016E-2;-1,502544247E-2;6,055622920E-2
1,645575300E1;5,952423904E-3;6,047287025E-3;1,271438506E-2
1,655624700E1;-4,975213204E-3;9,480448440E-3;2,182059176E-2
1,665674200E1;1,316193771E-2;-1,169117447E-2;4,938540608E-2
1,675723700E1;-5,118319020E-2;3,716816753E-2;5,492243916E-2
1,685773100E1;5,448347330E-2;-1,378074661E-2;1,897520944E-2
1,695822600E1;-4,735287651E-2;2,014046907E-2;5,420909822E-2
1,705872000E1;1,766503416E-2;-1,023506001E-2;4,674516153E-3
1,715921500E1;-8,006563410E-3;-1,748995110E-2;1,489077136E-2
1,725970900E1;-2,396537550E-2;-7,320087403E-3;-2,733713016E-2
1,736020400E1;-1,732747443E-2;-1,571059413E-2;-2,122885361E-2
1,746069775E1;3,685558960E-2;-2,503385209E-2;-2,123899385E-2
1,756119275E1;-3,268115595E-2;2,526280284E-2;3,584241495E-4
1,766168775E1;2,415602468E-2;-1,964137331E-2;-1,272666082E-2
1,776218175E1;-2,292924933E-2;2,484878059E-3;-2,702244557E-3
1,786267675E1;-6,981568411E-3;-4,440103192E-3;-1,194233820E-2
1,796317075E1;-9,836996906E-4;-2,475597896E-3;6,082783453E-3
1,806366575E1;-8,299580775E-3;-1,584436744E-2;-2,589625679E-2
1,816415975E1;-1,761288010E-2;-1,793198846E-2;-2,706168965E-2
1,826465475E1;-3,013851354E-3;-1,555331983E-3;-2,073452808E-3
1,836514975E1;1,958587207E-2;-2,249813080E-2;-5,064383149E-4
1,846564383E1;-7,250689901E-3;1,803026535E-3;-7,853239775E-3
1,856613883E1;6,959849037E-3;-1,000512671E-2;6,459630094E-3
1,866663283E1;5,041297060E-3;-1,218684297E-2;1,238248125E-2
1,876712783E1;6,369768642E-3;-3,352120053E-3;-1,241312455E-2
1,886762183E1;-1,168478094E-2;-7,982698269E-3;3,312155604E-3
1,896811683E1;1,757767983E-2;2,105459198E-2;-5,270702764E-3
1,906861183E1;2,865958773E-2;9,661655873E-3;1,452531386E-2
1,916910583E1;4,805831611E-2;3,593297210E-3;-2,588273585E-2
1,926960083E1;3,764135018E-2;-4,189858213E-3;4,967964441E-2
1,937009483E1;9,996601380E-3;1,549994107E-3;2,922913805E-2
1,947058975E1;-3,637900809E-3;3,916338552E-3;-1,982750744E-2
1,957108375E1;-3,160930797E-2;-3,706148593E-3;-5,321835168E-3
1,967157875E1;6,199495867E-2;-2,505788207E-2;8,901239373E-3
1,977207275E1;3,091365658E-2;7,530428469E-2;6,198431551E-2
1,987256775E1;3,177361935E-2;6,273224950E-2;6,794841588E-2
1,997306275E1;7,030184567E-2;-5,425955355E-2;4,165238515E-2
2,007355675E1;2,739511617E-2;2,738358080E-2;7,339245081E-2
2,017405175E1;8,133342490E-3;1,484894101E-2;8,066616952E-2
2,027454575E1;-3,062996268E-2;6,866376102E-2;5,905657262E-2
2,037504075E1;2,903234400E-2;8,828945458E-3;-2,108811401E-3
2,047553483E1;9,535131045E-3;-2,389154211E-2;3,675459325E-2
2,057602983E1;-5,297948606E-3;1,608297415E-2;-3,991231322E-2
2,067652483E1;1,253006607E-2;-8,126335219E-3;-2,737768367E-2
2,077701883E1;-7,455697283E-3;-2,187814796E-3;-5,653572269E-3
2,087751383E1;5,013925955E-3;-1,404519752E-2;-6,678487174E-3
2,097800783E1;-2,403013036E-2;-3,013239009E-3;-1,247176435E-3
2,107850283E1;7,678586058E-3;-5,749730393E-3;-6,599966437E-3
2,117899683E1;-6,960405037E-3;1,513374504E-2;1,450346503E-2
2,127949183E1;1,631813496E-2;-6,490470842E-4;-1,031962223E-2
2,137998583E1;1,323106466E-3;1,924209110E-2;9,862529114E-4
2,148048058E1;-1,311407425E-3;-2,539239451E-2;2,957251854E-4
2,158097558E1;-1,541739702E-2;-2,683409303E-2;-2,268792689E-2
2,168146958E1;5,359278526E-3;-1,854194328E-2;-8,540909737E-3
2,178196458E1;-1,398387831E-4;-3,013723344E-2;2,854934707E-2
2,188245858E1;-3,438867629E-2;2,356477827E-2;-1,194880065E-2
2,198295358E1;-1,924343407E-2;-8,690012619E-3;-2,206502482E-2
2,208344758E1;-1,734466292E-2;-5,379340425E-2;2,878725529E-2
2,218394258E1;1,934129745E-2;-4,348297417E-2;6,503542513E-2
2,228443758E1;-6,025140733E-2;-3,729256988E-2;6,172013283E-2
2,238493158E1;-5,830372497E-2;-4,730775952E-2;-2,693892643E-2
2,248542650E1;-2,677035332E-2;-6,265892088E-2;1,355294324E-2
2,258592050E1;-1,689661667E-2;-7,466953248E-2;2,556135412E-3
2,268641550E1;-1,000461280E-1;4,329188727E-3;6,880627479E-3
2,278690950E1;-2,344541438E-2;-1,905602962E-2;4,447224550E-3
2,288740450E1;-4,744568095E-2;-1,071541384E-2;1,063665822E-1
2,298789850E1;-3,205678612E-2;-6,052598357E-2;-3,459015489E-2
2,308839350E1;-2,681965008E-2;6,469856948E-3;-7,830848545E-2
2,318888750E1;-2,287140302E-2;1,098692790E-2;-6,323067099E-2
2,328938250E1;-4,396619741E-3;-2,283176593E-2;-8,113131858E-3
2,338987750E1;-1,885445975E-2;-1,408919878E-2;2,044518292E-2
2,349037146E1;-1,483085752E-2;1,427161414E-2;-1,151789911E-4
2,359086646E1;-1,763467491E-2;1,948845387E-2;1,089302823E-2
2,369136046E1;1,224373560E-2;8,677123114E-3;-3,350131959E-2
2,379185546E1;9,687872604E-3;1,312810928E-2;-2,961625531E-2
2,389234946E1;-1,629918441E-2;2,929240838E-2;2,027639002E-2
2,399284446E1;2,342700772E-2;3,106441721E-2;3,825975582E-4
2,409333846E1;1,270657172E-3;1,118537970E-2;1,698672026E-2
2,419383346E1;-3,719224129E-3;2,910618484E-2;-2,219199389E-2
2,429432846E1;3,163855523E-3;9,243566543E-3;1,259544631E-3
2,439482246E1;9,296007454E-3;3,118577600E-2;-1,695908606E-3
2,449531796E1;2,958860248E-3;-1,963365078E-2;1,479790732E-2
2,459581196E1;6,273327768E-2;-3,024311177E-2;8,589670993E-3
2,469630696E1;7,026779652E-2;-5,547011271E-2;-2,175851539E-2
2,479680096E1;5,341507029E-3;-7,056513429E-2;-1,533193141E-1
2,489729596E1;-8,805480599E-2;1,019524038E-1;-1,454540938E-1
2,499778996E1;-3,990855440E-2;7,143554091E-2;-1,262437850E-1
2,509828496E1;-1,176696643E-1;1,309777051E-1;-2,710707486E-1
2,519877896E1;-1,187829599E-1;7,255885750E-2;-3,856676817E-1
2,529927396E1;-1,239551529E-1;9,381641448E-2;-3,401351571E-1
2,539976796E1;-1,324694753E-1;6,357589364E-2;-2,085369080E-1
2,550026246E1;-8,275431395E-2;4,936986603E-3;-2,747764885E-1
2,560075746E1;-5,135335028E-2;-2,297497820E-3;-3,829695582E-1
2,570125146E1;-6,278433651E-2;-2,490034886E-2;-5,298539400E-1
2,580174646E1;2,912073582E-2;-6,237160787E-2;-7,307198644E-1
2,590224046E1;1,224171650E-2;-1,074046642E-1;-8,190299273E-1
