"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
7,455369461E1;5,235617611E1;4,905842893E0;-3,252448104E-1;3,085801614E0;2,556846125E2;4,787290082E0;3,302482506E0
7,555368924E1;5,235617165E1;4,905789543E0;-2,693378944E-1;3,155104368E0;2,553009669E2;4,791608444E0;3,296213821E0
7,655368495E1;5,235616205E1;4,905733042E0;-3,765137699E-1;3,253528046E0;2,545386761E2;4,795095135E0;3,291139571E0
7,755367970E1;5,235615322E1;4,905676947E0;-2,985221334E-1;3,549046589E0;2,546489453E2;4,796885265E0;3,288529883E0
7,855367422E1;5,235614629E1;4,905633176E0;-2,199872797E-1;3,390590688E0;2,541913067E2;4,794250072E0;3,292370465E0
7,955366993E1;5,235613918E1;4,905599155E0;-2,004079986E-1;2,865660765E0;2,545426908E2;4,791982664E0;3,295669762E0
8,055366468E1;5,235612995E1;4,905560513E0;-2,860518945E-1;2,657444284E0;2,551803514E2;4,793305955E0;3,293744838E0
8,155366039E1;5,235612253E1;4,905526230E0;-3,367593382E-1;2,647977775E0;2,550589193E2;4,796322512E0;3,289350603E0
8,255365515E1;5,235611517E1;4,905494538E0;-4,121366385E-1;2,657657015E0;2,526555596E2;4,802450896E0;3,280396687E0
8,355365002E1;5,235611045E1;4,905454055E0;-3,232499100E-1;2,739162280E0;2,555889806E2;4,802641645E0;3,280117416E0
8,455364525E1;5,235610351E1;4,905423598E0;-3,129771668E-1;2,713116321E0;2,553471743E2;4,807927013E0;3,272365333E0
8,555363965E1;5,235609872E1;4,905388111E0;-2,865235908E-1;2,737277106E0;2,552626392E2;4,807732263E0;3,272651451E0
8,655363488E1;5,235609008E1;4,905350830E0;-2,127055051E-1;2,734213503E0;2,548016290E2;4,806134975E0;3,274996738E0
8,755363035E1;5,235608285E1;4,905311798E0;-1,386686582E-1;2,723979164E0;2,546684106E2;4,805642818E0;3,275718874E0
8,855362654E1;5,235607565E1;4,905273342E0;1,570596499E-1;2,705311181E0;2,549556098E2;4,800999151E0;3,282521011E0
8,955362129E1;5,235606711E1;4,905230875E0;3,345325608E-1;2,696864266E0;2,551308982E2;4,803091255E0;3,279459014E0
9,055361545E1;5,235606301E1;4,905188980E0;3,289957996E-1;2,706005467E0;2,553743541E2;4,798297558E0;3,286468861E0
9,155360997E1;5,235605203E1;4,905142938E0;2,368692029E-1;2,865546470E0;2,548329159E2;4,802092336E0;3,280921552E0
9,255360675E1;5,235603758E1;4,905076352E0;1,318515241E-1;3,770191055E0;2,541961368E2;4,794634299E0;3,291810896E0
9,355360091E1;5,235602624E1;4,904990256E0;-3,195778113E-1;5,122752746E0;2,537506468E2;4,794292059E0;3,292309324E0
9,455359614E1;5,235600642E1;4,904893823E0;-3,102008039E-1;6,245691787E0;2,540101026E2;4,792529784E0;3,294874095E0
9,555359221E1;5,235597717E1;4,904777026E0;-4,631825145E-1;7,398655417E0;2,500163805E2;4,787919745E0;3,301569558E0
9,655358601E1;5,235594380E1;4,904648256E0;-3,035647571E-1;8,499376527E0;2,492297401E2;4,785786016E0;3,304661744E0
9,755358171E1;5,235590063E1;4,904523493E0;-2,010408640E-1;9,312646498E0;2,448907527E2;4,791039476E0;3,297040760E0
9,855357802E1;5,235586044E1;4,904376900E0;-1,379830455E-1;1,024145715E1;2,458889380E2;4,816650370E0;3,259511657E0
9,955357289E1;5,235580719E1;4,904225060E0;2,910730615E-2;1,123926575E1;2,430822501E2;4,896556882E0;3,138194980E0
1,005535680E2;5,235575600E1;4,904077319E0;2,042768775E-1;1,125218336E1;2,422769029E2;5,017482412E0;2,940987466E0
1,015535629E2;5,235570384E1;4,903919998E0;3,832981428E-1;1,172307549E1;2,418958418E2;4,995743621E0;2,977764716E0
1,025535587E2;5,235564969E1;4,903748028E0;5,331268078E-1;1,231983452E1;2,420462522E2;5,040059901E0;2,902125640E0
1,035535541E2;5,235559454E1;4,903564455E0;7,069775006E-1;1,292682231E1;2,426511749E2;5,087836567E0;2,817526593E0
1,045535489E2;5,235555399E1;4,903370687E0;6,849271543E-1;1,346627299E1;2,440452111E2;5,098291019E0;2,798564939E0
1,055535456E2;5,235549401E1;4,903184992E0;6,880342206E-1;1,382860342E1;2,424755338E2;5,217661364E0;2,569152959E0
1,065535398E2;5,235543542E1;4,903007008E0;6,232961752E-1;1,369484051E1;2,425211461E2;5,266511656E0;2,467466719E0
1,075535344E2;5,235539389E1;4,902821076E0;7,068074141E-1;1,345993186E1;2,430600110E2;5,253901096E0;2,494205345E0
