"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2,301821163E1;7,979048043E-2;-4,421348870E-1;2,144145966E-2
2,311821163E1;9,188716114E-2;-4,264359474E-1;3,668022156E-2
2,321821163E1;1,398359835E-1;-4,009790421E-1;5,304527283E-2
2,331821163E1;1,524259299E-1;-3,943952322E-1;3,175163269E-2
2,341821163E1;1,630095840E-1;-3,949474394E-1;1,364707947E-3
2,351821163E1;1,750172079E-1;-4,091390669E-1;-6,306266785E-2
2,361821163E1;1,845800281E-1;-4,219142497E-1;-8,328628540E-2
2,371821163E1;1,903219372E-1;-4,050784707E-1;-4,685020447E-2
2,381821163E1;1,814599633E-1;-4,040725827E-1;-8,742332458E-3
2,391821163E1;1,776171327E-1;-3,991317153E-1;5,401802063E-2
2,401821163E1;1,660473943E-1;-3,732219934E-1;4,417514801E-2
2,411821163E1;1,402608156E-1;-3,641035259E-1;1,988887787E-2
2,421821163E1;1,205381602E-1;-3,770096004E-1;4,072189331E-3
2,431821163E1;9,227114916E-2;-3,511624932E-1;-2,971458435E-2
2,441821163E1;1,027620509E-1;-3,671118915E-1;-3,154945374E-2
2,451821163E1;9,297443926E-2;-3,830648661E-1;-3,600788116E-2
2,461821163E1;1,135448962E-1;-3,779446185E-1;-3,080177307E-2
2,471821163E1;9,571433812E-2;-3,743408322E-1;2,460956573E-2
2,481821163E1;1,082066521E-1;-3,913893104E-1;7,066249847E-2
2,491821163E1;1,301739961E-1;-3,393138647E-1;9,086322784E-2
2,501821163E1;1,412888914E-1;-3,385857344E-1;4,674053192E-2
2,511821163E1;1,291736960E-1;-3,306301534E-1;-1,565265656E-2
2,521821163E1;1,082115322E-1;-3,340207338E-1;-9,409904480E-2
2,531821163E1;1,000947878E-1;-3,722473979E-1;-1,853342056E-1
2,541821163E1;7,743906230E-2;-3,504265845E-1;-7,081699371E-2
2,551821163E1;8,782295138E-2;-3,456619382E-1;6,670665741E-2
2,561821163E1;8,608855307E-2;-3,430539370E-1;1,320209503E-1
2,571821163E1;1,061393842E-1;-3,098482490E-1;2,374839783E-1
2,581821163E1;9,975822270E-2;-3,218256533E-1;1,589078903E-1
2,591821163E1;8,520004898E-2;-3,356775343E-1;-7,850837708E-2
2,601821163E1;6,220825389E-2;-3,463989496E-1;-2,492189407E-1
2,611821163E1;7,447453588E-2;-3,437959254E-1;-2,236318588E-1
2,621821163E1;7,692328840E-2;-3,103507757E-1;-8,945560455E-2
2,631821163E1;6,250624359E-2;-3,112663627E-1;-1,370525360E-2
2,641821163E1;4,927799106E-2;-3,164416254E-1;7,596302032E-2
2,651821163E1;6,597504020E-2;-3,177149594E-1;5,736732483E-2
2,661821163E1;6,990387291E-2;-2,639760077E-1;2,064285278E-1
2,671821163E1;1,036647856E-1;-2,830524147E-1;1,501741409E-1
2,681821163E1;1,647472382E-1;-2,175031006E-1;1,797714233E-1
2,691821163E1;1,610928923E-1;-2,787548304E-1;9,102344513E-2
2,701821163E1;1,954653412E-1;-3,111608326E-1;-1,894950867E-2
2,711821163E1;1,558945328E-1;-2,877123654E-1;-1,228656769E-1
2,721821163E1;1,283171475E-1;-2,820785344E-1;-9,413146973E-2
2,731821163E1;9,038002789E-2;-2,953384817E-1;-4,650688171E-2
2,741821163E1;5,030584335E-2;-2,892068624E-1;-4,761409760E-2
2,751821163E1;-1,195026468E-2;-2,880159318E-1;2,176284790E-3
2,761821163E1;-3,986199573E-2;-3,073295653E-1;6,439399719E-2
2,771821163E1;-5,151097104E-2;-2,794678509E-1;1,122570038E-1
2,781821163E1;-4,198632017E-2;-2,293678522E-1;1,131563187E-1
2,791821163E1;-4,137371480E-2;-2,192685008E-1;2,071762085E-2
2,801821163E1;-8,033456653E-2;-2,695822418E-1;-2,201814651E-1
2,811821163E1;-7,585437596E-2;-2,700074911E-1;-2,873020172E-1
2,821821163E1;-1,534037441E-1;-1,990304291E-1;-1,554126740E-1
2,831821163E1;-1,693594903E-1;-2,670370936E-1;-4,846572876E-3
2,841821163E1;-1,816304922E-1;-2,367160618E-1;3,644533157E-1
2,851821163E1;-1,156341061E-1;-2,638626695E-1;4,018316269E-1
2,861821163E1;-5,781325698E-2;-2,560802996E-1;2,831144333E-1
2,871821163E1;1,203195527E-1;-3,072200418E-1;-2,117166519E-1
2,881821163E1;2,346673161E-1;-2,539235950E-1;-2,377386093E-1
2,891821163E1;1,830546409E-1;-1,972292364E-1;-2,046480179E-1
2,901821163E1;1,726683229E-1;-2,281230688E-1;-2,596902847E-1
2,911821163E1;3,881633282E-2;-1,574596167E-1;-1,805305481E-3
2,921821163E1;-4,000149667E-2;-2,166274786E-1;-2,807521820E-2
2,931821163E1;-2,112962306E-2;-2,339915335E-1;-1,520824432E-2
2,941821163E1;-1,024127007E-3;-2,137038708E-1;1,590251923E-2
2,951821163E1;2,826634049E-2;-1,684131026E-1;1,465682983E-1
2,961821163E1;3,803384304E-2;-1,612171829E-1;1,435031891E-1
2,971821163E1;-2,823039889E-2;-1,436150670E-1;-1,619720459E-2
2,981821163E1;-5,822054297E-2;-1,435609162E-1;-1,183815002E-1
2,991821163E1;-1,321411431E-1;-1,991697252E-1;-2,071056366E-1
3,001821163E1;-1,819599569E-1;-1,963939071E-1;-1,413583755E-1
3,011821163E1;-1,337989271E-1;-1,790442169E-1;1,784305573E-1
3,021821163E1;-1,339768767E-1;-1,549990773E-1;3,547363281E-1
3,031821163E1;-2,920041978E-2;-1,150550842E-1;4,447393417E-1
3,041821163E1;2,258899808E-2;-1,056141853E-1;2,871780396E-1
3,051821163E1;3,564614058E-2;-1,927903891E-1;-1,971530914E-1
3,061821163E1;9,711377323E-2;-2,264840305E-1;-3,824806213E-1
3,071821163E1;6,333038211E-3;-1,892414391E-1;-4,217052460E-1
3,081821163E1;6,723225117E-2;-1,862008274E-1;-2,676277161E-1
3,091821163E1;-4,533803463E-2;-1,027719378E-1;1,683454514E-1
