"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1,291405908E1;4,785645287E-3;-5,419743061E-1;9,774680138E0
1,301405908E1;1,914258115E-2;-5,395814776E-1;9,775279045E0
1,311405908E1;1,375873014E-2;-5,611169338E-1;9,815957069E0
1,321405908E1;2,871387079E-2;-5,623133183E-1;9,814162254E0
1,331405908E1;1,615155302E-2;-6,317051649E-1;9,862018585E0
1,341405908E1;8,973085321E-3;-6,514459848E-1;9,848857880E0
1,351405908E1;1,256231871E-2;-6,173482537E-1;9,792028427E0
1,361405908E1;1,854437590E-2;-6,119644046E-1;9,792626381E0
1,371405908E1;1,794617064E-2;-5,952146053E-1;9,803992271E0
1,381405908E1;2,691925503E-2;-5,982056856E-1;9,797411919E0
1,391405908E1;2,991028316E-2;-5,724828243E-1;9,811769485E0
1,401405908E1;2,452643216E-2;-5,910272002E-1;9,784252167E0
1,411405908E1;2,512463741E-2;-5,964110494E-1;9,783653259E0
1,421405908E1;1,674975827E-2;-5,970092416E-1;9,802796364E0
1,431405908E1;7,178467698E-3;-5,934200287E-1;9,787242889E0
1,441405908E1;-2,991028363E-3;-5,934200287E-1;9,804591179E0
1,451405908E1;-1,495514158E-2;-5,910272002E-1;9,827920914E0
1,461405908E1;-2,811566554E-2;-5,958128572E-1;9,803992271E0
1,471405908E1;-3,708875179E-2;-5,868397355E-1;9,827322960E0
1,481405908E1;-4,247260094E-2;-5,994020700E-1;9,805787086E0
1,491405908E1;-4,965107143E-2;-5,934200287E-1;9,833304405E0
1,501405908E1;-6,041877344E-2;-5,916253924E-1;9,828518867E0
1,511405908E1;-5,144568533E-2;-5,832505226E-1;9,839884758E0
1,521405908E1;-4,007977992E-2;-5,748756528E-1;9,833903313E0
1,531405908E1;-2,512463741E-2;-5,862415433E-1;9,812367439E0
1,541405908E1;-1,256231871E-2;-5,814558864E-1;9,799804688E0
1,551405908E1;1,076770201E-2;-5,886343718E-1;9,784252167E0
1,561405908E1;1,196411345E-2;-5,964110494E-1;9,796216011E0
1,571405908E1;3,888336942E-2;-6,000002623E-1;9,796813965E0
1,581405908E1;4,426721856E-2;-5,850451589E-1;9,815358162E0
1,591405908E1;5,563312769E-2;-6,233302951E-1;9,800403595E0
1,601405908E1;5,982056633E-2;-6,364908218E-1;9,801599503E0
1,611405908E1;4,426721856E-2;-6,903293133E-1;9,774082184E0
1,621405908E1;4,366901144E-2;-6,693921089E-1;9,754940033E0
1,631405908E1;4,007977992E-2;-6,687939167E-1;9,768698692E0
1,641405908E1;2,392822690E-2;-6,574280262E-1;9,799804688E0
1,651405908E1;1,375873014E-2;-6,484549642E-1;9,815957069E0
1,661405908E1;3,589233849E-3;-6,538388133E-1;9,825528145E0
1,671405908E1;-2,392822644E-3;-6,993024349E-1;9,789037704E0
1,681405908E1;-1,615155302E-2;-6,843472719E-1;9,806385040E0
1,691405908E1;-3,828516230E-2;-6,975077987E-1;9,805787086E0
1,701405908E1;-4,606183618E-2;-6,891329288E-1;9,815957069E0
1,711405908E1;-3,888336942E-2;-6,867401004E-1;9,811170578E0
1,721405908E1;-3,948157281E-2;-6,987041831E-1;9,812965393E0
1,731405908E1;-1,974078640E-2;-6,807580590E-1;9,850054741E0
1,741405908E1;-1,794617064E-2;-6,813562512E-1;9,853643417E0
1,751405908E1;-4,785645287E-3;-6,957131624E-1;9,793225288E0
1,761405908E1;7,178467698E-3;-6,969096065E-1;9,768099785E0
1,771405908E1;2,033899166E-2;-7,064808607E-1;9,772287369E0
1,781405908E1;2,213360928E-2;-6,837490797E-1;9,798010826E0
1,791405908E1;2,093719877E-2;-6,783652306E-1;9,817750931E0
1,801405908E1;1,016949583E-2;-6,729813814E-1;9,819545746E0
1,811405908E1;5,982056726E-3;-6,783652306E-1;9,802796364E0
1,821405908E1;-2,153540403E-2;-6,789634228E-1;9,799206734E0
1,831405908E1;-2,811566554E-2;-6,825526357E-1;9,793225288E0
1,841405908E1;-5,144568533E-2;-6,819544435E-1;9,835099220E0
1,851405908E1;-5,503492057E-2;-6,951149702E-1;9,832706451E0
1,861405908E1;-6,101697683E-2;-6,843472719E-1;9,855438232E0
1,871405908E1;-5,443671346E-2;-6,741777658E-1;9,831509590E0
1,881405908E1;-2,991028316E-2;-6,993024349E-1;9,793225288E0
1,891405908E1;-2,632104978E-2;-7,034898400E-1;9,781260490E0
1,901405908E1;1,914258115E-2;-6,927221417E-1;9,759725571E0
1,911405908E1;2,093719877E-2;-6,771687865E-1;9,783653259E0
1,921405908E1;7,836493850E-2;-6,867401004E-1;9,748359680E0
1,931405908E1;8,673982322E-2;-6,568298340E-1;9,792028427E0
1,941405908E1;1,076770201E-1;-6,358926296E-1;9,859027863E0
1,951405908E1;9,870393574E-2;-6,592226624E-1;9,862616539E0
1,961405908E1;8,733802289E-2;-6,813562512E-1;9,798010826E0
1,971405908E1;7,776673883E-2;-6,741777658E-1;9,823135376E0
1,981405908E1;4,965107143E-2;-6,759724021E-1;9,774680138E0
1,991405908E1;1,375873014E-2;-6,711867452E-1;9,790832520E0
2,001405908E1;-3,409772366E-2;-6,687939167E-1;9,751948357E0
2,011405908E1;-7,298108935E-2;-6,711867452E-1;9,781859398E0
2,021405908E1;-8,494520187E-2;-6,849454641E-1;9,799804688E0
2,031405908E1;-9,870393574E-2;-6,777670383E-1;9,866206169E0
2,041405908E1;-1,142572835E-1;-6,771687865E-1;9,873982430E0
2,051405908E1;-1,010967568E-1;-6,574280262E-1;9,903294563E0
2,061405908E1;-9,092725813E-2;-6,586244106E-1;9,884152412E0
2,071405908E1;-8,733802289E-2;-6,592226624E-1;9,834501266E0
2,081405908E1;-6,879365444E-2;-6,586244106E-1;9,809376717E0
2,091405908E1;-2,931207791E-2;-6,598208547E-1;9,781859398E0
2,101405908E1;-5,982056726E-3;-6,646065116E-1;9,774680138E0
2,111405908E1;2,213360928E-2;-6,693921089E-1;9,781859398E0
2,121405908E1;3,469592705E-2;-6,783652306E-1;9,802796364E0
2,131405908E1;6,999006122E-2;-6,825526357E-1;9,804591179E0
2,141405908E1;8,374879509E-2;-6,837490797E-1;9,794421196E0
2,151405908E1;9,990034252E-2;-6,669993401E-1;9,799206734E0
2,161405908E1;1,058823988E-1;-6,699903607E-1;9,793225288E0
2,171405908E1;1,184447184E-1;-6,723831892E-1;9,774680138E0
2,181405908E1;1,136590764E-1;-6,705885530E-1;9,771091461E0
2,191405908E1;8,075776696E-2;-6,831508875E-1;9,800403595E0
2,201405908E1;5,862415582E-2;-6,927221417E-1;9,803992271E0
2,211405908E1;4,007977992E-2;-6,741777658E-1;9,799206734E0
2,221405908E1;2,811566554E-2;-6,801598072E-1;9,792028427E0
