"Time (s)";"Temperature (°C)"
2,604222488E1;3,290625000E1
2,614222488E1;3,288281250E1
2,624222488E1;3,291015625E1
2,634222488E1;3,285546875E1
2,644222488E1;3,286328125E1
2,654222488E1;3,285156250E1
2,664222488E1;3,284765625E1
2,674222488E1;3,285546875E1
2,684222488E1;3,284765625E1
2,694222488E1;3,283593750E1
2,704222488E1;3,283984375E1
2,714222488E1;3,284765625E1
2,724222488E1;3,283203125E1
2,734222488E1;3,280859375E1
2,744222488E1;3,280859375E1
2,754222488E1;3,279687500E1
2,764222488E1;3,278125000E1
2,774222488E1;3,280859375E1
2,784222488E1;3,278906250E1
2,794222488E1;3,281640625E1
2,804222488E1;3,281640625E1
2,814222488E1;3,280859375E1
2,824222488E1;3,281640625E1
2,834222488E1;3,282421875E1
2,844222488E1;3,280859375E1
2,854222488E1;3,278906250E1
2,864222488E1;3,278125000E1
2,874222488E1;3,272656250E1
2,884222488E1;3,276562500E1
2,894222488E1;3,282421875E1
2,904222488E1;3,279296875E1
2,914222488E1;3,275781250E1
2,924222488E1;3,278125000E1
2,934222488E1;3,275390625E1
2,944222488E1;3,279296875E1
2,954222488E1;3,270312500E1
2,964222488E1;3,275781250E1
2,974222488E1;3,278125000E1
2,984222488E1;3,274218750E1
2,994222488E1;3,272656250E1
3,004222488E1;3,276953125E1
3,014222488E1;3,272656250E1
3,024222488E1;3,271875000E1
3,034222488E1;3,270703125E1
3,044222488E1;3,269921875E1
3,054222488E1;3,269140625E1
3,064222488E1;3,271484375E1
3,074222488E1;3,266406250E1
3,084222488E1;3,265625000E1
3,094222488E1;3,272265625E1
3,104222488E1;3,263281250E1
3,114222488E1;3,267578125E1
3,124222488E1;3,267578125E1
3,134222488E1;3,272656250E1
3,144222488E1;3,272265625E1
3,154222488E1;3,269140625E1
3,164222488E1;3,270703125E1
3,174222488E1;3,271484375E1
3,184222488E1;3,269921875E1
3,194222488E1;3,268359375E1
3,204222488E1;3,264843750E1
3,214222488E1;3,272656250E1
3,224222488E1;3,266406250E1
3,234222488E1;3,269140625E1
3,244222488E1;3,268359375E1
3,254222488E1;3,265625000E1
3,264222488E1;3,262500000E1
3,274222488E1;3,265625000E1
3,284222488E1;3,264062500E1
3,294222488E1;3,264843750E1
3,304222488E1;3,266406250E1
3,314222488E1;3,267578125E1
3,324222488E1;3,268359375E1
3,334222488E1;3,265625000E1
3,344222488E1;3,266406250E1
3,354222488E1;3,264062500E1
3,364222488E1;3,263281250E1
3,374222488E1;3,260937500E1
3,384222488E1;3,269921875E1
3,394222488E1;3,267578125E1
3,404222488E1;3,268359375E1
3,414222488E1;3,268359375E1
3,424222488E1;3,262500000E1
3,434222488E1;3,267578125E1
3,444222488E1;3,259375000E1
3,454222488E1;3,260937500E1
3,464222488E1;3,262109375E1
3,474222488E1;3,262500000E1
3,484222488E1;3,263281250E1
3,494222488E1;3,261718750E1
3,504222488E1;3,259765625E1
3,514222488E1;3,262500000E1
3,524222488E1;3,263281250E1
3,534222488E1;3,260937500E1
3,544222488E1;3,261718750E1
3,554222488E1;3,262500000E1
3,564222488E1;3,258984375E1
3,574222488E1;3,259375000E1
3,584222488E1;3,258203125E1
3,594222488E1;3,259765625E1
3,604222488E1;3,259765625E1
3,614222488E1;3,260546875E1
3,624222488E1;3,258984375E1
3,634222488E1;3,255078125E1
3,644222488E1;3,258203125E1
3,654222488E1;3,261328125E1
3,664222488E1;3,258203125E1
3,674222488E1;3,257421875E1
3,684222488E1;3,254296875E1
3,694222488E1;3,256640625E1
3,704222488E1;3,254296875E1
3,714222488E1;3,256640625E1
3,724222488E1;3,253125000E1
3,734222488E1;3,255078125E1
3,744222488E1;3,255859375E1
