"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1,298465353E1;-2,886338234E-1;-2,011121035E0;-2,959642112E-1
1,308465353E1;5,378668308E-1;-2,021964073E0;3,335324228E-1
1,318465353E1;-7,313584089E-1;-1,597718000E0;-3,627012372E-1
1,328465353E1;6,685920358E-1;2,463314086E-1;-1,556179225E-1
1,338465353E1;2,165211916E0;1,949118257E0;2,209194183E0
1,348465353E1;9,298896194E-1;-2,971859276E-1;1,374141335E0
1,358465353E1;1,452942967E0;9,040805697E-1;7,458664775E-1
1,368465353E1;5,253441334E-1;-7,406741381E-2;1,427592039E0
1,378465353E1;3,129157126E-1;8,701775670E-1;-5,818491429E-2
1,388465353E1;-1,784031987E0;1,087340117E-1;-1,388802171E0
1,398465353E1;-9,637926221E-1;2,827084303E0;-1,829846859E0
1,408465353E1;-7,156286240E-1;-1,750128865E-1;-2,653445959E0
1,418465353E1;-1,398423314E0;-2,523942471E0;-8,130616546E-1
1,428465353E1;-1,197906733E0;-1,196074128E0;-1,058476806E0
1,438465353E1;-7,916813493E-1;-2,062739134E0;-5,645921826E-1
1,448465353E1;2,200183868E0;-4,584543705E-1;3,894265890E-1
1,458465353E1;2,168266296E0;2,018604279E0;1,444696307E0
1,468465353E1;1,330769897E0;6,012440920E-1;1,149648428E0
1,478465353E1;1,358869791E0;1,366505504E0;4,327980280E-1
1,488465353E1;1,099557400E0;1,896431208E0;-8,827003092E-2
1,498465353E1;2,406809032E-1;6,884451509E-1;-1,353066564E-1
1,508465353E1;1,521054506E-1;7,693848014E-1;6,556110978E-1
1,518465353E1;5,128213763E-1;8,376489878E-1;1,045190454E0
1,528465353E1;2,910772860E-1;6,175847650E-1;5,071708560E-1
1,538465353E1;-1,345430762E-1;6,585127115E-1;-8,181012869E-1
1,548465353E1;-4,773911834E-1;1,007774949E0;-1,352455616E0
1,558465353E1;-3,486513495E-1;1,200044751E0;-1,890780687E0
1,568465353E1;-1,555110216E0;-2,025323629E0;-2,220189810E0
1,578465353E1;-1,627344966E0;-2,100918293E0;-1,661400795E0
1,588465353E1;7,864890248E-2;-1,492191076E0;-2,112066597E-1
1,598465353E1;2,341141105E-1;-1,519832730E0;1,359175146E-1
1,608465353E1;1,333060622E0;8,093964309E-2;9,642508030E-1
1,618465353E1;1,900401831E0;6,650795341E-1;1,047328472E0
1,628465353E1;1,593136549E0;1,203862667E0;1,293965340E0
1,638465353E1;1,401324868E0;1,675908804E0;1,874439955E0
1,648465353E1;-7,483099401E-2;-6,520986557E-1;7,425066829E-1
1,658465353E1;2,747366428E-1;-6,656904221E-1;7,872526050E-1
1,668465353E1;7,930558324E-1;1,101084575E-1;8,362745047E-1
1,678465353E1;4,240931869E-1;5,584835410E-1;9,117164016E-1
1,688465353E1;-2,186897546E-1;-2,521346211E-1;-6,843217611E-1
1,698465353E1;-1,514640331E0;8,048149943E-2;-1,812742591E0
1,708465353E1;-3,466660380E-1;1,245859623E0;-1,587791443E0
1,718465353E1;-7,667886019E-1;-4,341724813E-1;-1,649488926E0
1,728465353E1;-2,916881442E-1;-1,610393524E0;-2,938261926E-1
1,738465353E1;-2,516764700E-1;-1,900707245E0;1,481348183E-2
1,748465353E1;-5,218316317E-1;-1,452179432E0;-8,659014851E-2
1,758465353E1;7,696902156E-1;7,835873961E-1;3,740022480E-1
1,768465353E1;1,507310033E0;1,379181027E0;1,902234316E0
1,778465353E1;7,386888266E-1;-3,981314301E-1;5,899431109E-1
1,788465353E1;1,300073981E0;6,356052756E-1;2,383901626E-1
1,798465353E1;4,871650338E-1;2,397646159E-1;9,813550115E-1
1,808465353E1;1,766927689E-1;3,375030458E-1;3,897320330E-1
1,818465353E1;-1,767385840E0;1,863138936E-2;-1,820073009E0
1,828465353E1;-1,566869378E0;1,425454021E0;-2,190868139E0
1,838465353E1;-8,616254330E-1;-1,576032341E-1;-1,991420746E0
1,848465353E1;-9,656252265E-1;-2,004707098E0;-1,097877502E0
1,858465353E1;4,660901725E-1;-6,123924255E-1;2,858849466E-1
1,868465353E1;-1,249219403E-1;-4,082106948E-1;-8,029823899E-1
1,878465353E1;-2,582432926E-1;-4,237877727E-1;1,817324013E-2
1,888465353E1;6,200282276E-2;-3,057380617E-1;6,751587987E-1
1,898465353E1;6,772968173E-1;1,359175146E-2;1,232726097E0
1,908465353E1;8,953757286E-1;1,224784851E-1;9,863946438E-1
1,918465353E1;2,037235647E-1;9,294314981E-1;-1,620320082E-1
1,928465353E1;1,223257631E-1;6,640105247E-1;-2,952006161E-1
1,938465353E1;-2,025018334E-1;9,431759119E-1;1,400408596E-1
1,948465353E1;-1,974927306E0;5,172501206E-1;-1,199586630E0
1,958465353E1;-1,718058437E-1;1,502728462E-1;-6,878342628E-1
1,968465353E1;4,231768847E-1;-7,483099401E-2;3,123048544E-1
1,978465353E1;3,452915847E-1;-1,166141748E0;1,701717854E0
1,988465353E1;-5,879577994E-2;-1,571145415E0;1,704314053E-1
1,998465353E1;1,296561509E-1;-1,269072533E0;2,962696552E-1
2,008465353E1;3,330742717E-1;9,640980959E-1;2,122756653E-2
2,018465353E1;6,898195744E-1;5,455026627E-1;2,429716438E-1
2,028465353E1;-5,421429127E-2;1,342681766E0;-1,957823038E-1
2,038465353E1;-1,284191489E0;8,663596511E-1;-6,550002694E-1
2,048465353E1;-8,237518072E-1;-3,685044646E-1;-1,814575195E0
2,058465353E1;2,666426897E-1;1,905899495E-1;2,538145185E-1
2,068465353E1;1,221272349E0;-8,704829812E-1;1,795180202E0
2,078465353E1;4,674646258E-1;-2,072818518E0;3,449861407E-1
2,088465353E1;8,704829961E-2;-2,578309536E0;3,895792961E-1
2,098465353E1;2,747366428E-1;-4,795292318E-1;9,346238524E-2
2,108465353E1;7,391469479E-1;2,501493096E-1;3,937026560E-1
2,118465353E1;4,034765065E-1;1,121548533E0;2,021963894E-1
2,128465353E1;-4,903720617E-1;8,318457603E-1;-3,254384696E-1
2,138465353E1;-9,912815690E-1;2,190868139E0;-1,350164890E0
2,148465353E1;-4,575380683E-1;-7,709119320E-1;-4,253149331E-1
2,158465353E1;1,088561893E0;1,285871267E-1;8,431467414E-1
2,168465353E1;1,255328059E-1;-1,606422901E0;1,287703991E0
2,178465353E1;3,144428730E-1;-1,071304917E0;-7,819075137E-2
2,188465353E1;-8,721628785E-1;-3,000875413E-1;-1,218676195E-1
2,198465353E1;6,123924255E-1;1,377806544E0;-2,535090782E-2
2,208465353E1;8,547531962E-1;7,237225771E-1;5,926920176E-1
2,218465353E1;2,364048511E-1;1,342376351E0;1,464549452E-1
2,228465353E1;-7,052439451E-1;1,345888853E0;-3,559817076E-1
2,238465353E1;-1,781283021E0;1,445459843E0;-2,060295820E0
2,248465353E1;3,094032407E-1;-3,469714522E-1;-6,284276247E-1
2,258465353E1;1,866040587E0;-1,365589261E0;1,400408626E0
2,268465353E1;5,644394755E-1;-2,190868139E0;1,037401915E0
2,278465353E1;3,452915847E-1;8,794932365E-1;-3,524692357E-1
2,288465353E1;-1,750128865E-1;-1,360702276E0;1,020144969E-1
2,298465353E1;-3,170390725E-1;-8,956811428E-1;4,964807332E-1
2,308465353E1;9,410378933E-1;2,294257164E0;5,458080769E-1
2,318465353E1;-1,977218032E0;1,527621269E0;-2,165669918E0
2,328465353E1;-2,394897223E0;-1,623221636E0;-1,365131140E0
2,338465353E1;2,337475777E0;-2,112066597E-1;1,718516707E0
2,348465353E1;7,153232098E-1;-1,256549835E0;1,114065528E0
2,358465353E1;-9,315694682E-3;-1,366658211E0;2,046398632E-2
2,368465353E1;3,171917796E-1;4,428773187E-3;-6,354525685E-1
2,378465353E1;-1,088867337E-1;1,173624873E0;-9,376781434E-2
2,388465353E1;-1,103528023E0;1,948965549E0;-1,239140153E0
2,398465353E1;-1,092379808E0;-3,611740768E-1;-8,029823899E-1
2,408465353E1;1,487151384E0;-5,946773291E-1;2,154827118E0
2,418465353E1;4,692972302E-1;-1,337642193E0;1,329242826E0
2,428465353E1;1,308778822E-1;-8,480336666E-1;-7,254024595E-2
2,438465353E1;3,802636266E-1;1,641700417E-1;-4,819726646E-1
2,448465353E1;3,069597855E-2;4,025602043E-1;3,550654352E-1
2,458465353E1;-1,073595643E0;1,161407590E0;-7,425066829E-1
2,468465353E1;-3,704897761E-1;-6,969972253E-1;-1,079856992E0
2,478465353E1;1,342834473E0;-7,435756922E-1;2,695443034E-1
2,488465353E1;5,131268129E-2;1,414152980E-1;7,683157325E-1
2,498465353E1;-2,012801021E-1;-4,024074674E-1;-5,745187402E-1
2,508465353E1;6,948592067E-1;5,685628057E-1;-2,530509233E-1
2,518465353E1;-1,829541475E-1;2,692388594E-1;1,040761709E0
2,528465353E1;1,500590444E0;7,684684992E-1;5,954409242E-1
2,538465353E1;1,028391600E0;1,209055066E0;7,116580009E-1
2,548465353E1;4,570799172E-1;6,916521788E-1;7,507534027E-1
2,558465353E1;1,826487035E-1;2,547308207E-1;4,480696619E-1
2,568465353E1;-1,899790883E0;1,724930763E0;-2,237599373E0
2,578465353E1;-7,912232280E-1;2,114051819E0;-1,467756510E0
2,588465353E1;-1,009454846E0;-1,349248648E0;-1,534493446E0
2,598465353E1;-7,907650471E-1;-2,139097452E0;-5,986479521E-1
2,608465353E1;5,659666657E-1;-1,690569520E0;-4,334088862E-1
2,618465353E1;-8,414669037E-1;-1,308167934E0;-5,960517526E-1
2,628465353E1;7,840455174E-1;7,788531948E-3;-2,464841306E-1
2,638465353E1;1,052520871E0;1,550681472E0;9,639453292E-1
2,648465353E1;1,461036921E0;7,286095023E-1;6,207917929E-1
2,658465353E1;1,038470864E0;8,399397135E-1;4,341724813E-1
2,668465353E1;7,707592249E-1;6,676757336E-1;8,889616728E-1
2,678465353E1;1,679879427E-1;2,808452845E-1;1,435533315E-1
2,688465353E1;-1,493565589E-1;9,479101300E-1;-7,580837607E-1
2,698465353E1;-1,564273119E0;2,107332468E0;-1,786933541E0
2,708465353E1;-6,638578176E-1;1,238529325E0;-1,266934514E0
2,718465353E1;-6,131559610E-1;-1,850768924E0;-8,112290502E-1
2,728465353E1;6,090326309E-1;-1,467298269E0;2,764165215E-2
2,738465353E1;-1,748601794E-1;-1,007316828E0;-3,342960179E-1
2,748465353E1;-6,716463566E-1;-1,539991260E0;-4,844161272E-1
2,758465353E1;6,243042946E-1;-3,026837409E-1;-2,906191349E-1
2,768465353E1;1,408349872E0;1,323439598E0;1,950034618E0
2,778465353E1;7,787004709E-1;-7,956519723E-1;3,691153228E-1
2,788465353E1;1,368643522E0;6,892086864E-1;4,764748737E-2
