Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Illuminance (lx),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm),Temperature (°C)
"1,011939519E2","7,513463020E0","-1,036810017E1","-2,405983210E0",,,,,,,,,,,,,,,,,,,,
"1,012055599E2",,,,,,,,,,,,,,,,,,,,,"1,011220886E3",,
"1,012104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,282812500E1"
"1,012121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,012245684E2",,,,,,,,"-1,362382650E0","-1,293348312E0","-1,292376518E-1",,,,,,,,,,,,,
"1,012403592E2",,,,,,,,,,,,,,,,,,"-3,916199875E1","2,039839935E1","4,196799755E0",,,
"1,012691520E1",,,,,,,,"-3,132200956E0","1,048844576E0","4,774816513E0",,,,,,,,,,,,,
"1,012816349E2",,,,"-4,996877611E-1","-2,495384514E-1","-2,478127480E0",,,,,,,,,,,,,,,,,
"1,012939519E2","7,842476368E0","-8,722436905E0","-2,370688915E0",,,,,,,,,,,,,,,,,,,,
"1,013055599E2",,,,,,,,,,,,,,,,,,,,,"1,011049316E3",,
"1,013104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,284765625E1"
"1,013121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,013245684E2",,,,,,,,"-1,362382650E0","-1,293348312E0","-1,292376518E-1",,,,,,,,,,,,,
"1,013403592E2",,,,,,,,,,,,,,,,,,"-4,251699829E1","9,930799484E0","8,796199799E0",,,
"1,013816349E2",,,,"-1,118799686E0","-8,155050874E-1","-1,522428870E0",,,,,,,,,,,,,,,,,
"1,013939519E2","3,930809498E0","-4,188037872E0","-1,840080619E0",,,,,,,,,,,,,,,,,,,,
"1,014035919E1",,,,,,,,,,,,,,,,,,"-8,308199883E0","-4,282199860E0","4,706760025E1",,,
"1,014055599E2",,,,,,,,,,,,,,,,,,,,,"1,010890137E3",,
"1,014104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,286328125E1"
"1,014121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,014245684E2",,,,,,,,"-1,362382650E0","-1,293348312E0","-1,292376518E-1",,,,,,,,,,,,,
"1,014260604E1",,,,,,,,,,,"5,201220057E1","5,092929058E0","3,770395032E1","2,911544323E0","1,602083435E2","1,289824486E1","1,575645638E1",,,,,,
