"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
4,024035919E1;-7,734799862E0;2,630319977E1;3,736859894E1
4,034035919E1;-2,098399878E0;3,300099945E1;3,326939774E1
4,044035919E1;5,856000185E-1;3,395259857E1;3,148819923E1
4,054035919E1;-2,061800003E0;3,339139938E1;3,178100014E1
4,064035919E1;-6,831999779E0;3,084159851E1;3,407460022E1
4,074035919E1;-1,044320011E1;2,320439911E1;4,045520020E1
4,084035919E1;-7,637199879E0;1,459119987E1;4,510339737E1
4,094035919E1;-8,783999443E0;1,294419956E1;4,594519806E1
4,104035919E1;-1,052859974E1;2,009339905E1;4,128479767E1
4,114035919E1;-7,246799946E0;2,927999878E1;3,771019745E1
4,124035919E1;-1,634799957E0;3,541659927E1;3,225679779E1
4,134035919E1;1,036999941E0;3,620959854E1;3,092700005E1
4,144035919E1;-3,355000019E0;3,622179794E1;3,128079987E1
4,154035919E1;-9,198800087E0;3,134179878E1;3,509939957E1
4,164035919E1;-1,015040016E1;2,463179970E1;4,139459991E1
4,174035919E1;-9,625800133E0;1,620159912E1;4,468859863E1
