"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
3,094752036E1;5,148399830E0;5,725460052E1;-3,977200031E0
3,104752036E1;3,708799839E0;5,758399963E1;-3,611199856E0
3,114752036E1;1,512799978E0;5,776699829E1;-1,817799926E0
3,124752036E1;-3,660000116E-2;5,808419800E1;-2,073999882E0
3,134752036E1;-1,524999976E0;5,768159866E1;-7,320000231E-2
3,144752036E1;-4,562799931E0;5,762059784E1;-1,219999976E-2
3,154752036E1;-7,112599850E0;5,690079880E1;8,539999723E-1
3,164752036E1;-1,028460026E1;5,626639938E1;-6,710000038E-1
3,174752036E1;-1,285879993E1;5,521719742E1;-1,951999903E0
3,184752036E1;-1,393239975E1;5,459499741E1;-1,585999966E0
3,194752036E1;-1,560379982E1;5,465599823E1;-1,293200016E0
3,204752036E1;-1,577460003E1;5,348479843E1;-2,659600019E0
3,214752036E1;-1,510359955E1;5,422900009E1;-1,646999955E0
3,224752036E1;-1,285879993E1;5,521719742E1;7,075999975E-1
3,234752036E1;-1,518900013E1;5,480239868E1;4,269999862E-1
3,244752036E1;-1,849519920E1;5,382640076E1;4,513999939E0
3,254752036E1;-2,099619865E1;5,238679886E1;7,868999958E0
3,264752036E1;-2,333860016E1;4,995899963E1;9,637999535E0
3,274752036E1;-2,607139969E1;4,651860046E1;1,276119995E1
3,284752036E1;-2,809659958E1;4,256579971E1;1,888559914E1
3,294752036E1;-2,846259880E1;3,860079956E1;2,339959908E1
3,304752036E1;-2,765740013E1;3,477000046E1;2,621780014E1
3,314752036E1;-2,759639931E1;3,394039917E1;2,468059921E1
3,324752036E1;-2,746220016E1;3,430640030E1;2,198439980E1
3,334752036E1;-2,533939934E1;3,790539932E1;1,576239967E1
3,344752036E1;-2,077659988E1;4,057719803E1;1,180959988E1
3,354752036E1;-1,518900013E1;4,295619965E1;9,223199844E0
3,364752036E1;-7,258999825E0;4,463980103E1;1,062619972E1
3,374752036E1;-9,515999556E-1;4,532299805E1;1,172420025E1
3,384752036E1;2,208199978E0;4,401760101E1;1,278559971E1
3,394752036E1;-1,524999976E0;4,457880020E1;1,337119961E1
3,404752036E1;-4,611599922E0;4,523759842E1;1,130939960E1
3,414752036E1;-9,137800217E0;4,466419983E1;1,273680019E1
3,424752036E1;-1,382259941E1;4,199239731E1;1,936139870E1
3,434752036E1;-1,598199940E1;3,752719879E1;2,585179901E1
3,444752036E1;-1,886120033E1;3,668539810E1;2,620559883E1
3,454752036E1;-1,983720016E1;3,940599823E1;2,143540001E1
3,464752036E1;-1,618939972E1;4,390779877E1;1,237080002E1
3,474752036E1;-7,393199921E0;4,753120041E1;8,295999527E0
3,484752036E1;1,146799922E0;4,850719833E1;6,136600018E0
3,494752036E1;2,684000015E0;4,820219803E1;6,636799812E0
3,504752036E1;-1,366400003E0;4,856819916E1;7,063799858E0
3,514752036E1;-7,563999653E0;4,820219803E1;1,052859974E1
