"Time (s)";"Pressure (hPa)"
3,651466761E1;1,013052307E3
3,661466761E1;1,012875488E3
3,671466761E1;1,012875488E3
3,681466761E1;1,013038513E3
3,691466761E1;1,013052795E3
3,701466761E1;1,012941528E3
3,711466761E1;1,013250793E3
3,721466761E1;1,013240662E3
3,731466761E1;1,013446045E3
3,741466761E1;1,013270264E3
3,751466761E1;1,013270264E3
3,761466761E1;1,012973267E3
3,771466761E1;1,013183716E3
3,781466761E1;1,013081543E3
3,791466761E1;1,013081543E3
3,801466761E1;1,013054626E3
3,811466761E1;1,013163818E3
3,821466761E1;1,013296021E3
3,831466761E1;1,013296021E3
3,841466761E1;1,013012695E3
3,851466761E1;1,012722656E3
3,861466761E1;1,012804810E3
3,871466761E1;1,012804810E3
3,881466761E1;1,012898315E3
3,891466761E1;1,013088989E3
3,901466761E1;1,013124756E3
3,911466761E1;1,013124756E3
3,921466761E1;1,013462891E3
3,931466761E1;1,013442444E3
3,941466761E1;1,013044434E3
3,951466761E1;1,013044434E3
3,961466761E1;1,013089355E3
3,971466761E1;1,013101685E3
3,981466761E1;1,013010559E3
3,991466761E1;1,013010559E3
4,001466761E1;1,013066650E3
4,011466761E1;1,013220581E3
4,021466761E1;1,013398438E3
4,031466761E1;1,013398438E3
4,041466761E1;1,013075928E3
4,051466761E1;1,012849243E3
4,061466761E1;1,012818726E3
4,071466761E1;1,012818726E3
4,081466761E1;1,013100342E3
4,091466761E1;1,013076782E3
4,101466761E1;1,013006958E3
4,111466761E1;1,013006958E3
4,121466761E1;1,013337769E3
4,131466761E1;1,013361023E3
4,141466761E1;1,012953003E3
4,151466761E1;1,012953003E3
4,161466761E1;1,012953003E3
4,171466761E1;1,013142090E3
4,181466761E1;1,013044800E3
4,191466761E1;1,013044800E3
4,201466761E1;1,013044800E3
4,211466761E1;1,013150085E3
4,221466761E1;1,013386414E3
4,231466761E1;1,013362305E3
4,241466761E1;1,013362305E3
4,251466761E1;1,012799805E3
4,261466761E1;1,013099731E3
4,271466761E1;1,013161987E3
4,281466761E1;1,013161987E3
4,291466761E1;1,013001099E3
4,301466761E1;1,013328979E3
4,311466761E1;1,013221191E3
4,321466761E1;1,013221191E3
4,331466761E1;1,013171448E3
4,341466761E1;1,012902710E3
4,351466761E1;1,012661499E3
4,361466761E1;1,012661499E3
