"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1,890974880E1;1,562763453E0;-7,002010345E-1;-9,716086388E-1
1,900847333E1;3,879284859E-1;-1,969268322E0;1,217020988E0
1,910713520E1;-1,129191399E0;-1,263906956E0;2,666620016E0
1,920579047E1;-3,267793179E0;1,513381004E-1;4,353567123E0
1,930446046E1;2,488880157E0;-2,730890512E0;-9,795312881E-1
1,940310451E1;-3,541992664E0;3,237625360E0;3,954789877E0
1,950183904E1;-1,591718674E0;5,288400650E-1;6,851110458E-1
1,960048759E1;8,816766739E-1;1,394936085E0;-1,869863033E0
1,969917357E1;1,076799154E0;8,516864777E-1;1,983862042E0
1,979785016E1;1,393688440E0;-4,170710564E0;-1,671195984E0
1,989647648E1;6,990044117E-1;2,713518143E-1;-1,172590733E0
1,999520716E1;4,163434505E-1;-1,717910767E0;-3,018808365E-1
2,009386389E1;4,261012077E-1;-2,132569313E0;-1,625242233E-1
2,019250331E1;-1,734310150E0;5,745329857E-1;3,034885406E0
2,029117194E1;-1,221236229E0;-2,777579784E0;9,675326347E-1
2,038984375E1;-9,988307953E-2;3,240291119E0;1,989510536E0
2,048854811E1;-3,066815376E0;4,133425713E0;-5,252542496E-1
2,058723627E1;-1,198093653E0;-1,514877796E0;-2,819447041E0
2,068589588E1;-2,989282608E-1;5,552053452E-1;2,578191280E0
2,078457198E1;1,742971659E0;-4,409078598E0;-7,377326488E-1
2,088318915E1;1,259572983E0;-7,352256775E-2;-1,062124968E0
2,098192626E1;-1,151468515E0;-1,870732307E0;-3,049054146E-1
2,108058331E1;-7,435119152E-1;-6,286416054E-1;1,967953205E0
2,117926601E1;1,573102951E0;-1,779658794E0;-4,864668846E-1
2,127792345E1;-2,066889048E0;-2,743163586E0;1,714534760E-1
2,137656968E1;-1,508809805E0;2,328238010E0;4,235836029E0
2,147528806E1;-1,829422474E0;2,780595303E0;4,780440331E-1
2,157393292E1;-5,753264427E-1;-5,123057365E-1;-1,151105881E0
2,167262125E1;1,324574709E0;2,550069809E0;3,429129124E-1
2,177129793E1;2,902545214E0;-5,872181892E0;-2,836208820E0
2,186992707E1;7,787227631E-1;-3,833951950E-1;3,978738785E-1
2,196865280E1;-8,505892754E-1;3,077106476E-1;-4,639205933E-1
2,206731981E1;1,709547043E-1;-1,314444542E0;-2,057422638E0
2,216601105E1;2,755546570E-1;-8,988156319E-1;1,398868561E-1
2,226463602E1;-2,867393494E0;1,191142321E0;1,524482250E0
2,236329052E1;-1,744722605E0;2,076032162E0;2,815205097E0
2,246202247E1;-3,736257076E0;2,771281719E0;-1,002910614E0
2,256067320E1;-2,157870293E0;6,667118073E-1;1,437330961E0
2,265934870E1;-1,179063559E0;1,658494473E0;2,862101793E0
2,275799303E1;8,137335777E-1;-3,910306931E0;-4,165752411E0
2,285665454E1;2,736371756E0;-7,040733337E0;-3,579826832E0
2,295537852E1;1,599576950E0;8,773803711E-2;-2,463867664E0
2,305405279E1;-1,973103523E0;9,905362129E-1;5,354464054E-1
2,315271658E1;1,098999739E0;-3,075364113E0;-1,447109938E0
2,325138652E1;-9,858691692E-1;4,851274490E-1;2,617695570E0
2,335002638E1;-3,475932121E0;4,247140884E-1;-1,043590546E0
2,344874410E1;-1,517105579E0;-9,054212570E-1;-9,903001785E-2
2,354740562E1;-8,661996126E-1;-1,096112251E0;6,486036777E-1
2,364605714E1;2,954103947E-1;-1,037243843E0;1,442528486E0
2,374472129E1;-4,001949787E0;1,186214447E0;9,262862206E-1
2,384338140E1;-8,017963171E-1;-2,314936638E0;1,975823760E0
2,394210672E1;-1,088165998E0;-1,053693771E0;1,689730287E0
2,404076720E1;1,070999622E0;3,924283981E-1;1,106683850E0
2,413944011E1;-8,278760314E-1;1,066191673E0;2,535726547E0
2,423810858E1;1,145891666E0;-2,806745529E0;-2,534406185E0
2,433674927E1;-1,247478247E0;7,837486267E-1;-6,433343887E-1
2,443546506E1;-8,833128214E-1;8,205060959E-1;5,577883720E-1
2,453412228E1;-1,600192308E0;-1,935778618E0;1,985181570E0
2,463279170E1;-2,324780226E0;-6,111688614E-1;1,448687315E0
2,473145686E1;-1,154081345E0;-4,513177872E-1;1,271432042E0
2,483010823E1;-1,717434168E0;-2,396945953E-1;1,408203840E0
2,492883075E1;-5,479015112E-1;-6,307630539E-1;1,717804432E0
2,502749449E1;-1,636947155E0;-1,505734444E0;1,209035397E0
2,512615183E1;-2,362335920E0;-1,373330116E0;7,278165817E-1
2,522479918E1;-1,965313554E0;-7,861938477E-1;2,018537283E0
2,532347312E1;-3,248292804E-1;-1,028814316E-1;1,656014681E0
2,542219555E1;-2,767272949E0;-2,672386169E-1;1,361039877E0
2,552083578E1;-2,055594921E0;-4,092836380E-1;1,074958801E0
2,561950613E1;-1,328425169E0;-1,129665375E-1;9,848415852E-1
2,571821808E1;-6,954791546E-1;1,356430054E-1;7,213785648E-1
2,581683465E1;2,169648409E0;-1,247007370E0;-1,052968502E0
2,591555906E1;1,934695721E0;5,041475296E-1;8,016972542E-1
2,601419048E1;-9,333293438E-1;4,648685455E-2;6,179573536E-1
2,611289030E1;1,485942006E-1;-1,217454910E0;-1,405127048E0
2,621156623E1;1,331085682E0;5,563888550E-1;2,307600975E-1
2,631019696E1;1,086149693E0;-1,856803894E-1;-4,198789597E-1
2,640892076E1;1,100705981E0;9,316706657E-1;2,529659271E-1
2,650758761E1;3,993919492E-1;9,751124382E-1;-1,492667198E-1
2,660625572E1;1,441990137E-1;2,369117737E-1;-6,727905273E-1
2,670493045E1;2,153019309E-1;-1,133842468E-1;-8,409299850E-1
2,680356453E1;-2,476752102E-1;4,466819763E-2;4,856793880E-1
2,690227966E1;7,334511280E-1;-4,864006042E-1;-4,125332832E-1
2,700095103E1;6,310251355E-1;1,195755005E-1;-3,578672409E-1
2,709961986E1;3,819093704E-1;6,184577942E-3;-4,761624336E-1
2,719830271E1;1,713581681E-1;5,794658661E-1;-1,102113724E-2
2,729692142E1;-4,712124169E-2;3,553562164E-1;9,915232658E-2
2,739565178E1;5,066484809E-1;-2,722873688E-1;2,120501995E-1
2,749430982E1;4,307459593E-1;-3,337936401E-1;2,248129845E-1
2,759297846E1;4,149769545E-1;-3,452968597E-1;-4,138493538E-2
2,769165462E1;-3,202763498E-1;4,683971405E-2;-2,342886925E-1
2,779028752E1;3,526070714E-2;7,838916779E-2;5,677602291E-1
2,788899379E1;1,901974380E-1;-1,164875031E-1;-1,916935444E-1
2,798766432E1;-2,622276545E-2;2,162790298E-1;-8,214879036E-2
2,808634438E1;3,632376790E-1;-1,689529419E-1;-2,783527374E-1
2,818502057E1;3,756110966E-1;1,613931656E-1;-4,826135635E-1
2,828364798E1;-1,379945278E-1;1,230649948E-1;-1,873445511E-1
2,838238630E1;1,418154389E-1;2,510643005E-1;-2,967886925E-1
2,848101587E1;2,837800980E-1;2,048149109E-1;-1,836543083E-1
2,857968911E1;2,053377926E-1;1,350307465E-2;-1,778430939E-1
2,867834603E1;6,520215422E-2;-1,265106201E-1;-2,551541328E-1
2,879346394E1;2,194079608E-1;9,634494781E-2;-1,505308151E-1
2,889218330E1;2,428741753E-1;9,882545471E-2;-1,752610207E-1
2,899079348E1;2,450417131E-1;8,791637421E-2;-3,973960876E-2
2,908950750E1;2,680656612E-1;-3,954219818E-2;1,066148281E-1
2,918818764E1;2,035495639E-1;-5,504322052E-2;-1,634759903E-1
2,928682736E1;2,218240798E-1;-1,127185822E-1;-3,099408150E-1
2,938552247E1;2,884039283E-1;3,732681274E-2;-5,389547348E-2
2,948420409E1;2,438468486E-1;1,379241943E-1;-1,344733238E-1
2,958287730E1;-2,747773752E-2;1,307830811E-1;-1,454210281E-2
2,968155023E1;1,407934427E-1;1,654529572E-1;3,733921051E-2
2,978018634E1;-1,892849207E-1;9,832000732E-2;-8,523941040E-3
2,987888594E1;-1,014608517E-1;3,255939484E-2;-1,284070015E-1
2,997754570E1;-5,375077203E-2;3,636360168E-2;1,132421494E-1
3,007624833E1;5,087893456E-3;4,293470383E-1;-6,478357315E-2
3,017488308E1;7,450512648E-1;-1,566839218E-1;-5,305948257E-1
3,027355132E1;6,209455729E-1;-2,372283936E-1;-4,442315102E-1
3,037224133E1;5,109311342E-1;1,059246063E-1;5,911207199E-2
3,047092925E1;1,198957682E0;4,135665894E-1;1,939334869E-1
3,056958691E1;9,499258995E-1;4,001379013E-1;-4,414582253E-1
3,066827023E1;1,465743661E0;-3,223447800E-1;-5,922145844E-1
3,076691342E1;1,020161748E0;-9,061336517E-2;-7,221112251E-1
3,086561153E1;1,878147840E0;-1,100339890E-1;-2,870759964E-1
3,096426752E1;4,074428678E-1;2,950191498E-2;-7,444248199E-1
3,106295280E1;6,848831773E-1;7,193336487E-1;-7,941408157E-1
3,116163661E1;7,848183811E-2;7,633557320E-1;-2,752223015E-1
3,126027580E1;8,704481125E-1;-1,193494797E-1;-4,887580872E-4
3,135898016E1;-2,237972736E0;-3,530025482E-1;1,228620291E0
3,145766271E1;-8,917912245E-1;1,153639793E0;-5,840263367E-1
3,155632980E1;6,091678143E-1;-1,169806480E0;-9,159030914E-1
3,165499522E1;-8,897641897E-1;7,485179901E-1;1,089334011E0
3,175363596E1;4,954144955E-1;-8,280019760E-1;-8,375906944E-1
3,185232079E1;-4,029684067E-1;-2,278137207E-2;2,466735840E-1
3,195098508E1;3,876550198E-1;-5,616159439E-1;-5,869669914E-1
3,204969280E1;1,481333971E0;8,919191360E-1;-3,283424377E-1
3,214834573E1;3,197466135E0;5,302524567E-1;-1,499589443E0
3,224699974E1;1,659171581E0;2,036184311E0;-1,512762070E0
3,234571148E1;9,767470360E-1;3,828263283E-1;-3,772892952E-1
3,244437692E1;2,050665855E0;1,644532681E0;1,291799545E-1
3,254305383E1;1,621611118E0;-1,753821373E-1;1,794381142E-1
3,264173313E1;-3,015525341E-1;4,837632179E-1;1,064805984E0
3,274035722E1;6,634120941E-1;-9,508414268E-1;3,593153954E-1
3,283906807E1;7,389655113E-1;-7,063903809E-1;-3,177647591E-1
3,293774848E1;-1,525080681E0;8,071177006E-1;1,846898079E0
3,303641203E1;-9,339647293E-1;6,478490829E-1;-8,651895523E-1
3,313506793E1;-7,158575058E-1;3,206157684E0;5,888137817E-1
