"Time (s)";"X (hPa)"
3,192065323E2;1,008759460E3
3,202792893E2;1,008761292E3
3,213521013E2;1,008764725E3
3,224249353E2;1,008771667E3
3,234977633E2;1,008776550E3
3,245705843E2;1,008780441E3
3,256434063E2;1,008786240E3
3,267162793E2;1,008792648E3
3,277891233E2;1,008795090E3
3,288619383E2;1,008795090E3
3,299347403E2;1,008794174E3
3,310075523E2;1,008787079E3
3,320803263E2;1,008778763E3
3,331531013E2;1,008769608E3
3,342259073E2;1,008760300E3
3,352987003E2;1,008751450E3
3,363714923E2;1,008744507E3
3,374442623E2;1,008739395E3
3,385170423E2;1,008736115E3
3,395898853E2;1,008736115E3
3,406626963E2;1,008737488E3
3,417355013E2;1,008738785E3
3,428083023E2;1,008742599E3
3,438810963E2;1,008749771E3
3,449538913E2;1,008754120E3
3,460266973E2;1,008757553E3
3,470994903E2;1,008764954E3
3,481722173E2;1,008764954E3
3,492449663E2;1,008764725E3
3,503177193E2;1,008763809E3
3,513904993E2;1,008761520E3
3,524632853E2;1,008756027E3
3,535360963E2;1,008752136E3
3,546089103E2;1,008746643E3
3,556817243E2;1,008743286E3
3,567544733E2;1,008741074E3
3,578272023E2;1,008739243E3
3,588999503E2;1,008735886E3
3,599727323E2;1,008735504E3
3,610455263E2;1,008734970E3
3,621182723E2;1,008734360E3
3,631909983E2;1,008734360E3
3,642637633E2;1,008735504E3
3,653365173E2;1,008735504E3
3,664092843E2;1,008735275E3
3,674820003E2;1,008733826E3
3,685547393E2;1,008727722E3
3,696275193E2;1,008720474E3
3,707002723E2;1,008715744E3
3,717730333E2;1,008710403E3
3,728458063E2;1,008705521E3
3,739185983E2;1,008704681E3
3,749913683E2;1,008704300E3
3,760641223E2;1,008704681E3
3,771369043E2;1,008707428E3
3,782097143E2;1,008710632E3
3,792824973E2;1,008715439E3
3,803552483E2;1,008720474E3
3,814280023E2;1,008727036E3
3,825007763E2;1,008733978E3
3,835735533E2;1,008739624E3
3,846462863E2;1,008741302E3
3,857190273E2;1,008741302E3
3,867917943E2;1,008738403E3
3,878645713E2;1,008733749E3
3,889373593E2;1,008729324E3
3,900101883E2;1,008726196E3
3,910830083E2;1,008726120E3
3,921558023E2;1,008724442E3
3,932285913E2;1,008724136E3
3,943013573E2;1,008724136E3
3,953741633E2;1,008720474E3
3,964469823E2;1,008715057E3
3,975198433E2;1,008711243E3
3,985926293E2;1,008707275E3
3,996653833E2;1,008703461E3
4,007381513E2;1,008690186E3
4,018109663E2;1,008689117E3
4,028838103E2;1,008683014E3
4,039566283E2;1,008674393E3
