"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
1,317361703E2;5,235943664E1;4,891530170E0;1,511137895E0;3,659692902E0;3,404293528E2;4,993249475E0;2,981945122E0
1,327364235E2;5,235946832E1;4,891514793E0;1,599946548E0;3,539018053E0;3,368177177E2;5,028650095E0;2,921851340E0
1,337364236E2;5,235948980E1;4,891490363E0;1,830326288E0;3,314353203E0;3,311854726E2;5,177322525E0;2,858368552E0
1,347364215E2;5,235951670E1;4,891464536E0;2,616024856E0;3,107411116E0;3,276933710E2;5,592726917E0;2,809941478E0
1,357364203E2;5,235953964E1;4,891447858E0;2,894498135E0;2,607976110E0;3,241522199E2;5,458315934E0;2,944601692E0
1,367364142E2;5,235957851E1;4,891409682E0;2,103453862E0;3,177983393E0;3,185946861E2;5,460412250E0;3,092322178E0
1,377364063E2;5,235961256E1;4,891354804E0;1,474313492E0;3,674761900E0;3,179757634E2;5,541623091E0;3,127655011E0
1,387364028E2;5,235963168E1;4,891318827E0;2,278733032E0;3,489728345E0;3,156019909E2;5,560603333E0;3,143174429E0
1,397364041E2;5,235965831E1;4,891276263E0;2,342168597E0;3,457735345E0;3,109133906E2;5,872105272E0;3,105590070E0
1,407363987E2;5,235967272E1;4,891246783E0;2,947897949E0;3,054492775E0;3,008389059E2;5,984945488E0;3,082442595E0
1,417363958E2;5,235968764E1;4,891210553E0;1,785513440E0;2,871256647E0;2,987108264E2;6,418193455E0;2,899214602E0
1,427363975E2;5,235969397E1;4,891159832E0;1,348993534E0;2,947571260E0;2,936156493E2;6,730778344E0;2,733283748E0
1,437363942E2;5,235970461E1;4,891115872E0;1,309511703E0;3,032492464E0;2,935993705E2;7,441781817E0;2,210496600E0
1,447363937E2;5,235970147E1;4,891069404E0;1,075527696E0;2,974460564E0;2,876051089E2;7,818928883E0;2,398923114E0
1,457363932E2;5,235970574E1;4,890988168E0;1,443890614E0;3,404533184E0;2,817488130E2;8,156828725E0;2,286219331E0
1,467363862E2;5,235970892E1;4,890908842E0;2,178172324E0;3,769341501E0;2,774187756E2;8,422750742E0;1,897283848E0
1,477363819E2;5,235971129E1;4,890818288E0;1,831326430E0;4,102197833E0;2,784617729E2;7,420128073E0;2,406657735E0
1,487363770E2;5,235971307E1;4,890773070E0;1,754847210E0;3,998079504E0;2,783838109E2;6,632928727E0;2,618453934E0
1,497363733E2;5,235971819E1;4,890701298E0;1,414737488E0;4,085282096E0;2,766842686E2;6,256263156E0;2,683146386E0
1,507363690E2;5,235972710E1;4,890639670E0;1,627161560E0;4,177839861E0;2,783325549E2;6,017223086E0;2,711750795E0
1,517363652E2;5,235973245E1;4,890571086E0;1,640614650E0;4,135074652E0;2,784454729E2;5,951152677E0;2,709859703E0
1,527363623E2;5,235972933E1;4,890522609E0;1,621484803E0;4,061142042E0;2,767919709E2;5,944012352E0;2,647805098E0
1,537363588E2;5,235973504E1;4,890443848E0;1,256452585E0;4,321111892E0;2,772479758E2;5,901792196E0;2,673830010E0
