"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
1,324771971E1;5,835243225E0;3,246308136E1;1,574563599E1
1,334822471E1;4,636215210E0;3,273824310E1;1,414579773E1
1,344872933E1;3,894309998E0;3,228871155E1;1,455375671E1
1,354923433E1;4,357254028E0;3,175360870E1;1,585510254E1
1,364973933E1;5,680694580E0;2,961500549E1;1,619688416E1
1,375024433E1;6,614463806E0;3,077588654E1;1,634094238E1
1,385074933E1;6,925964355E0;3,056838226E1;1,646688843E1
1,395125433E1;7,146644592E0;3,025700378E1;1,557112122E1
1,405175933E1;7,388778687E0;2,968662262E1;1,572273254E1
1,415226333E1;8,150047302E0;2,754905701E1;1,608981323E1
1,425276833E1;7,444297791E0;2,872458649E1;1,496017456E1
1,435327333E1;6,618293762E0;2,997680664E1;1,393112183E1
1,445377792E1;6,961265564E0;2,981822968E1;1,241386414E1
1,455428292E1;7,140113831E0;3,043621063E1;1,205468750E1
1,465478792E1;8,496765137E0;3,038845062E1;1,302037048E1
1,475529292E1;8,108261108E0;3,041268158E1;1,224375916E1
1,485579792E1;7,833244324E0;3,159944153E1;1,376380920E1
1,495630292E1;9,236610413E0;3,080059814E1;1,447949219E1
1,505680792E1;9,485107422E0;3,146271515E1;1,466290283E1
1,515731192E1;1,010626221E1;3,228291321E1;1,491964722E1
1,525781692E1;9,578384399E0;3,095320892E1;1,438618469E1
1,535832192E1;8,263420105E0;3,324513245E1;1,344795227E1
1,545882742E1;8,811622620E0;3,354615021E1;1,316163635E1
1,555933242E1;9,661430359E0;3,393591309E1;1,208959961E1
1,565983742E1;8,376770020E0;3,499166870E1;1,047268677E1
1,576034242E1;8,309730530E0;3,209622192E1;1,027383423E1
1,586084742E1;7,199562073E0;3,381663513E1;9,793319702E0
1,596135242E1;7,831062317E0;3,410618591E1;1,127937317E1
1,606185642E1;7,802291870E0;3,457253265E1;1,210931396E1
1,616236142E1;8,051483154E0;3,589002228E1;1,329019165E1
1,626286642E1;8,853179932E0;3,419281006E1;1,435856628E1
1,636337142E1;8,188537598E0;3,592341614E1;1,206040955E1
1,646387621E1;8,628517151E0;3,681872559E1;1,155174255E1
1,656438121E1;9,331855774E0;3,624189758E1;1,088565063E1
1,666488621E1;8,946571350E0;3,627931976E1;1,129243469E1
1,676539021E1;8,876625061E0;3,451016235E1;1,039666748E1
1,686589521E1;6,856979370E0;3,480551910E1;7,239776611E0
1,696640021E1;6,244323730E0;3,571040344E1;7,845123291E0
1,706690521E1;6,574607849E0;3,503327179E1;9,370498657E0
1,716741021E1;6,951416016E0;3,504879761E1;1,169181824E1
1,726791521E1;8,695976257E0;3,385418701E1;1,402433777E1
1,736842021E1;7,756080627E0;3,368823242E1;1,273521423E1
1,746892442E1;7,592468262E0;3,537741089E1;1,376298523E1
1,756942942E1;7,334167480E0;3,444449615E1;1,384280396E1
1,766993442E1;7,372238159E0;3,479161072E1;1,398303223E1
1,777043942E1;7,223785400E0;3,428308105E1;1,414677429E1
1,787094442E1;6,155273438E0;3,255864716E1;1,245692444E1
1,797144842E1;4,958137512E0;3,457963562E1;1,082638550E1
1,807195342E1;4,215049744E0;3,372219086E1;9,720581055E0
1,817245842E1;4,963745117E0;3,470803070E1;8,479263306E0
1,827296342E1;4,962875366E0;3,402474213E1;1,045091248E1
1,837346842E1;5,047912598E0;3,200244141E1;1,072053528E1
1,847397358E1;3,919654846E0;3,301535797E1;1,185635376E1
1,857447758E1;3,892013550E0;3,210249329E1;1,268598938E1
1,867498258E1;3,138442993E0;3,197644043E1;1,365272522E1
1,877548758E1;2,272377014E0;3,156233978E1;1,431362915E1
1,887599258E1;1,092048645E0;2,994179535E1;1,354756165E1
1,897649658E1;1,582336426E0;3,280549622E1;1,163066101E1
1,907700158E1;5,188751221E-2;3,206450653E1;1,129666138E1
1,917750658E1;-1,019348145E0;3,265822601E1;1,073910522E1
1,927801158E1;-6,782608032E-1;3,333044434E1;1,120294189E1
1,937851658E1;4,751586914E-1;3,195896149E1;1,147695923E1
1,947902092E1;5,145797729E-1;3,392893219E1;1,159558105E1
1,957952592E1;2,076507568E0;3,360577393E1;1,329693604E1
1,968003092E1;2,556854248E0;3,392337799E1;1,408229065E1
1,978053592E1;3,794021606E0;3,427487183E1;1,571041870E1
1,988103992E1;4,593299866E0;3,248224640E1;1,645535278E1
1,998154492E1;4,572998047E0;3,493498230E1;1,563128662E1
2,008204992E1;5,155693054E0;3,507386017E1;1,607366943E1
2,018255492E1;4,275688171E0;3,529462433E1;1,577593994E1
2,028305892E1;3,077720642E0;3,546322632E1;1,548051453E1
2,038356392E1;3,625259399E0;3,379372406E1;1,506427002E1
2,048406808E1;2,234207153E0;3,514926147E1;1,487469482E1
2,058457308E1;3,102256775E0;3,552880859E1;1,608285522E1
2,068507708E1;1,833770752E0;3,417776489E1;1,821827698E1
2,078558208E1;2,085327148E0;3,440146637E1;1,972978210E1
2,088608708E1;3,325424194E0;3,229726410E1;2,034054565E1
2,098659108E1;5,332992554E0;3,523203278E1;1,755468750E1
2,108709608E1;7,419235229E0;3,687723541E1;1,651473999E1
2,118760108E1;6,714385986E0;3,660694885E1;1,622206116E1
2,128810608E1;6,257957458E0;3,809490967E1;1,501936340E1
2,138861008E1;6,986953735E0;3,726857758E1;1,300468445E1
2,148911533E1;6,759284973E0;3,876948547E1;9,822036743E0
2,158962033E1;6,308822632E0;3,980832672E1;1,113360596E1
2,169012433E1;7,036231995E0;3,878520203E1;1,246070862E1
2,179062933E1;6,907417297E0;3,953806305E1;1,445886230E1
2,189113433E1;8,068786621E0;3,783954620E1;1,632473755E1
2,199163833E1;5,985931396E0;3,714891815E1;1,636633301E1
2,209214333E1;5,031402588E0;3,817954254E1;1,720947266E1
2,219264833E1;4,896659851E0;3,714524078E1;1,755110168E1
2,229315333E1;3,820144653E0;3,814687347E1;1,719970703E1
2,239365733E1;3,769950867E0;3,770514679E1;1,776777649E1
2,249416217E1;2,678916931E0;3,710245514E1;1,553198242E1
2,259466717E1;5,580825806E-1;3,924465942E1;1,527328491E1
2,269517117E1;-5,487823486E-2;3,876881409E1;1,435527039E1
2,279567617E1;1,950073242E-2;3,942233276E1;1,481251526E1
2,289618117E1;7,342376709E-1;3,939405823E1;1,627420044E1
2,299668517E1;1,844940186E-1;3,725224304E1;1,683979797E1
2,309719017E1;1,319122314E0;3,902442169E1;1,727186584E1
2,319769417E1;2,073287964E0;3,852187347E1;1,805964661E1
2,329819917E1;1,329368591E0;3,825626373E1;1,866517639E1
2,339870417E1;-1,792373657E-1;3,842280579E1;2,010629272E1
2,349920867E1;-2,158241272E0;3,629601288E1;1,946128845E1
2,359971367E1;-3,510017395E0;3,869351959E1;1,804650879E1
2,370021867E1;-3,152877808E0;3,909338379E1;1,635096741E1
2,380072267E1;-4,166572571E0;3,957564545E1;1,509407043E1
2,390122767E1;-5,349708557E0;3,959176636E1;1,691215515E1
2,400173267E1;-5,762420654E0;3,667787170E1;1,877957153E1
2,410223667E1;-6,071784973E0;3,822786713E1;1,936679077E1
2,420274167E1;-5,177513123E0;3,800726318E1;2,093788147E1
2,430324567E1;-5,228401184E0;3,813568115E1;2,138017273E1
2,440375067E1;-6,063148499E0;3,787840271E1;2,227958679E1
2,450425567E1;-5,745201111E0;3,565616608E1;2,248196411E1
2,460475967E1;-6,334167480E0;3,717340088E1;2,138931274E1
2,470526467E1;-5,336723328E0;3,821772766E1;2,081379700E1
2,480576867E1;-5,279129028E0;3,801222992E1;1,949087524E1
2,490627367E1;-5,991302490E0;3,866476440E1;1,925877380E1
2,500677767E1;-4,689010620E0;3,724446869E1;1,919619751E1
2,510728267E1;-5,018196106E0;3,737979889E1;1,823365784E1
2,520778767E1;-3,987785339E0;3,839561462E1;2,025764465E1
2,530829167E1;-3,657157898E0;3,694567108E1;2,095974731E1
2,540879667E1;-3,844161987E0;3,730390167E1;2,174284363E1
2,550930071E1;-3,021896362E0;3,668519592E1;2,199348450E1
2,560980571E1;-3,023384094E0;3,597490692E1;2,107759094E1
2,571030971E1;-3,577758789E0;3,823042297E1;2,125642395E1
2,581081471E1;-4,966918945E0;3,695482635E1;2,191563416E1
2,591131871E1;-5,011543274E0;3,722531128E1;2,037869263E1
2,601182371E1;-4,491958618E0;3,772295380E1;1,945622253E1
2,611232871E1;-5,237579346E0;3,614888000E1;1,757901001E1
2,621283271E1;-5,726196289E0;3,744844055E1;1,787524414E1
2,631333771E1;-5,281768799E0;3,679741669E1;1,889663696E1
2,641384171E1;-3,890785217E0;3,573611450E1;1,965458679E1
2,651434667E1;-2,314262390E0;3,630016327E1;2,053680420E1
2,661485067E1;-4,195098877E-1;3,509812927E1;2,059434509E1
2,671535567E1;-1,746337891E0;3,611508179E1;2,107109070E1
2,681585967E1;-1,386070251E0;3,710369110E1;2,208094788E1
2,691636467E1;-1,403694153E0;3,731378937E1;2,134342957E1
2,701686867E1;-1,993698120E0;3,952799225E1;1,929664612E1
2,711737367E1;-1,261627197E0;3,974886322E1;1,953677368E1
2,721787767E1;-3,471633911E0;3,889173126E1;1,690852356E1
2,731838267E1;-3,732177734E0;4,116722870E1;1,611463928E1
2,741888667E1;-2,635246277E0;4,091612244E1;1,625224304E1
2,751939179E1;-2,509963989E0;4,057606506E1;1,696731567E1
2,761989579E1;-1,912261963E0;4,101155090E1;1,848709106E1
2,772040079E1;-3,807525635E-1;3,816037750E1;1,984742737E1
2,782090479E1;8,288269043E-1;3,979068756E1;2,001602173E1
2,792140979E1;2,532142639E0;3,945534515E1;2,092568970E1
2,802191379E1;1,749771118E0;3,906952667E1;2,056896973E1
2,812241879E1;4,126739502E-1;3,928657532E1;2,028752136E1
2,822292279E1;-2,163543701E-1;3,795404053E1;2,086177063E1
2,832342779E1;-2,561500549E0;3,868425751E1;1,827407837E1
2,842393179E1;-3,794281006E0;4,030654144E1;1,691452026E1
2,852443671E1;-5,301254272E0;4,041577911E1;1,558964539E1
2,862494071E1;-5,941711426E0;4,022225189E1;1,569696045E1
2,872544471E1;-3,301414490E0;4,028725433E1;1,715016174E1
2,882594971E1;-2,400062561E0;3,756727600E1;1,848181152E1
